This	October 30, 1988	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE QUEEN OF THE DAMNED, by Anne Rice. (Knopf, $18.95.) Continuing the	2	2
""	chronicle of 6,000 years of vampirism begun in ''Interview With the Vampire'' and		
""	''The Vampire Lestat.''		
""			
2	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	1	13
""	C.I.A.'s Jack Ryan races to the rescue of America's highest-ranking secret agent		
""	in the Soviet Union.		
""			
3	BREATHING LESSONS, by Anne Tyler. (Knopf, $18.95.) The many facets of a	3	6
""	28-year marriage are revealed during a drive to a friend's funeral.		
""			
4	ANYTHING FOR BILLY, by Larry McMurtry. (Simon & Schuster, $18.95.) The	11	2
""	exploits of Billy the Kid, as shared by a dime-novel writer from Philadelphia.		
""			
5	FINAL FLIGHT, by Stephen Coonts. (Doubleday, $18.95.) Colonel Qazi, an	4	3
""	''international terrorist,'' plots to steal American nuclear weapons.		
""			
6	TILL WE MEET AGAIN, by Judith Krantz. (Crown, $19.95.) The exploits of a	5	12
""	woman and her two daughters from pre-World War I Paris to present-day Los		
""	Angeles.		
""			
7	ALASKA, by James A. Michener. (Random House, $22.50.) The history of the	6	18
""	49th state told in fictional form.		
""			
8	PRIME TIME, by Joan Collins. (Linden/Simon & Schuster, $19.95.) Five actresses	14	4
""	compete for a glamorous role in Hollywood.		
""			
9	KOKO, by Peter Straub. (Dutton, $19.95.) Three Vietnam veterans on the trail of a	12	5
""	friend who may be responsible for a series of murders.		
""			
10	THE SHELL SEEKERS, by Rosamunde Pilcher. (St. Martin's, $19.95.) A woman	7	37
""	and a painting tie together three generations of an English family.		
""			
11	SPOCK'S WORLD, by Diane Duane. (Pocket, $16.95.) An emergency meeting of	10	8
""	the planet Vulcan's ruling council exposes its secret history and that of the		
""	Enterprise's Commander Spock.		
""			
12	THE BONFIRE OF THE VANITIES, by Tom Wolfe. (Farrar, Straus & Giroux,	8	52
""	$19.95.) A bond trader caught in the jungles of New York.		
""			
13	TRACKS, by Louise Erdrich. (Holt, $18.95.) The mysterious life of Fleur Pillager, a	15	4
""	Chippewa woman with the powers of a shaman.		
""			
14	THE SILENCE OF THE LAMBS, by Thomas Harris. (St. Martin's, $18.95.) A	13	8
""	young woman F.B.I. trainee pursues a serial killer.		
""			
15	LOVE IN THE TIME OF CHOLERA, by Gabriel Garcia Marquez. (Knopf, $18.95.)	9	28
This	October 30, 1988	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	1	28
""	scientist's review of efforts to create a unified theory of the universe.		
""			
2	THE RAGMAN'S SON, by Kirk Douglas. (Simon & Schuster, $21.95.) The actor	2	10
""	recalls his life as poor immigrant's son, waiter, steel mill worker, haberdashery		
""	salesman, film star, father and man.		
""			
3	THE FIRST SALUTE, by Barbara W. Tuchman. (Knopf, $22.95.) A historian's view	15	3
""	of the American Revolution.		
""			
4	THE LAST LION, by William Manchester. (Little, Brown, $24.95.) The second	13	2
""	volume of a biography of Winston Churchill, covering the years 1932-40.		
""			
5	A BRIGHT SHINING LIE, by Neil Sheehan. (Random House, $24.95.) A biography	--	1
""	of Lieut. Col. John Paul Vann that is also a history of American involvement in		
""	Vietnam.		
""			
6	SENATORIAL PRIVILEGE, by Leo Damore. (Regnery Gateway, $19.95.) A	6	12
""	reporter's reassessment of the 1969 accident on Chappaquiddick Island.		
""			
7	LANDSLIDE, by Jane Mayer and Doyle McManus. (Houghton Mifflin, $21.95.)	7	4
""	Two Washington reporters on ''the unmaking of the President, 1984- 1988.''		
""			
8	THE BOZ, by Brian Bosworth with Rick Reilly. (Doubleday, $17.95.) The life and	5	9
""	controversial opinions of the Seattle Seahawks football player.		
""			
9	THE LIVES OF JOHN LENNON, by Albert Goldman. (Morrow, $22.95.) The rock-	4	8
""	and-roll star as legend and as human being.		
""			
10	THE DUCHESS OF WINDSOR, by Charles Higham. (McGraw-Hill, $17.95.) The	9	15
""	life of the woman who married King Edward VIII.		
""			
11	SURVIVING THE GREAT DEPRESSION OF 1990, by Ravi Batra. (Simon &	8	3
""	Schuster, $18.95.) What Americans and their Government should do in the face of		
""	economic disaster.		
""			
12	PRESS ON! by Chuck Yeager and Charles Leerhsen. (Bantam, $17.95.) The	3	5
""	legendary pilot on flying, the outdoors and his West Virginia roots.		
""			
13	GOLDWATER, by Barry M. Goldwater with Jack Casserly. (Doubleday, $21.95.)	--	1
""	The memoirs of the longtime Senator from Arizona and 1964 Republican		
""	Presidential nominee.		
""			
14	TRUMP, by Donald J. Trump with Tony Schwartz. (Random House, $19.95.) The	14	46
""	career and business style of the New York entrepreneur.		
""			
15	GENERATION OF SWINE, by Hunter S. Thompson. (Summit, $18.95.)	11	16
