This	January 10, 1988	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE TOMMYKNOCKERS, by Stephen King. (Putnam, $19.95.) Two writers'	1	7
""	zealous attempt to unearth mysterious artifacts creates nightmares in a Maine		
""	village.		
""			
2	KALEIDOSCOPE, by Danielle Steel. (Delacorte, $18.95.) Three sisters, separated	2	12
""	by fate, and the lawyer whose mission is to find and reunite them.		
""			
3	LEAVING HOME, by Garrison Keillor. (Viking, $18.95.) A collection of Lake	4	15
""	Wobegon monologues, from the radio program ''A Prairie Home Companion.''		
""			
4	THE BONFIRE OF THE VANITIES, by Tom Wolfe. (Farrar, Straus & Giroux,	3	10
""	$19.95.) An investment banker caught in the jungles of New York.		
""			
5	PATRIOT GAMES, by Tom Clancy. (Putnam, $19.95.) The C.I.A.'s Jack Ryan	6	24
""	battles terrorists in England, Ireland and America.		
""			
6	PRESUMED INNOCENT, by Scott Turow. (Farrar, Straus & Giroux, $18.95.) A	7	29
""	brutal murder creates a crisis among a big city's politicians.		
""			
7	THE POLAR EXPRESS, written and illustrated by Chris Van Allsburg. (Houghton	5	12
""	Mifflin, $15.95.) A small boy's Christmas Eve train ride to the North Pole and the		
""	magical events that follow.		
""			
8	HEAVEN AND HELL, by John Jakes. (Harcourt Brace Jovanovich, $19.95.) A tale	9	15
""	of two families in the aftermath of the Civil War.		
""			
9	2061: Odyssey Three, by Arthur C. Clarke. (Del Rey/Ballantine, $17.95.)	8	6
""	Continuing the space saga begun in ''2001'' and ''2010.''		
""			
10	BELOVED, by Toni Morrison. (Knopf, $18.95.) Memories of her past haunt an	10	17
""	escaped slave in post-Civil War Ohio.		
""			
11	SARUM, by Edward Rutherfurd. (Crown, $19.95.) Ten thousand years of English	11	21
""	history, seen through the experiences of five families.		
""			
12	LEGACY, by James A. Michener. (Random House, $16.95.) The ordeal of a	13	18
""	military officer, charged with high crimes, whose family heritage covers 200 years		
""	of constitutional history.		
""			
13	MISERY, by Stephen King. (Viking, $18.95.) Injured and drugged, an author is	14	30
""	held captive by a psychotic fan.		
""			
14	RUBBER LEGS AND WHITE TAIL-HAIRS, by Patrick F. McManus. (Holt, $14.95.)	--	9
""	Humorous tales about an outdoorsman's life.		
""			
15	WINTER, by Len Deighton. (Knopf, $19.95.) The experiences of a Berlin family,	16	2
""	from Kaiser Wilhelm to Adolf Hitler.		
This	January 10, 1988	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TIME FLIES, by Bill Cosby. (Dolphin/Doubleday, $15.95.) Counting his blessings	1	15
""	and his losses, the television star muses on life at 50.		
""			
2	FAMILY: The Ties That Bind . . . and Gag! by Erma Bombeck. (McGraw-Hill,	4	18
""	$15.95.) Anecdotes about a reunion of the humorist's grown children.		
""			
3	TRUMP: The Art of the Deal, by Donald J. Trump with Tony Schwartz. (Random	2	4
""	House, $19.95.) The career and business style of the New York entrepreneur.		
""			
4	THE CAT WHO CAME FOR CHRISTMAS, by Cleveland Amory. (Little, Brown,	3	7
""	$15.95.) A self- styled curmudgeon's memoir of a cat.		
""			
5	A DAY IN THE LIFE OF AMERICA. (Collins Publishers, $39.95.) The nation on	6	51
""	May 2, 1986, as recorded in pictures by 200 photojournalists.		
""			
6	MAN OF THE HOUSE: The Life and Political Memoirs of Speaker Tip O'Neill, with	7	18
""	William Novak. (Random House, $19.95.) The former Speaker of the House tells		
""	his story.		
""			
7	A DAY IN THE LIFE OF THE SOVIET UNION. (Collins Publishers, $39.95.) The	8	9
""	vast country on May 15, 1987, as recorded in pictures by 100 of the world's		
""	leading photojournalists.		
""			
8	SPYCATCHER, by Peter Wright with Paul Greengrass. (Viking, $19.95.) The	11	24
""	autobiography of a former senior member of the British secret service.		
""			
9	THE NATIONAL GEOGRAPHIC SOCIETY, by C. D. B. Bryan. (Abrams, $45.) The	13	3
""	100-year history of an American institution in pictures and words.		
""			
10	CHRONICLE OF THE 20TH CENTURY, edited by Clifton Daniel. (Chronicle	9	6
""	Publications, $49.95.) Profusely illustrated history of the world, month by month,		
""	from 1900 through 1986.		
""			
11	VEIL, by Bob Woodward. (Simon & Schuster, $21.95.) The inside story of William	--	11
""	Casey's years at the helm of the C.I.A., 1981 to 1987.		
""			
12	SEVEN STORIES OF CHRISTMAS LOVE, by Leo Buscaglia. (Slack, $12.95.)	5	7
""	The advocate of caring and love recalls experiences during holidays past.		
""			
13	PERESTROIKA, by Mikhail Gorbachev. (Bessie/ Harper & Row, $19.95.) The	12	3
""	Soviet leader's views on changing his country and the world.		
""			
14	THE DISCOVERY OF THE TITANIC, by Robert D. Ballard with Rick Archbold.	--	10
""	(Madison Press/ Warner, $29.95.) Recent findings about the sinking of the		
""	legendary ship 75 years ago.		
""			
15	I THINK I DON'T REMEMBER, by Art Buchwald. (Putnam, $16.95.) Humorous	14	4
