This	April 30, 1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SATANIC VERSES, by Salman Rushdie. (Viking, $19.95.) Two emigres from	1	9
""	Bombay enact the roles of good and evil in contemporary London.		
""			
2	A PRAYER FOR OWEN MEANY, by John Irving. (Morrow, $19.95.) A schoolboy	3	6
""	who accidentally killed the mother of his best friend turns into a prophet with a		
""	message for our times.		
""			
3	STAR, by Danielle Steel. (Delacorte, $19.95.) The crossed paths of a man and a	2	10
""	woman who are destined for stardom in different professions.		
""			
4	THE JOY LUCK CLUB, by Amy Tan. (Putnam, $18.95.) The tensions and cultural	4	4
""	bonds shared by Chinese-American women and their immigrant mothers.		
""			
5	THE NEGOTIATOR, by Frederick Forsyth. (Bantam, $19.95.) An American	--	1
""	expatriate thwarts terrorists' attempts to prevent the signing of a disarmament		
""	pact.		
""			
6	WE ARE STILL MARRIED, by Garrison Keillor. (Viking, $18.95.) Stories, poems	5	4
""	and satirical pieces, mostly reflecting life in Minnesota during the Reagan era.		
""			
7	KILLSHOT, by Elmore Leonard. (Arbor House/ Morrow, $18.95.) Two thugs out to	11	3
""	assassinate a man and a woman who discovered their crime.		
""			
8	BILLY BATHGATE, by E. L. Doctorow. (Random House, $19.95.) The life of the	6	9
""	1930's gangster Dutch Schultz, as seen by a bright youth from the Bronx.		
""			
9	THE EDGE, by Dick Francis. (Putnam, $18.95.) Murder and mayhem on a luxury	8	10
""	trans-Canadian train trip.		
""			
10	BREATHING LESSONS, by Anne Tyler. (Knopf, $18.95.) The many facets of a	7	29
""	28-year marriage are revealed during a drive to a friend's funeral.		
""			
11	CAT'S EYE, by Margaret Atwood. (Doubleday, $18.95.) A woman's visit to her	9	11
""	native Toronto leads her to reflect on the changes time has wrought.		
""			
12	THE LONG DARK TEA-TIME OF THE SOUL, by Douglas Adams. (Simon &	10	8
""	Schuster, $17.95.) The detective of ''The Hitchhiker's Guide to the Galaxy''		
""	pursues the meaning of an explosion at an airport.		
""			
13	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	13	39
""	C.I.A.'s Jack Ryan races to the rescue of an American secret agent.		
""			
14	MIDNIGHT, by Dean R. Koontz. (Putnam, $19.95.) Inexplicable deaths and	--	12
""	strange horrors take over a once idyllic California town.		
""			
15	THE FORTUNE, by Michael Korda. (Summit, $19.95.) A young woman's ill-fated	15	10
""	romance with the head of America's richest family.		
This	April 30, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	1	26
""	Fulghum. (Villard, $15.95.) Inspirational essays.		
""			
2	LOVE AND MARRIAGE, by Bill Cosby. (Doubleday, $16.95.) Observations on the	--	1
""	elations and frustrations of romantic relationships.		
""			
3	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	2	54
""	scientist reviews efforts to create a unified theory of the universe.		
""			
4	BLIND FAITH, by Joe McGinniss. (Putnam, $21.95.) The family tragedy that came	3	14
""	to light after the 1984 murder of a Toms River, N.J., woman.		
""			
5	CITIZENS, by Simon Schama. (Knopf, $29.95.) A history of the French	11	3
""	Revolution.		
""			
6	“FUNNY, YOU DON'T LOOK LIKE A GRANDMOTHER,'' by Lois Wyse. (Crown,	6	7
""	$12.95.) An advertising woman's reflections on her role as the grandparent of		
""	eight.		
""			
7	OUT OF THE BLUE, by Orel Hershiser with Jerry B. Jenkins. (Wolgemuth & Hyatt,	5	2
""	$17.95.) The autobiography of the Los Angeles Dodgers' pitcher.		
""			
8	THE BLOODING, by Joseph Wambaugh. (Morrow, $18.95.) The murder of two	8	11
""	teen-age girls in an English village is solved through genetic clues.		
""			
9	INNUMERACY, by John Allen Paulos. (Hill & Wang, $16.95.) Americans'	10	10
""	mathematical illiteracy and its consequences for our culture.		
""			
10	INTELLECTUALS, by Paul Johnson. (Harper & Row, $22.50.) An account of the	9	5
""	role writers and critics have played in Western society during the past two		
""	centuries.		
""			
11	WORDSTRUCK, by Robert MacNeil. (Viking, $18.95.) The co-host of the ''MacNeil	7	3
""	Lehrer Newshour'' recalls his boyhood in Canada.		
""			
12	GOLDWYN, by A. Scott Berg. (Knopf, $24.95.) The life of the pioneering motion	--	1
""	picture producer.		
""			
13	SECOND CHANCES, by Judith S. Wallerstein and Sandra Blakeslee. (Ticknor &	14	6
""	Fields, $19.95.) A study of the effects of divorce.		
""			
14	“WHAT DO YOU CARE WHAT OTHER PEOPLE THINK?'' by Richard P.	12	19
""	Feynman with Ralph Leighton. (Norton, $17.95.) Memoirs of the Nobel Prize-		
""	winning physicist.		
""			
15	LEGENDS, LIES, AND CHERISHED MYTHS OF AMERICAN HISTORY, by	13	13
""	Richard Shenkman. (Morrow, $15.95.) An expose of tall tales.		
