This	March 21, 1982	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE PARSIFAL MOSAIC, by Robert Ludlum. (Random House, $15.95.) Through	--	1
""	many exploits and hairbreadth escapes, secret agent Michael Havelock saves the		
""	world from nuclear extinction.		
""			
2	NORTH AND SOUTH, by John Jakes. (Harcourt Brace Jovanovich, $14.95.) The	1	7
""	friendship of two wealthy families - one in Pennsylvania, the other in Carolina - is		
""	strained by the Civil War.		
""			
3	A GREEN DESIRE, by Anton Myrer. (Putnam's, $14.95.) A woman caught	6	7
""	between the clashing ambitions of two brothers during the springtime of this		
""	century.		
""			
4	AN INDECENT OBSESSION, by Colleen McCullough. (Harper & Row, $13.50.) A	3	22
""	nurse and her charges in a special-care ward of a World War II hospital.		
""			
5	SPRING MOON, by Bette Bao Lord. (Harper & Row, $14.95.) Tradition and	4	17
""	revolution in modern China seen through the life of an upper-class family.		
""			
6	MARCO POLO, IF YOU CAN, by William F. Buckley Jr. (Doubleday, $13.95.)	2	8
""	Blackford Oakes's quest for a mole in the C.I.A. takes him to Russia.		
""			
7	THE HOTEL NEW HAMPSHIRE, by John Irving. (Dutton/Henry Robbins, $15.50.)	7	27
""	Life with an eccentric family.		
""			
8	THE DEAN'S DECEMBER, by Saul Bellow. (Harper & Row, $13.95.) During a	5	7
""	deathbed vigil in Rumania, a college dean from Chicago realizes some truths		
""	about his own land.		
""			
9	A MOTHER AND TWO DAUGHTERS, by Gail Godwin. (Viking, $15.95.) The	10	4
""	death of a husband and father changes the lives of a family of female		
""	individualists.		
""			
10	CUJO, by Stephen King. (Viking, $13.95.) Monsters haunt a New York family	13	32
""	seeking peace in rural Maine.		
""			
11	NO TIME FOR TEARS, by Cynthia Freeman. (Arbor House, $14.95.) A dauntless	14	19
""	woman leads her family from Czarist Russia to Palestine to New York's diamond		
""	center.		
""			
12	REMEMBRANCE, by Danielle Steel. (Delacorte, $14.95.) An Italian princess, in	8	20
""	quest of romance, finds frustration, then fulfillment in America.		
""			
13	FEVER, by Robin Cook. (Putnam's, $13.95.) Obsessions, personal and	11	4
""	professional, possess a cancer researcher.		
""			
14	NOBLE HOUSE, by James Clavell. (Delacorte, $19.95.) A British-Chinese	15	46
""	struggle for control of one of Hong Kong's oldest trading houses.		
This	March 21, 1982	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	JANE FONDA'S WORKOUT BOOK, by Jane Fonda. (Simon & Schuster, $17.95.)	1	9
""	An exercise book for women, seasoned with the film star's philosophy of physical		
""	well-being.		
""			
2	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $10.95.) Humor in	2	20
""	cartoons and verse.		
""			
3	A FEW MINUTES WITH ANDY ROONEY, by Andrew A. Rooney. (Atheneum,	3	15
""	$12.95.) Reflections on contemporary life by the journalist and television		
""	commentator.		
""			
4	WHEN BAD THINGS HAPPEN TO GOOD PEOPLE, by Harold S. Kushner.	6	6
""	(Schocken, $10.95.) Comforting thoughts from a Massachusetts rabbi.		
""			
5	AT DAWN WE SLEPT, by Gordon W. Prange. (McGraw-Hill, $22.95.) A fresh	5	9
""	account of the events culminating in the Japanese attack on Pearl Harbor.		
""			
6	WITNESS TO POWER, by John Ehrlichman. (Simon & Schuster, $17.50.) The	4	6
""	gossipy memoirs of one of President Nixon's chief advisers.		
""			
7	HOW TO MAKE LOVE TO A MAN, by Alexandra Penney. (Clarkson N. Potter,	13	28
""	$10.) How-to.		
""			
8	THE WALK WEST: A Walk Across America 2, by Peter and Barbara Jenkins.	7	13
""	(Morrow, $14.95.) A newlywed couple's adventures on a trek from Louisiana to		
""	Oregon.		
""			
9	THE LORD GOD MADE THEM ALL, by James Herriot. (St. Martin's, $13.95.) The	8	46
""	further adventures of the Yorkshire vet at home and behind the Iron Curtain.		
""			
10	WEIGHT WATCHERS 365-DAY MENU COOKBOOK. (New American Library,	9	4
""	$14.95.) A new compendium of more than 500 recipes.		
""			
11	PATHFINDERS, by Gail Sheehy. (Morrow, $15.95.) How ordinary people cope	10	20
""	with the normal crises of life.		
""			
12	THE I LOVE NEW YORK DIET, by Bess Myerson and Bill Adler. (Morrow,	14	3
""	$11.50.) A seven-day plan.		
""			
13	LAID BACK IN WASHINGTON, by Art Buchwald. (Putnam's, $12.95.) The	11	13
""	columnist has his funny say on politics, sex and life in general.		
""			
14	THE CINDERELLA COMPLEX, by Colette Dowling. (Summit Books, $12.95.)	15	26
""	From her own experience, a writer argues that women have a hidden fear of		
""	independence.		
""			
15	NOBODY'S PERFECT, by Hendrie Weisinger and Norman M. Lobsenz. (Stratford	--	1
