This	September 29, 1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	LAKE WOBEGON DAYS, by Garrison Keillor. (Viking, $17.95.) Recollections of a	1	5
""	small American town.		
""			
2	LUCKY, by Jackie Collins. (Simon & Schuster, $17.95.) The heiress of a crime	2	6
""	lord takes on the heiress of a shipping tycoon.		
""			
3	SKELETON CREW, by Stephen King. (Putnam, $18.95.) Twenty-two tales of	4	15
""	horror set in contemporary America.		
""			
4	THE ACCIDENTAL TOURIST, by Anne Tyler. (Knopf, $16.95.) Family and female	10	2
""	friends impose order of a kind on the errant life of a male travel writer.		
""			
5	THE FOURTH DEADLY SIN, by Lawrence Sanders. (Putnam, $17.95.) Which of	6	11
""	six suspects murdered a saintly New York psychiatrist?		
""			
6	THE TWO MRS. GRENVILLES, by Dominick Dunne. (Crown, $14.95.) Romance,	5	7
""	scandal and murder in New York's high society.		
""			
7	THE HUNT FOR RED OCTOBER, by Tom Clancy. (Naval Institute Press,	3	28
""	$14.95.) A Lithuanian submarine driver defects to the United States with the		
""	Soviet Union's most advanced nuclear secrets.		
""			
8	LONESOME DOVE, by Larry McMurtry. (Simon & Schuster, $18.95.) The Old	7	14
""	West seen larger than life.		
""			
9	A MAGGOT, by John Fowles. (Little, Brown, $19.95.) Five travelers in 18th-	9	3
""	century England have mysterious, wonderful and eerie adventures.		
""			
10	TOO MUCH, TOO SOON, by Jacqueline Briskin. (Putnam, $17.95.) Three sisters	13	6
""	find their destinies bound by an obsession with the same man.		
""			
11	THE CIDER HOUSE RULES, by John Irving. (Morrow, $18.95.) Life in a Maine	8	19
""	orphanage earlier in this century.		
""			
12	IF TOMORROW COMES, by Sidney Sheldon. (Morrow, $17.95.) A young woman	11	36
""	destroys the crime lords who got her an undeserved prison term.		
""			
13	JUBAL SACKETT, by Louis L'Amour. (Bantam, $16.95.) In this forerunner to the	15	19
""	17-volume Sackett saga, a restless explorer scouts the 17th-century American		
""	wilderness.		
""			
14	AFTER THE REUNION, by Rona Jaffe. (Delacorte, $17.95.) The surprises and	14	2
""	betrayals that befell four Radcliffe women in the five years after their 20th reunion.		
""			
15	THE RED FOX, by Anthony Hyde. (Knopf, $17.95.) A thriller about an idealistic	--	1
""	Westerner who rejects democratic society in favor of the Soviet Union.		
This	September 29, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ELVIS AND ME, by Priscilla Beaulieu Presley with Sandra Harmon. (Putnam,	3	2
""	$16.95.) The rock legend as friend, mentor, lover, husband, father.		
""			
2	DANCING IN THE LIGHT, by Shirley MacLaine. (Bantam, $17.95.) The	--	1
""	entertainer recalls the year she reached 50 and won an Oscar.		
""			
3	YEAGER: An Autobiography, by Chuck Yeager and Leo Janos. (Bantam, $17.95.)	1	12
""	The story of the first man to fly faster than sound.		
""			
4	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	2	48
""	$19.95.) The rise of an immigrants' son to top jobs at Ford and Chrysler.		
""			
5	A PASSION FOR EXCELLENCE, by Tom Peters and Nancy Austin. (Random	4	21
""	House, $19.95.) Ways to achieve distinction in management.		
""			
6	LAST WISH, by Betty Rollin. (Linden/Simon & Schuster, $14.95.) The ordeal of a	--	1
""	woman whose mother, dying of cancer, wishes to commit suicide.		
""			
7	SMART WOMEN, FOOLISH CHOICES, by Connell Cowan and Melvyn Kinder.	5	26
""	(Clarkson N. Potter, $13.95.) Two clinical psychologists analyze modern women's		
""	efforts to find acceptable men.		
""			
8	HAMMER OF THE GODS: The Led Zeppelin Saga, by Stephen Davis. (Morrow,	8	8
""	$15.95.) The British heavy metal group's boisterous tours of the 1970's.		
""			
9	THE AMATEURS, by David Halberstam. (Morrow, $14.95.) Four American men	9	7
""	seek the 1984 Olympic gold medal for single sculling.		
""			
10	COMMON GROUND, by J. Anthony Lukas. (Knopf, $19.95.) How school	--	1
""	desegregation affected three Boston families from 1968 to 1978.		
""			
11	THE MICK, by Mickey Mantle with Herb Gluck. (Doubleday, $15.95.) The former	10	10
""	Yankee's story.		
""			
12	RE-INVENTING THE CORPORATION, by John Naisbitt and Patricia Aburdene.	14	2
""	(Warner, $17.50.) A description of ''the new information society'' and its		
""	opportunities for employees and employers.		
""			
13	JAGUAR WOMAN, by Lynn V. Andrews. (Harper & Row, $15.95.) A Californian's	--	1
""	search for wisdom in the jungles of Central America.		
""			
14	FUNNY MONEY, by Mark Singer. (Knopf, $15.95.) The scandal surrounding the	12	8
""	1982 collapse of the Penn Square Bank in Oklahoma City.		
""			
15	FINAL CUT, by Steven Bach. (Morrow, $19.95.) How the making of the film	11	4
""	''Heaven's Gate'' proved the unmaking of United Artists.		
