This	November 5, 1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE DARK HALF, by Stephen King. (Viking, $21.95.) After a writer of horror tales	--	1
""	kills off his pseudonym, the deceased goes on a murderous rampage.		
""			
2	CLEAR AND PRESENT DANGER, by Tom Clancy. (Putnam, $21.95.) The C.I.A.'s	1	10
""	Jack Ryan comes to the rescue of Americans fighting Colombian drug lords.		
""			
3	FOUCAULT'S PENDULUM, by Umberto Eco. (Wolff/Harcourt Brace Jovanovich,	4	3
""	$22.95.) Ancient documents and arcane codes produce astonishing results when		
""	thrown into a computer.		
""			
4	PILLARS OF THE EARTH, by Ken Follett. (Morrow, $22.95.) The lives of men and	2	8
""	women whose fortunes are linked by the construction of a cathedral in 12-th		
""	century England.		
""			
5	JIMMY STEWART AND HIS POEMS, by Jimmy Stewart.  (Crown, $9.95.) Verses	3	7
""	by the venerable motion picture star.		
""			
6	TALES FROM MARGARITAVILLE, by Jimmy Buffett. (Harcourt Brace Jovanovich,	--	3
""	$16.95.) Short stories set on a mythical Caribbean island.		
""			
7	CALIFORNIA GOLD, by John Jakes. (Random House, $19.95.) A young man	5	8
""	from Pennsylvania makes his fortune in 19th-century Los Angeles.		
""			
8	OLDEST LIVING CONFEDERATE WIDOW TELLS ALL, by Allan Gurganus.	6	8
""	(Knopf, $21.95.) A 99-year-old woman reflects on her past.		
""			
9	POODLE SPRINGS, by Raymond Chandler and Robert B. Parker. (Putnam,	10	2
""	$18.95.) The private eye Philip Marlowe discovers the dark underside of an		
""	exclusive southern California desert mecca.		
""			
10	THE MINOTAUR, by Stephen Coonts. (Doubleday, $19.95.) The hunt for a mole	8	4
""	in the Pentagon who is giving defense secrets to the Russians.		
""			
11	SOME CAN WHISTLE, by Larry McMurtry. (Simon & Schuster, $19.95.) The life of	11	2
""	a middle-aged writer changes when he meets a daughter he has never seen, her		
""	children and her lovers.		
""			
12	THE LOST YEARS, by J.M. Dillard. (Pocket, $17.95.) What happened to the crew	7	5
""	"of the Enterprise after it completed its five-year ""Star Trek"" mission."		
""			
13	THE JOY LUCK CLUB, by Amy Tan. (Putnam, $18.95.) The tensions and cultural	9	31
""	bonds shared by Chinese-American women and their immigrant mothers.		
""			
14	JOSHUA AND THE CHILDREN, by Joseph F. Girzone. (Macmillian, $13.95.) A	15	12
""	stranger brings hope to a village where violence is a way of life.		
""			
15	SILENT PARTNER, by Jonathan Kellerman. (Bantam, $18.95.) The 1897 trek of	14	6
This	November 5, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	1	53
""	Fulghum. (Villard, $15.95.) Inspirational essays about everyday matters.		
""			
2	IT WAS ON FIRE WHEN I LAY DOWN ON IT, by Robert Fulghum.  (Villard,	2	7
""	$17.95.) A new collection of inspirational essays.		
""			
3	ROSEANNE, by Roseanne Barr. (Harper & Row, $18.95.) The autobiography of	3	4
""	the television comedian.		
""			
4	AMONG SCHOOLCHILDREN, by Tracy Kidder. (Richard Todd/Houghton Mifflin,	4	10
""	$19.95.) A year in the life of a fifth-grade teacher in Holyoke, Mass.		
""			
5	CONFESSIONS OF AN S.O.B., by Al Neuharth.  (Doubleday, $18.95.) The	7	3
""	experiences of the founder of USA Today.		
""			
6	I WANT TO GROW HAIR, I WANT TO GROW UP, I WANT TO GO TO BOISE, by	8	4
""	Erma Bombeck. (Harper & Row, $16.95.) Fifteen stories of children surviving		
""	cancer.		
""			
7	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	5	81
""	scientist reviews efforts to create a unified theory of the universe.		
""			
8	MY TURN, by Nancy Reagan with William Novak. (Random House, $21.95.) The	--	1
""	former First Lady's memoir of her White House years.		
""			
9	IT'S ALWAYS SOMETHING, by Gilda Radner. (Simon & Schuster, $17.95.) The	6	22
""	late comedian's memoir describes her battle with ovarian cancer.		
""			
10	THE WRITING LIFE, by Annie Dillard. (Harper & Row, $15.95.) A novelist	9	8
""	describes and reflects on the creative process.		
""			
11	FROM BEIRUT TO JERUSALEM, by Thomas L. Friedman. (Farrar, Straus &	11	15
""	Giroux, $22.95.) The Arab-Israeli conflict as observed by a New York times		
""	correspondent over the past decade.		
""			
12	THE CONTROL OF NATURE, by John McPhee.  (Farrar, Straus & Giroux,	12	11
""	$17.95.) How people in Mississippi, Iceland and California coped with raging		
""	rivers, lava and wind, fire and heavy rain.		
""			
13	BO, by Bo Schembechler and Mitch Alborn. (Warner, $17.95.) Big-time college	14	7
""	football as lived and observed by the coach of the Michigan Wolverines.		
""			
14	LOVE'S EXECUTIONER, by Irvin D. Yalom. (Basic, $19.95.) Case histories from a	13	6
""	Stanford psychiatrist's files.		
""			
15	EDUCATION OF A WANDERING MAN, by Louis L'Amour. (Bantam, $16.95.) The	--	1
""	author recalls the places he visited and the books he read in his youth.		
