This	March 12, 1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	STAR, by Danielle Steel. (Delacorte, $19.95.) The crossed paths of a man and a	1	3
""	woman, both destined for stardom, one in Washington and the other in Hollywood.		
""			
2	THE SATANIC VERSES, by Salman Rushdie. (Viking, $19.95.) Two emigres from	2	2
""	Bombay find themselves enacting the roles of good and evil in contemporary		
""	London.		
""			
3	THE EDGE, by Dick Francis. (Putnam, $18.95.) Murder and mayhem on a luxury	3	3
""	trans-Canadian train trip.		
""			
4	BILLY BATHGATE, by E. L. Doctorow. (Random House, $19.95.) The life of the	8	2
""	1930's gangster Dutch Schultz, as seen by a bright youth from the Bronx.		
""			
5	MIDNIGHT, by Dean R. Koontz. (Putnam, $19.95.) Inexplicable deaths and	4	7
""	strange horrors take over a once idyllic California town.		
""			
6	CAT'S EYE, by Margaret Atwood. (Doubleday, $18.95.) A woman's visit to her	5	4
""	native Toronto leads her to reflect on the changes time has wrought.		
""			
7	THE FORTUNE, by Michael Korda. (Summit, $19.95.) A young woman's ill-fated	9	3
""	romance with the head of America's richest family.		
""			
8	THE SANDS OF TIME, by Sidney Sheldon. (Morrow, $19.95.) Four nuns become	6	17
""	pawns in a struggle between the Spanish Army and Basque separatists.		
""			
9	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	7	32
""	C.I.A.'s Jack Ryan races to the rescue of an American secret agent.		
""			
10	RIVALS, by Janet Dailey. (Little, Brown, $18.95.) Feuding families compete in	10	8
""	business and romance.		
""			
11	A SEASON IN HELL, by Jack Higgins. (Simon & Schuster, $18.95.) A young	11	8
""	widow's quest for her stepson's killers leads to horrendous adventures.		
""			
12	MUTATION, by Robin Cook. (Putnam, $18.95.) A physician's attempt to create a	12	7
""	superior child results in a prodigy that turns into a terror.		
""			
13	THE LONG DARK TEA-TIME OF THE SOUL, by Douglas Adams. (Simon &	--	1
""	Schuster, $17.95.) The detective of ''The Hitchhiker's Guide to the Galaxy''		
""	pursues the meaning of an explosion at an airport.		
""			
14	STORMING INTREPID, by Payne Harrison. (Crown, $19.95.) Warfare waged in	14	3
""	outer space between the United States and the Soviet Union.		
""			
15	THE LYRE OF ORPHEUS, by Robertson Davies. (Viking, $19.95.) The staging of	15	9
""	an unfinished Hoffmann opera causes its participants to relive the legend of King		
""	Arthur.		
This	March 12, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	1	19
""	Fulghum. (Villard, $15.95.) Inspirational essays about everyday matters.		
""			
2	BLIND FAITH, by Joe McGinniss. (Putnam, $21.95.) The family tragedy that came	2	7
""	to light after the 1984 murder of a Toms River, N.J., woman.		
""			
3	THE BLOODING, by Joseph Wambaugh. (Morrow, $18.95.) The murder of two	3	4
""	teen-age girls in an English village is solved through genetic clues.		
""			
4	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	4	47
""	scientist reviews efforts to create a unified theory of the universe.		
""			
5	GRACIE, by George Burns. (Putnam, $16.95.) The life of the comedian Gracie	5	17
""	Allen, recalled by her widower and show business partner.		
""			
6	THE FIRST SALUTE, by Barbara W. Tuchman. (Knopf, $22.95.) A historian's view	6	22
""	of the American Revolution.		
""			
7	LEGENDS, LIES, AND CHERISHED MYTHS OF AMERICAN HISTORY, by	8	6
""	Richard Shenkman. (Morrow, $15.95.) An expose of tall tales that have become		
""	part of our national heritage.		
""			
8	THE LAST LION, by William Manchester. (Little, Brown, $24.95.) The second	9	21
""	volume of a biography of Winston Churchill, covering the years 1932-40.		
""			
9	INNUMERACY, by John Allen Paulos. (Hill & Wang, $16.95.) Americans'	11	3
""	mathematical illiteracy and its consequences for our culture.		
""			
10	PARTING THE WATERS, by Taylor Branch. (Simon & Schuster, $24.95.) The rise	10	9
""	of the American civil rights movement under the leadership of Martin Luther King		
""	Jr.		
""			
11	“WHAT DO YOU CARE WHAT OTHER PEOPLE THINK?'' by Richard P.	7	12
""	Feynman with Ralph Leighton. (Norton, $17.95.) Memoirs of the Nobel Prize-		
""	winning physicist.		
""			
12	RICHARD BURTON, by Melvyn Bragg. (Little, Brown, $22.95.) The professional	16	2
""	and private life of the distinguished actor.		
""			
13	CHILD STAR, by Shirley Temple Black. (McGraw- Hill, $19.95.) The	12	18
""	autobiography of the No. 1 film actress of the mid-1930's.		
""			
14	THE BOY WHO COULDN'T STOP WASHING, by Judith L. Rapoport. (Dutton,	15	4
""	$17.95.) A psychiatrist's account of the symptoms and treatment of an obsessive-		
""	compulsive disorder.		
""			
15	SECOND CHANCES, by Judith S. Wallerstein and Sandra Blakeslee. (Ticknor &	--	1
