This	February 16, 1986	Last	Weeks
Week	Fiction	Week	On List
""			
1	LIE DOWN WITH LIONS, by Ken Follett. (Morrow, $18.95.) An English woman	3	3
""	caught between the C.I.A. and the K.G.B., romance and loyalty, in contemporary		
""	Afghanistan.		
""			
2	THE MAMMOTH HUNTERS, by Jean M. Auel. (Crown, $19.95.) Ayla continues	1	13
""	her adventures in the prehistoric world in a sequel to ''The Clan of the Cave Bear''		
""	and ''The Valley of Horses.''		
""			
3	LAKE WOBEGON DAYS, by Garrison Keillor. (Viking, $17.95.) Recollections of a	2	25
""	small American town.		
""			
4	CYCLOPS, by Clive Cussler. (Simon & Schuster, $18.95.) The quest for a long-	4	4
""	vanished ship leads to episodes involving Fidel Castro, the Kremlin, the White		
""	House and the moon.		
""			
5	TEXAS, by James A. Michener. (Random House, $21.95.) Four hundred fifty	5	19
""	years of history in fictional form.		
""			
6	CONTACT, by Carl Sagan. (Simon & Schuster, $18.95.) The commotion that	6	19
""	follows the reception of a signal from intelligent life beyond Earth.		
""			
7	THE LEBARON SECRET, by Stephen Birmingham. (Little, Brown, $17.95.) Love	12	2
""	and conflict among the LeBarons, a wealthy family of California vintners.		
""			
8	ANGELS OF SEPTEMBER, by Andrew M. Greeley. (Bernard Geis/Warner,	--	1
""	$17.95.) Father Blackie Ryan investigates when a woman's art gallery is wrecked		
""	by an eerie explosion.		
""			
9	THE ACCIDENTAL TOURIST, by Anne Tyler. (Knopf, $16.95.) Family and friends	9	22
""	impose order of a kind on the errant life of a travel writer.		
""			
10	STONE 588, by Gerald A. Browne. (Arbor House, $17.95.) The pursuit of a stolen	11	2
""	crystal with curative powers climaxes atop St. Patrick's Cathedral.		
""			
11	THE STORYTELLER, by Harold Robbins. (Simon & Schuster, $17.95.) A poor boy	8	6
""	from Brooklyn makes it big in the world of glamour as a writer.		
""			
12	SECRETS, by Danielle Steel. (Delacorte, $17.95.) Behind the scenes during the	7	17
""	production of a blockbuster television series.		
""			
13	LUCKY, by Jackie Collins. (Simon & Schuster, $17.95.) The heiress of a crime	--	23
""	lord takes on the heiress of a shipping tycoon.		
""			
14	THE SEVENTH SECRET, by Irving Wallace. (Dutton, $17.95.) A young woman	14	3
""	sets out to uncover the dark secrets of the Nazi regime.		
""			
15	LONDON MATCH, by Len Deighton. (Knopf, $17.95.) Bernard Samson tracks yet	10	9
This	February 16, 1986	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	1	68
""	$19.95.) The rise of an immigrants' son to top jobs at Ford and Chrysler.		
""			
2	YEAGER: An Autobiography, by Chuck Yeager and Leo Janos. (Bantam, $17.95.)	2	32
""	The story of the first man to fly faster than sound.		
""			
3	BUS 9 TO PARADISE, by Leo Buscaglia. (Slack/ Morrow, $16.95.) Another trip	--	1
""	with the ebullient advocate of the virtues of love.		
""			
4	DANCING IN THE LIGHT, by Shirley MacLaine. (Bantam, $17.95.) In her 51st	5	21
""	year, the entertainer wins an Oscar, survives a stormy romance and has new		
""	visions of the past and future.		
""			
5	HOUSE, by Tracy Kidder. (Houghton Mifflin, $17.95.) An account of the	7	17
""	construction of a Greek Revival house in Massachusetts.		
""			
6	I NEVER PLAYED THE GAME, by Howard Cosell with Peter Bonventre. (Morrow,	6	18
""	$18.95.) A dour view of the sports world by the veteran broadcaster.		
""			
7	ELVIS AND ME, by Priscilla Beaulieu Presley with Sandra Harmon. (Putnam,	3	22
""	$16.95.) The rock legend as friend, mentor, lover, husband and father of a		
""	daughter, by his former wife.		
""			
8	A PASSION FOR EXCELLENCE, by Tom Peters and Nancy Austin. (Random	9	34
""	House, $19.95.) Ways to achieve distinction in management.		
""			
9	ON THE ROAD WITH CHARLES KURALT, by Charles Kuralt. (Putnam, $16.95.)	4	19
""	The television reporter tells of Americans he's encountered.		
""			
10	WISEGUY, by Nicholas Pileggi. (Simon & Schuster, $17.95.) The experiences of	--	1
""	Henry Hill as a member of a Mafia family.		
""			
11	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $13.50.) Light verse	10	154
""	and drawings.		
""			
12	THE FRINGES OF POWER, by John Colville. (Norton, $25.) The diary of the	--	1
""	private secretary of three British prime ministers illuminates the career of Winston		
""	Churchill.		
""			
13	COMET, by Carl Sagan and Ann Druyan. (Random House, $27.50.) An illustrated	8	7
""	study of the ice-and-dust balls that are probably leftovers from the creation of the		
""	solar system.		
""			
14	ONLY ONE WOOF, by James Herriot. (St. Martin's, $9.95.) The true story,	11	14
""	profusely illustrated by Peter Barrett, of how a Yorkshire sheepdog found his long-		
""	lost brother.		
