This	August 7, 1983	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE NAME OF THE ROSE, by Umberto Eco. (Helen & Kurt Wolff/Harcourt Brace	2	7
""	Jovanovich, $15.95.) Unraveling the mystery of a murder in a 14th-century Italian		
""	monastery.		
""			
2	RETURN OF THE JEDI, adapted by Joan D. Vinge. (Random House, $6.95.)	1	9
""	Profusely illustrated storybook based on the latest ''Star Wars'' film. Tied with ''The		
""	Name of the Rose.''		
""			
3	THE LITTLE DRUMMER GIRL, by John le Carré. (Knopf, $15.95.) A British	3	21
""	actress caught between Israeli intelligence agents and P.L.O. terrorists.		
""			
4	GODPLAYER, by Robin Cook. (Putnam, $13.95.) The marriage of two physicians	4	5
""	crumbles as death stalks their hospital's corridors.		
""			
5	THE SEDUCTION OF PETER S., by Lawrence Sanders. (Putnam, $15.95.) The	7	3
""	sudden, danger-filled success of a long out-of-work actor.		
""			
6	HEARTBURN, by Nora Ephron. (Knopf, $11.95.) A roman a clef about a marriage	6	15
""	breaking up.		
""			
7	CHRISTINE, by Stephen King. (Viking, $16.95.) A car that kills is at large among a	5	18
""	Pennsylvania town's high school set.		
""			
8	HOLLYWOOD WIVES, by Jackie Collins. (Simon & Schuster, $16.95.) The	--	1
""	struggle for money and power in Tinsel Town.		
""			
9	THE SUMMER OF KATYA, by Trevanian. (Crown, $12.95.) A love story with dark	8	13
""	family secrets, set in France before World War I.		
""			
10	WHITE GOLD WIELDER, by Stephen R. Donaldson. (Ballantine/Del Rey, $14.95.)	10	18
""	Book Three of ''The Second Chronicles of Thomas Covenant,'' a fantasy saga.		
""			
11	ASCENT INTO HELL, by Andrew M. Greeley. (Bernard Geis/Warner, $16.50.) The	9	10
""	ordeal of a man who leaves the priesthood to enjoy the pleasures of secular life.		
""			
12	VOICE OF THE HEART, by Barbara Taylor Bradford. (Doubleday, $17.95.) The	12	19
""	friendship of two women survives the strains of 25 years in the worlds of show		
""	business, politics and big business.		
""			
13	THE WORLD IS MADE OF GLASS, by Morris West. (Morrow, $15.95.) The	--	2
""	emotional and professional relationship of Dr. Carl Jung and Dr. Magda von		
""	Gramsfeld: based on a case recorded in Jung's notebooks.		
""			
14	ANCIENT EVENINGS, by Norman Mailer. (Little, Brown, $19.95.) Ten centuries of	13	16
""	rites and orgies in long-ago Egypt.		
""			
15	THE WARLORD, by Malcolm Bosse. (Simon & Schuster, $19.25.) Politics, power	11	6
This	August 7, 1983	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IN SEARCH OF EXCELLENCE, by Thomas J. Peters and Robert H. Waterman Jr.	1	30
""	(Harper & Row, $19.95.) Lessons to be learned from well-run American		
""	corporations.		
""			
2	MEGATRENDS, by John Naisbitt. (Warner, $15.50.) Predictions about America in	3	39
""	the next decade based on an analysis of conditions today.		
""			
3	THE ONE MINUTE MANAGER, by Kenneth Blanchard and Spencer Johnson.	2	45
""	(Morrow, $15.) How to increase the productivity of those with whom you work as		
""	well as your own.		
""			
4	CREATING WEALTH, by Robert G. Allen. (Simon & Schuster, $14.95.) How to get	4	11
""	started in real estate with little or no money.		
""			
5	THE PRICE OF POWER, by Seymour M. Hersh. (Summit, $19.95.) A critical look	5	7
""	at Henry Kissinger's years in the Nixon White House.		
""			
6	JANE FONDA'S WORKOUT BOOK, by Jane Fonda. (Simon & Schuster, $19.95.)	6	81
""	An exercise book for women, seasoned with the film star's philosophy of physical		
""	well-being.		
""			
7	OUT ON A LIMB, by Shirley MacLaine. (Bantam, $15.95.) The actress tells of her	9	4
""	mid-life ''journey to find her true self.''		
""			
8	BLUE HIGHWAYS, by William Least Heat Moon. (Atlantic/Little, Brown, $17.50.) A	8	25
""	report on a trip through the back roads of America.		
""			
9	GROWING UP, by Russell Baker. (Congdon & Weed, $15.) The New York Times	10	35
""	columnist recalls his boyhood and youth.		
""			
10	HOW TO LIVE TO BE 100 - OR MORE, by George Burns. (Putnam, $11.95.) The	7	10
""	octogenarian comedian's ''ultimate diet, sex and exercise book.''		
""			
11	WORKING OUT, by Charles Hix. (Simon & Schuster, $16.95.) Exercise book for	13	16
""	men.		
""			
12	THE LAST LION, by William Manchester. (Little, Brown, $25.) Winston S.	12	11
""	Churchill's ''visions of glory,'' 1874-1932.		
""			
13	THE F-PLAN DIET, by Audrey Eyton. (Crown, $12.95.) Americanized version of a	11	15
""	popular English fiber-based regimen.		
""			
14	THE LOVE YOU MAKE, by Peter Brown and Steven Gaines. (McGraw-Hill,	15	15
""	$14.95.) All about the Beatles, by a friend and business associate with the help of		
""	a journalist.		
""			
15	THE DIET CENTER PROGRAM, by Sybil Ferguson. (Little, Brown, $14.95.) How	14	14
