This	May 26, 1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	IF TOMORROW COMES, by Sidney Sheldon. (Morrow, $17.95.) A young woman	5	18
""	destroys the crime lords who got her an undeserved prison term.		
""			
2	HOLD THE DREAM, by Barbara Taylor Bradford. (Doubleday, $17.95.) Continuing	8	2
""	the family saga begun in ''A Woman of Substance.''		
""			
3	JUBAL SACKETT, by Louis L'Amour. (Bantam, $16.95.) In this 18th novel of the	--	1
""	Sackett saga, a restless explorer scouts the American wilderness.		
""			
4	FAMILY ALBUM, by Danielle Steel. (Delacorte, $16.95.) A married couple with five	6	12
""	children cope with the crises of contemporary America.		
""			
5	INSIDE, OUTSIDE, by Herman Wouk. (Little, Brown, $19.95.) A traditionalist Jew's	7	10
""	quest for identity in glittery contemporary America.		
""			
6	THE HUNT FOR RED OCTOBER, by Tom Clancy. (Naval Institute Press,	3	10
""	$14.95.) A Lithuanian submarine driver defects to the United States with the		
""	Soviet Union's most advanced nuclear secrets.		
""			
7	THINNER, by Richard Bachman. (NAL Books, $12.95.) In this pseudonymous	1	13
""	novel by Stephen King, a young lawyer finds his body mysteriously wasting away.		
""			
8	CHAPTERHOUSE: DUNE, by Frank Herbert. (Putnam, $17.95.) A new world rises	2	6
""	from the Old Empire's ashes in this volume of the ''Dune'' series.		
""			
9	THE CLASS, by Erich Segal. (Bantam, $17.95.) What happened to five members	4	5
""	of the class of 1958 after they left Harvard Yard.		
""			
10	QUEENIE, by Michael Korda. (Linden Press/ Simon & Schuster, $17.95.) The	10	6
""	glamorous career of Dawn Avalon, whose life was not unlike that of the late Merle		
""	Oberon.		
""			
11	THE CIDER HOUSE RULES, by John Irving. (Morrow, $18.95.) Life in a Maine	--	1
""	orphanage earlier in this century.		
""			
12	A CREED FOR THE THIRD MILLENNIUM, by Colleen McCullough. (Harper &	13	3
""	Row, $17.95.) A man and a woman set out to salvage a spiritually exhausted		
""	America in the not-too-distant future.		
""			
13	THE LONELY SILVER RAIN, by John D. MacDonald. (Knopf, $15.95.) A yacht's	9	8
""	disappearance, a debutante's murder and other puzzles Travis McGee must solve		
""	to save his life.		
""			
14	PROOF, by Dick Francis. (Putnam, $16.95.) A young wine merchant gets caught	11	10
""	in a scam involving murder and vengeance.		
""			
15	GLITZ, by Elmore Leonard. (Arbor House, $14.95.) The escapades, romantic and	12	16
This	May 26, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	1	30
""	$19.95.) The rise of the automobile executive from immigrants' son to top jobs at		
""	Ford and Chrysler.		
""			
2	SMART WOMEN, FOOLISH CHOICES, by Connell Cowan and Melvyn Kinder.	2	8
""	(Clarkson N. Potter, $13.95.) Two clinical psychologists analyze the successes		
""	and failures of modern women in looking for acceptable men.		
""			
3	A PASSION FOR EXCELLENCE, by Tom Peters and Nancy Austin. (Random	3	3
""	House, $19.95.) Ways to achieve distinction in management.		
""			
4	ONCE UPON A TIME, by Gloria Vanderbilt. (Knopf, $16.95.) Memories of the first	5	4
""	17 years of a ''poor little rich girl.''		
""			
5	MY MOTHER'S KEEPER, by B. D. Hyman. (Morrow, $16.95.) A portrait of the	10	2
""	actress Bette Davis, by her daughter.		
""			
6	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt, $13.95.) Suggestions for	6	39
""	''setting our priorities right in order to enjoy life to the fullest.''		
""			
7	BREAKING WITH MOSCOW, by Arkady N. Shevchenko. (Knopf, $18.95.) The	4	13
""	autobiography of the highest-ranking Soviet official ever to defect.		
""			
8	THE SOONG DYNASTY, by Sterling Seagrave. (Harper & Row, $22.50.) The	8	6
""	tangled lives of Charlie Soong and his six children, who shaped much of China's		
""	modern history.		
""			
9	THE COURAGE TO CHANGE, by Dennis Wholey. (Houghton Mifflin, $15.95.)	7	15
""	Conversations with two dozen men and women, many of them celebrities, about		
""	their problems with alcoholism.		
""			
10	THE BLOOD OF ABRAHAM, by Jimmy Carter. (Houghton Mifflin, $15.95.) The	9	5
""	problems of the Middle East and what can be done about them, as seen by the		
""	former President.		
""			
11	''SURELY YOU'RE JOKING, MR. FEYNMAN,'' by Richard P. Feynman. (Norton,	11	11
""	$15.95.) A Nobel laureate in physics recounts his curious misadventures inside		
""	and outside his profession.		
""			
12	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $13.50.) Light verse	13	131
""	and drawings.		
""			
13	CONFESSIONS OF A HOOKER, by Bob Hope with Dwayne Netland. (Doubleday,	15	2
""	$17.95.) Memories of more than 50 years of golfing, by the comedian.		
""			
14	THE BRIDGE ACROSS FOREVER, by Richard Bach. (Morrow, $16.95.) The	12	38
""	author of ''Jonathan Livingston Seagull'' tells of his search for love.		
