This	August 27, 1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE RUSSIA HOUSE, by John le Carré. (Knopf, $19.95.) Espionage changes its	1	12
""	ways as glasnost begins to rust the Iron Curtain.		
""			
2	POLAR STAR, by Martin Cruz Smith. (Random House, $19.95.)  Russian and	2	8
""	American teams investigate the mysterious movements of a Soviet ship in		
""	northern Pacific waters.		
""			
3	BLESSINGS, by Belva Plain. (Delacorte, $19.95.) A lawyer's romantic past	4	4
""	catches up with her on the eve of her marriage and the trial of her most important		
""	case.		
""			
4	THE JOY LUCK CLUB, by Amy Tan. (Putnam, $18.95.) The tensions and cultural	3	21
""	bonds shared by Chinese-American women and their immigrant mothers.		
""			
5	KNIGHT IN SHINING ARMOR, by Jude Deveraux. (Pocket, $17.95.) A 20th-	7	3
""	century American woman finds love though an encounter with a 16th-century		
""	English nobleman.		
""			
6	RED PHOENIX, by Larry Bond. (Warner, $19.95.) Three American servicemen	6	13
""	and the roles they play in a second Korean war.		
""			
7	WHILE MY PRETTY ONE SLEEPS, by Mary Higgins Clark. (Simon & Schuster,	5	16
""	$19.95.) The murder of a gossip writer creates a storm in New York's high-fashion		
""	world.		
""			
8	JOURNEY, by James Michener.  (Random House, $16.95.) The 1897 trek of four	8	5
""	British aristocrats and an Irish manservant across Canada to reach the Klondike		
""	gold fields.		
""			
9	MURDER AT THE KENNEDY CENTER, by Margaret Truman.  (Random House,	12	4
""	&17.95.) Intrigue and passion surround the mysterious death of the aide to a		
""	Presidential candidate.		
""			
10	THE TEMPLE OF MY FAMILIAR, by Alice Walker. (Harcourt Brace Jovanovich,	9	17
""	$19.95.) The relations of the species, races and sexes through the past 5,000		
""	centuries.		
""			
11	THE NEGOTIATOR, by Frederick Forsyth. (Bantam, $19.95.) An American	10	18
""	expatriate tries to thwart terrorists' attempts to prevent the signing of a		
""	disarmament pact.		
""			
12	DAY OF THE CHEETAH, by Dale Brown (Fine, $18.95.) America's most	14	8
""	advanced weapon falls into the hands of a pilot who is a K.G.B. mole.		
""			
13	TALKING GOD, by Tony Hillerman. (Harper & Row, $17.95.) Two New Mexican	13	13
""	policemen pursue a mystery involving valuable Indian ceremonial masks.		
This	August 27, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IT'S ALWAYS SOMETHING, by Gilda Radner. (Simon & Schuster, $17.95.) The	2	12
""	late comedian's memoir describes her battle with ovarian cancer.		
""			
2	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	1	43
""	Fulghum. (Villard, $15.95.) Inspirational essays about everyday matters.		
""			
3	A WOMAN NAMED JACKIE, by C. David Heymann. (Lyle Stuart, $21.95.) A	3	16
""	biography of Jacqueline Kennedy Onassis.		
""			
4	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	4	71
""	scientist reviews efforts to create a unified theory of the universe.		
""			
5	FROM BEIRUT TO JERUSALEM, by Thomas L. Friedman. (Farrar, Straus &	6	5
""	Giroux, $22.95.) The Arab-Israeli conflict as observed by a New York times		
""	correspondent over the past decade.		
""			
6	THE GOOD TIMES, by Russell Baker. (Morrow, $19.95.) The New York Times	5	12
""	columnist recalls his experiences from Baltimore newsboy to Washington		
""	correspondent during the 50's and 60's.		
""			
7	SUMMER OF '49, by David Halberstam. (Morrow, $21.95.) The year the Boston	7	14
""	Red Sox and the New York Yankees battled to the last game for the American		
""	League pennant.		
""			
8	PERSONAL FOULS, by Peter Golenbock.  (Carroll & Graf, $18.95.) An	9	2
""	investigative account of the basketball program at North Carolina State University.		
""			
9	KING OF THE NIGHT, by Laurence Leamer. (Morrow, $19.95.) A biography of the	8	4
""	television talk-show host Johnny Carson.		
""			
10	DAVE BARRY SLEPT HERE, by Dave Barry.  (Random House, $12.95.)  A	10	8
""	humorist's account of American history.		
""			
11	THE ANDY WARHOL DIARIES, edited by Pat Hackett. (Warner, $29.95.)	13	14
""	Observations and opinions dictated by the artist and celebrity from 1976 to 1987.		
""			
12	THE CONTROL OF NATURE, by John McPhee.  (Farrar, Straus & Giroux,	--	1
""	$17.95.) How people in Mississippi, Iceland and California coped with raging		
""	rivers, lava and wind, fire and heavy rain.		
""			
13	KAFFIR BOY IN AMERICA, by Mark Mathabane.  (Scribners, $19.95.) The	--	1
""	experiences of a black South African as a student and writer in the United States.		
""			
14	GREAT PLAINS, by Ian Frazier. (Farrar, Straus, & Giroux, $17.95.) The history	12	7
""	and legends of the American prairies depicted by a visitor from the East.		
""			
15	LOVE AND MARRIAGE, by Bill Cosby. (Doubleday, $16.95.) Observations on the	11	18
