This	October 4, 1981	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE HOTEL NEW HAMPSHIRE, by John Irving. (Dutton/Henry Robbins, $15.50.)	1	3
""	Life with the Berrys, an eccentric family that sets up house in unlikely hotels, here		
""	and abroad.		
""			
2	CUJO, by Stephen King. (Viking, $13.95.) Monsters haunt a New York family	2	8
""	seeking peace in rural Maine.		
""			
3	NOBLE HOUSE, by James Clavell. (Delacorte, $19.95.) British and Chinese	3	22
""	businessmen struggle for control of one of Hong Kong's oldest trading houses.		
""			
4	THE THIRD DEADLY SIN, by Lawrence Sanders. (Putnam's, $13.95.) Chief of	4	10
""	Detectives (ret.) Edward X. Delaney on the trail of the elusive killer of out-of-town		
""	businessmen visiting New York.		
""			
5	GORKY PARK, by Martin Cruz Smith. (Random House, $13.95.) A triple murder in	5	26
""	Moscow leads to a chase on two continents.		
""			
6	THE CARDINAL SINS, by Andrew M. Greeley. (Warner/Bernard Geis, $12.95.)	10	15
""	The triumphs and tragedies of two Chicago boys as priests in the Catholic Church.		
""			
7	GOODBYE, JANETTE, by Harold Robbins. (Simon & Schuster, $13.95.) Two	9	17
""	randy sisters at large in the Parisian world of haute couture.		
""			
8	NIGHT PROBE!, by Clive Cussler. (Bantam, $13.95.) A race to recover an	14	7
""	important British-American treaty long lost at sea.		
""			
9	BREAD UPON THE WATERS, by Irwin Shaw. (Delacorte, $14.95.) An	6	2
""	unexpected bounty changes the life of Allen Strand's family and makes him		
""	perceive our culture's many paradoxes.		
""			
10	THE LAST DAYS OF AMERICA, by Paul Erdman. (Simon & Schuster, $13.95.)	7	6
""	International intrigue and dirty financial wheeling-and-dealing in 1985.		
""			
11	THE GLITTER DOME, by Joseph Wambaugh. (Morrow/Perigord, $12.95.) Two	8	15
""	veteran homicide detectives trapped by the seductive vices of Hollywood.		
""			
12	LUCIANO'S LUCK, by Jack Higgins. (Stein & Day, $12.95.) Lucky Luciano,	11	5
""	American gangster chief, is whisked to wartime Europe to prepare the way for the		
""	Allied invasion.		
""			
13	THE CLOWNS OF GOD, by Morris West. (Morrow, $14.95.) What happens when	12	11
""	the Pope has a revelation that the end of the world is near and the Cardinals force		
""	him to abdicate.		
""			
14	WOMEN'S WORK, by Anne Tolstoi Wallach. (NAL Books, $13.95.) A talented	--	3
""	woman strives for a top place in that man's world, the advertising business.		
This	October 4, 1981	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE BEVERLY HILLS DIET, by Judy Mazel. (Macmillan, $10.95.) A regimen	1	20
""	devised by a Hollywood nutrition guru.		
""			
2	THE LORD GOD MADE THEM ALL, by James Herriot. (St. Martin's, $13.95.) The	2	22
""	further adventures of the Yorkshire vet at home and behind the Iron Curtain.		
""			
3	NEVER-SAY-DIET BOOK, by Richard Simmons. (Warner, $14.95.) A regimen for	3	35
""	exercise, diet and life style devised by a Hollywood television personality.		
""			
4	THE CINDERELLA COMPLEX, by Colette Dowling. (Summit Books, $12.95.)	6	11
""	From her own experience, a writer argues that women have a hidden fear of		
""	independence.		
""			
5	MISS PIGGY'S GUIDE TO LIFE, by Miss Piggy as told to Henry Beard. (Knopf/	4	15
""	Muppet Press, $12.95.) Advice about everything from the superstar porcine		
""	personality.		
""			
6	LIVING ALONE & LIKING IT! by Lynn Shahan. (Stratford Press, $10.95.) How to	5	9
""	enjoy the single life.		
""			
7	HOW TO MAKE LOVE TO A MAN, by Alexandra Penney. (Clarkson N. Potter,	7	7
""	$10.) How-to.		
""			
8	KEEP IT SIMPLE, by Marian Burros. (Morrow, $11.95.) Meals that can be	8	7
""	prepared within half an hour.		
""			
9	COSMOS, by Carl Sagan. (Random House, $19.95.) Thirteen billion years of the	10	47
""	universe's evolution explained by the NASA medal-winning space scientist.		
""			
10	THEORY Z, by William G. Ouchi. (Addison-Wesley, $12.95.) The reasons for	12	15
""	Japanese business success.		
""			
11	THE EAGLE'S GIFT, by Carlos Castaneda. (Simon & Schuster, $12.95.) Another	13	21
""	journey into the land of sorcery, hallucinatory visions and Mexican Indian lore.		
""			
12	THE HITE REPORT ON MALE SEXUALITY, by Shere Hite. (Knopf, $19.95.) The	14	11
""	performances and practices of 7,239 men, ages 13 to 97.		
""			
13	JANE BRODY'S NUTRITION BOOK, by Jane Brody. (Norton, $17.95.) Advice by	9	11
""	The New York Times personal health columnist.		
""			
14	SOCIAL STUDIES, by Fran Lebowitz. (Random House, $9.95.) Amusing looks at	11	2
""	New York and America by a young woman with a sour-cream sensibility.		
""			
15	YOU CAN NEGOTIATE ANYTHING, by Herb Cohen. (Lyle Stuart, $12.) Ways to	15	31
""	avoid conflict and get what you want.		
