This	January 17, 1988	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE TOMMYKNOCKERS, by Stephen King. (Putnam, $19.95.) Two writers'	1	8
""	zealous attempt to unearth mysterious artifacts creates nightmares in a Maine		
""	village.		
""			
2	THE BONFIRE OF THE VANITIES, by Tom Wolfe. (Farrar, Straus & Giroux,	4	11
""	$19.95.) A bond trader caught in the jungles of New York.		
""			
3	KALEIDOSCOPE, by Danielle Steel. (Delacorte, $18.95.) Three sisters, separated	2	13
""	by fate, and the lawyer whose mission is to find and reunite them.		
""			
4	PRESUMED INNOCENT, by Scott Turow. (Farrar, Straus & Giroux, $18.95.) A	6	30
""	brutal murder creates a crisis among a big city's politicians.		
""			
5	PATRIOT GAMES, by Tom Clancy. (Putnam, $19.95.) The C.I.A.'s Jack Ryan	5	25
""	battles terrorists in England, Ireland and America.		
""			
6	LEAVING HOME, by Garrison Keillor. (Viking, $18.95.) A collection of Lake	3	16
""	Wobegon monologues, from the radio program ''A Prairie Home Companion.''		
""			
7	2061: Odyssey Three, by Arthur C. Clarke. (Del Rey/Ballantine, $17.95.)	9	7
""	Continuing the space saga begun in ''2001'' and ''2010.''		
""			
8	BELOVED, by Toni Morrison. (Knopf, $18.95.) Memories of her past haunt an	10	18
""	escaped slave in post-Civil War Ohio.		
""			
9	HEAVEN AND HELL, by John Jakes. (Harcourt Brace Jovanovich, $19.95.) A tale	8	16
""	of two families, the Mains of South Carolina and the Hazards of Pennsylvania, in		
""	the aftermath of the Civil War.		
""			
10	THE POLAR EXPRESS, written and illustrated by Chris Van Allsburg. (Houghton	7	13
""	Mifflin, $15.95.) A small boy's Christmas Eve train ride to the North Pole and the		
""	magical events that follow.		
""			
11	WINTER, by Len Deighton. (Knopf, $19.95.) The experiences of a Berlin family,	15	3
""	from Kaiser Wilhelm to Adolf Hitler.		
""			
12	SARUM, by Edward Rutherfurd. (Crown, $19.95.) Ten thousand years of English	11	22
""	history, seen through the experiences of five families.		
""			
13	WINTERS' TALES, by Jonathan Winters. (Random House, $13.95.) Unusual short	--	3
""	stories by the comedian and television personality.		
""			
14	BLUEBEARD, by Kurt Vonnegut. (Delacorte, $17.95.) A painter's life in the artists-	--	11
""	and-writers world of Long Island's Hamptons.		
""			
15	A MAN RIDES THROUGH, by Stephen R. Donaldson. (Del Rey/Ballantine,	--	3
""	$19.95.) Second and concluding novel about Mordant, a strange land where		
This	January 17, 1988	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TRUMP: The Art of the Deal, by Donald J. Trump with Tony Schwartz. (Random	3	5
""	House, $19.95.) The career and business style of the New York entrepreneur.		
""			
2	TIME FLIES, by Bill Cosby. (Dolphin/Doubleday, $15.95.) Counting his blessings	1	16
""	and his losses, the television star muses on life at 50.		
""			
3	THE CAT WHO CAME FOR CHRISTMAS, by Cleveland Amory. (Little, Brown,	4	8
""	$15.95.) A self- styled curmudgeon's memoir of a cat.		
""			
4	FAMILY: The Ties That Bind . . . and Gag! by Erma Bombeck. (McGraw-Hill,	2	19
""	$15.95.) Anecdotes about a reunion of the humorist's grown children.		
""			
5	SPYCATCHER, by Peter Wright with Paul Greengrass. (Viking, $19.95.) The	8	25
""	autobiography of a former member of the British secret service.		
""			
6	THE GREAT DEPRESSION OF 1990, by Ravi Batra. (Simon & Schuster, $17.95.)	--	25
""	An economist's dire predictions about the coming decade.		
""			
7	THRIVING ON CHAOS, by Tom Peters. (Knopf, $19.95.) The author discusses	--	10
""	how companies can survive in today's and tomorrow's turbulent world.		
""			
8	A DAY IN THE LIFE OF AMERICA. (Collins Publishers, $39.95.) The nation on	5	52
""	May 2, 1986, as recorded in pictures by 200 photojournalists.		
""			
9	A DAY IN THE LIFE OF THE SOVIET UNION. (Collins Publishers, $39.95.) The	7	10
""	vast country on May 15, 1987, as recorded in pictures by 100 of the world's		
""	leading photojournalists.		
""			
10	MAN OF THE HOUSE: The Life and Political Memoirs of Speaker Tip O'Neill, with	6	19
""	William Novak. (Random House, $19.95.) The former Speaker of the House tells		
""	his story.		
""			
11	PERESTROIKA, by Mikhail Gorbachev. (Bessie/ Harper & Row, $19.95.) The	13	4
""	Soviet leader's views on changing his country and the world.		
""			
12	VEIL, by Bob Woodward. (Simon & Schuster, $21.95.) The inside story of William	11	12
""	Casey's years at the helm of the C.I.A., 1981 to 1987.		
""			
13	CHRONICLE OF THE 20TH CENTURY, edited by Clifton Daniel. (Chronicle	10	7
""	Publications, $49.95.) Profusely illustrated history of the world, month by month,		
""	from 1900 through 1986.		
""			
14	FREE TO BE . . . A FAMILY, edited by Marlo Thomas with Christopher Cerf and	--	8
""	Letty Cottin Pogrebin. (Bantam, $19.95.) Stories, poems and drawings about		
""	family relationships.		
""			
15	THE CLOSING OF THE AMERICAN MIND, by Allan Bloom. (Simon & Schuster,	--	32
