This	June 9, 1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	HOLD THE DREAM, by Barbara Taylor Bradford. (Doubleday, $17.95.) Continuing	2	4
""	the family saga begun in ''A Woman of Substance.''		
""			
2	THE CIDER HOUSE RULES, by John Irving. (Morrow, $18.95.) Life in a Maine	4	3
""	orphanage earlier in this century.		
""			
3	JUBAL SACKETT, by Louis L'Amour. (Bantam, $16.95.) In this forerunner to the	1	3
""	17-volume Sackett saga, a restless explorer scouts the 17th-century American		
""	wilderness.		
""			
4	THE HUNT FOR RED OCTOBER, by Tom Clancy. (Naval Institute Press,	3	12
""	$14.95.) A Lithuanian submarine driver defects to the United States with the		
""	Soviet Union's most advanced nuclear secrets.		
""			
5	CHAPTERHOUSE: DUNE, by Frank Herbert. (Putnam, $17.95.) A new world rises	6	8
""	from the Old Empire's ashes in this volume of the ''Dune'' series.		
""			
6	IF TOMORROW COMES, by Sidney Sheldon. (Morrow, $17.95.) A young woman	5	20
""	destroys the crime lords who got her an undeserved prison term.		
""			
7	THINNER, by Richard Bachman. (NAL Books, $12.95.) In this pseudonymous	7	15
""	novel by Stephen King, a lawyer's body mysteriously wastes away.		
""			
8	THE CLASS, by Erich Segal. (Bantam, $17.95.) What happened to five members	9	7
""	of the class of 1958 after they left Harvard Yard.		
""			
9	INSIDE, OUTSIDE, by Herman Wouk. (Little, Brown, $19.95.) A traditionalist Jew's	8	12
""	quest for identity in glittery contemporary America.		
""			
10	QUEENIE, by Michael Korda. (Linden Press/ Simon & Schuster, $17.95.) The	11	8
""	glamorous career of Dawn Avalon, whose life was not unlike that of the late Merle		
""	Oberon.		
""			
11	THE LONELY SILVER RAIN, by John D. MacDonald. (Knopf, $15.95.) A yacht's	12	10
""	disappearance, a debutante's murder and other puzzles Travis McGee must solve		
""	to save his life.		
""			
12	A CREED FOR THE THIRD MILLENNIUM, by Colleen McCullough. (Harper &	13	5
""	Row, $17.95.) A man and a woman set out to salvage a spiritually exhausted		
""	America in the not-too-distant future.		
""			
13	FAMILY ALBUM, by Danielle Steel. (Delacorte, $16.95.) A married couple with five	10	14
""	children cope with the crises of contemporary America.		
""			
14	GLITZ, by Elmore Leonard. (Arbor House, $14.95.) The escapades, romantic and	14	18
""	melodramatic, of a cop who needs a rest after being shot in Miami.		
This	June 9, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A PASSION FOR EXCELLENCE, by Tom Peters and Nancy Austin. (Random	2	5
""	House, $19.95.) Ways to achieve distinction in management.		
""			
2	IACOCCA: An Autobiography, by Lee Iacocca  with William Novak. (Bantam,	1	32
""	$19.95.) The rise of the automobile executive from immigrants' son to top jobs at		
""	Ford and Chrysler.		
""			
3	SMART WOMEN, FOOLISH CHOICES, by Connell Cowan and Melvyn Kinder.	3	10
""	(Clarkson N. Potter, $13.95.) Two clinical psychologists analyze the successes		
""	and failures of modern women in looking for acceptable men.		
""			
4	MY MOTHER'S KEEPER, by B. D. Hyman. (Morrow, $16.95.) A portrait of the	4	4
""	actress Bette Davis, by her daughter.		
""			
5	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt, $13.95.) Suggestions for	5	41
""	''setting our priorities right in order to enjoy life to the fullest.''		
""			
6	MOUNTBATTEN, by Philip Ziegler. (Knopf, $24.95.) The authorized biography of	15	2
""	the British diplomat, naval hero and royal counselor.		
""			
7	BREAKING WITH MOSCOW, by Arkady N. Shevchenko. (Knopf, $18.95.) The	6	15
""	autobiography of the highest-ranking Soviet official ever to defect.		
""			
8	CONFESSIONS OF A HOOKER, by Bob Hope with Dwayne Netland. (Doubleday,	11	4
""	$17.95.) Memories of more than 50 years of golfing, by the comedian.		
""			
9	THE SOONG DYNASTY, by Sterling Seagrave. (Harper & Row, $22.50.) The	8	8
""	tangled lives of Charlie Soong and his six children, who shaped much of China's		
""	modern history.		
""			
10	ONCE UPON A TIME, by Gloria Vanderbilt. (Knopf, $16.95.) Memories of the first	7	6
""	17 years of a ''poor little rich girl.''		
""			
11	A LIGHT IN THE ATTIC, by Shel  Silverstein. (Harper & Row, $13.50.) Light verse	14	133
""	and drawings by the author.		
""			
12	THE COURAGE TO CHANGE, by Dennis Wholey. (Houghton Mifflin, $15.95.)	9	17
""	Conversations with two dozen men and women, many of them celebrities, about		
""	their problems with alcoholism.		
""			
13	THE BRIDGE ACROSS FOREVER, by  Richard Bach. (Morrow, $16.95.) The	10	40
""	author of ''Jonathan Livingston Seagull'' tells of his search for love.		
""			
14	METAMAGICAL THEMAS, by Douglas R. Hofstadter. (Basic Books, $24.95.)	--	3
""	Essays on many topics by the author of ''Godel, Escher, Bach.''		
""			
15	THE HEART OF THE DRAGON, by  Alasdair Clayre. (Houghton Mifflin, $29.95.)	--	1
