This	September 25, 2016	Last	Weeks
Week	Fiction	Week	On List
""			
1	APPRENTICE IN DEATH, by J. D. Robb. (Berkley.) Lt. Eve Dallas of the N.Y.P.D.	--	1
""	calls on the technological expertise of her husband, Roarke, when three skaters at		
""	Wollman Rink are shot by a sniper. By Nora Roberts, writing pseudonymously.		
""			
2	RAZOR GIRL, by Carl Hiaasen. (Knopf.) The ex-cop Andrew Yancy from “Bad	--	1
""	Monkey” gets involved in a kidnapping gone wrong.		
""			
3	THE UNDERGROUND RAILROAD, by Colson Whitehead. (Doubleday.) A slave	2	6
""	girl heads toward freedom on the network, envisioned as actual tracks and		
""	tunnels.		
""			
4	A GREAT RECKONING, by Louise Penny. (Minotaur.) An instructor at the police	1	2
""	academy is found murdered, perhaps by one of the cadets favored by Armand		
""	Gamache, the retired homicide chief of the Sûreté du Québec.		
""			
5	THE WOMAN IN CABIN 10, by Ruth Ware. (Scout.) A travel writer on a cruise is	4	8
""	certain she has heard a body thrown overboard, but no one believes her.		
""			
6	RUSHING WATERS, by Danielle Steel. (Delacorte.) Six people cope with a	3	2
""	hurricane in New York City.		
""			
7	HERE I AM, by Jonathan Safran Foer. (Farrar, Straus & Giroux.) Private and	--	1
""	public crises converge for four generations of a Jewish family.		
""			
8	A GENTLEMAN IN MOSCOW, by Amor Towles. (Viking.) A Russian count	--	1
""	undergoes 30 years of house arrest in the Metropol hotel, across from the Kremlin.		
""			
9	TRULY MADLY GUILTY, by Liane Moriarty. (Flatiron.) Three couples at a	6	7
""	backyard barbecue gone wrong.		
""			
10	DOWNFALL, by J. A. Jance. (Morrow/HarperCollins.) Joanna Brady, the sheriff of	--	1
""	Cochise County, must cope with pregnancy, the recent deaths of her mother and		
""	stepfather, an upcoming election — and the mysterious discovery of the bodies of		
""	two women at the base of a nearby peak. The 17th novel in a series.		
""			
11	MANITOU CANYON, by William Kent Krueger. (Atria.) Cork O’Connor, a former	--	1
""	sheriff turned private investigator, goes missing in Minnesota’s north woods while		
""	searching for a man who disappeared while camping. The 15th book in a series.		
""			
12	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	7	123
""	blind French girl and a gadget-obsessed German boy before and during World		
""	War II.		
""			
13	STING, by Sandra Brown. (Grand Central.) A hired killer and a woman he	9	4
""	kidnapped join forces to elude the F.B.I. agents and others who are searching for		
""	her corrupt brother.		
This	September 25, 2016	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LOVE WARRIOR, by Glennon Doyle Melton. (Flatiron.) After her husband	--	1
""	confesses to multiple infidelities, a woman who has overcome bulimia and		
""	alcoholism struggles to grow — and so does he.		
""			
2	THE GIRL WITH THE LOWER BACK TATTOO, by Amy Schumer. (Gallery	1	4
""	Books.) Humorous personal essays by the comedian, actor and writer.		
""			
3	HILLBILLY ELEGY, by J. D. Vance. (HarperCollins.) A Yale Law School graduate	2	7
""	looks at the struggles of America’s white working class through his own childhood		
""	in the Rust Belt.		
""			
4	WHEN BREATH BECOMES AIR, by Paul Kalanithi. (Random House.) A memoir	4	35
""	by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.		
""			
5	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	3	61
""	meditation on race in America.		
""			
6	HAMILTON: THE REVOLUTION, by Lin-Manuel Miranda and Jeremy McCarter.	6	22
""	(Grand Central/Melcher Media.) The libretto of the award-winning musical, with		
""	backstage photos, a production history and interviews with the cast.		
""			
7	HIDDEN FIGURES, by Margot Lee Shetterly. (Morrow/HarperCollins.) The story,	--	1
""	based in part on interviews, of the black women mathematicians who were hired		
""	as “computers” by the precursor of NASA during World War II. The basis of the		
""	forthcoming movie.		
""			
8	BEST. STATE. EVER, by Dave Barry. (Putnam.) Florida may be the Joke State,	--	1
""	but Barry explains why he loves it.		
""			
9	ARMAGEDDON, by Dick Morris and Eileen McGann. (Humanix.) The political	5	8
""	strategist offers a game plan for how to defeat Hillary Clinton.		
""			
10	THE PIGEON TUNNEL, by John le Carré. (Viking.) A memoir by the great spy	--	1
""	novelist.		
""			
11	CLEAN HOUSE, by Tom Fitton. (Threshold Editions.) The president of Judicial	--	1
""	Watch discusses Benghazi, Hillary Clinton’s emails and other (in the words of the		
""	subtitle) “secrets and lies” of the Obama administration.		
""			
12	THE RED BANDANNA, by Tom Rinaldi. (Penguin Press.) The life of Welles	--	1
""	Crowther, a young equities trader, and his heroism at the World Trade Center on		
""	9/11.		
""			
13	SAPIENS, by Yuval Noah Harari. (Harper.) How Homo sapiens became Earth’s	--	6
""	dominant species.		
""			
14	GRIT, by Angela Duckworth. (Scribner.) A psychologist says passion and	8	19
