This	October 27, 2002	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LOVELY BONES, by Alice Sebold. (Little, Brown, $21.95.) A 14-year-old girl	1	16
""	looks down from heaven as she describes what happens in the aftermath of her		
""	kidnapping and murder.		
""			
2	NIGHTS IN RODANTHE, by Nicholas Sparks. (Warner, $22.95.) After her	3	4
""	husband leaves her for someone younger, a 45-year-old woman finds romance in		
""	a small town on the North Carolina coast.		
""			
3	FROM A BUICK 8, by Stephen King. (Scribner, $28.) An abandoned 1954 Buick	2	3
""	Roadmaster turns out to be a conduit to another, evil dimension.		
""			
4	BLESSINGS, by Anna Quindlen. (Random House, $24.95.) When the young	4	4
""	caretaker of an estate finds a newborn girl in a box, his employer, an 80-year-old		
""	matriarch, decides to help him keep the baby.		
""			
5	THE CRUSH, by Sandra Brown. (Warner, $26.95.) A surgeon looks for help from	--	1
""	a police detective when a contract killer becomes obsessed with her.		
""			
6	THE MURDER BOOK, by Jonathan Kellerman. (Ballantine, $26.95.) The	5	2
""	psychologist-detective Alex Delaware probes the long-ago murder of a young		
""	woman.		
""			
7	RED RABBIT, by Tom Clancy. (Putnam, $28.95.) In the early 1980's, when he is a	6	10
""	C.I.A. novice, Jack Ryan acts to thwart a Soviet plot against the pope.		
""			
8	I DON'T KNOW HOW SHE DOES IT, by Allison Pearson. (Knopf, $23.) A 35-year-	--	1
""	old hedge fund manager in London struggles with her job, her children and her		
""	husband.		
""			
9	THE NEW JEDI ORDER: DESTINY'S WAY, by Walter Jon Williams. (Lucas/Del	7	2
""	"Rey/Ballantine, $25.95.) A new ""Star Wars"" novel."		
""			
10	NO ONE TO TRUST, by Iris Johansen. (Bantam, $25.95.) A woman who was	9	2
""	trained as an assassin by the military is on the run from a ruthless killer.		
""			
11	THE CRIMSON PETAL AND THE WHITE, by Michel Faber. (Harcourt, $26.) In	--	4
""	Victorian London, a 19-year-old prostitute tries to secure a better life.		
""			
12	WAR OF HONOR, by David Weber. (Baen, $26.) A science fiction novel in which	8	2
""	interstellar war breaks out just when things seem relatively peaceful.		
""			
13	DECEMBER 6, by Martin Cruz Smith. (Simon & Schuster, $26.) On the eve of	--	1
""	Pearl Harbor, an American wheeler-dealer living in Tokyo is caught between two		
""	countries that are about to go to war.		
""			
14	KILLJOY, by Julie Garwood. (Ballantine, $25.95.) A crime analyst for the F.B.I.	11	4
""	tries to rescue her aunt from the clutches of a fiendishly brilliant killer.		
This	October 27, 2002	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LEADERSHIP, by Rudolph W. Giuliani with Ken Kurson. (Miramax/Hyperion,	1	2
""	$25.95.) The former mayor of New York discusses what it takes to be a leader and		
""	addresses subjects like the crime rate and 9/11.		
""			
2	LET'S ROLL! by Lisa Beamer with Ken Abraham. (Tyndale, $24.99.) A memoir by	2	8
""	the wife of Todd Beamer, one of the passengers on United Flight 93 on Sept. 11.		
""			
3	LET FREEDOM RING, by Sean Hannity. (ReganBooks/ HarperCollins, $25.95.)	4	8
""	The conservative commentator surveys domestic and foreign issues after Sept.		
""	11.		
""			
4	LONGITUDES AND ATTITUDES, by Thomas L. Friedman. (Farrar, Straus &	3	8
""	Giroux, $26.) Notes and reflections on Sept. 11, by a columnist for The Times.		
""			
5	ABRAHAM, by Bruce Feiler. (Morrow, $23.95.) Judaism, Christianity and Islam as	5	3
""	seen through the story of one man.		
""			
6	LIVE FROM NEW YORK, by Tom Shales and James Andrew Miller. (Little, Brown,	13	2
""	"$25.95.) An oral history of ""Saturday Night Live."""		
""			
7	TAKE ON THE STREET, by Arthur Levitt with Paula Dwyer. (Pantheon, $24.95.)	--	1
""	The former chairman of the Securities and Exchange Commission describes		
""	corporate malfeasance and ways to fight it.		
""			
8	SANDY KOUFAX, by Jane Leavy. (HarperCollins, $23.95.) A biography of the	6	4
""	great pitcher for the Los Angeles Dodgers.		
""			
9	THE DEMON IN THE FREEZER, by Richard Preston. (Random House, $24.95.)	--	1
""	"The author of ""The Hot Zone"" examines the threat of smallpox as a biological"		
""	weapon and reports on last year's anthrax attacks.		
""			
10	FIGHTING BACK, by Bill Sammon. (Regnery, $27.95.) A reporter for The	--	1
""	Washington Times recounts the White House's actions in response to 9/11.		
""			
11	"BLUE LATITUDES, by Tony Horwitz. (Holt, $26.) The author of ""Confederates in"	9	2
""	"the Attic"" recreates Capt. James Cook's three voyages to the Pacific."		
""			
12	BRINGING DOWN THE HOUSE, by Ben Mezrich. (Free Press, $24.) How six	--	1
""	M.I.T. students won more than $3 million at Las Vegas casinos.		
""			
13	A MIND AT A TIME, by Mel Levine. (Simon & Schuster, $26.) A professor of	11	29
""	pediatrics explores the learning patterns of children.		
""			
14	NOTHING IS IMPOSSIBLE, by Christopher Reeve. (Random House, $19.95.)	8	3
""	Meditations on overcoming hardships by the actor who was paralyzed in 1995.		
""			
15	THE BLANK SLATE, by Steven Pinker. (Viking, $27.95.) A critique of the idea that	10	3
