This	July 6, 2014	Last	Week
Week	Fiction	Week	On Li
""			
1	TOP SECRET TWENTY-ONE, by Janet Evanovich. (Bantam.) The New Jersey	--	1
""	bounty hunter Stephanie Plum pursues a dealer who sells more than used cars, while		
""	she juggles Joe Morelli, the sexy cop, and the security expert Ranger.		
""			
2	THE SILKWORM, by Robert Galbraith. (Mulholland/Little, Brown.) The private	--	1
""	detective Cormoran Strike steps in when the author of a roman à clef set in literary		
""	London is murdered.		
""			
3	WRITTEN IN MY OWN HEART'S BLOOD, by Diana Gabaldon. (Delacorte.) Jamie	1	2
""	Fraser and his family face challenges in the 18th and 20th centuries.		
""			
4	MR. MERCEDES, by Stephen King. (Scribner.) A driver plows into a crowd, killing	2	3
""	eight. The killer then taunts a suicidal ex-cop, who must stop another, deadlier attack.		
""			
5	ALL FALL DOWN, by Jennifer Weiner. (Atria.) A woman becomes addicted to pain	--	1
""	medication.		
""			
6	THE GOLDFINCH, by Donna Tartt. (Little, Brown.)  A painting smuggled out of the	3	35
""	Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.		
""			
7	ROGUES, edited by George R. R. Martin and Gardner Dozois. (Bantam.) Twenty-one	--	1
""	original stories from well-known writers, including a new “Game of Thrones” story.		
""			
8	THE ONE AND ONLY, by Emily Giffin. (Ballantine.) A woman who has grown up and	6	5
""	made her life in a small, football-obsessed Texas town begins to expand her		
""	horizons.		
""			
9	THE HURRICANE SISTERS, by Dorothea Benton Frank. (Morrow/HarperCollins.)	9	3
""	Three generations of women endure a stormy summer in South Carolina's		
""	Lowcountry.		
""			
10	THE MATCHMAKER, by Elin Hilderbrand. (Little, Brown.) A Nantucket resident’s life	5	2
""	is shaken by a diagnosis and the return to the island of her high school sweetheart.		
""			
11	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	10	7
""	blind French girl and a gadget-obsessed German boy before and during World War II.		
""			
12	THE TARGET, by David Baldacci. (Grand Central.) The government hit man Will	4	9
""	Robie faces a new adversary.		
""			
13	SKIN GAME, by Jim Butcher. (Roc.) The Chicago wizard Harry Dresden is forced to	8	4
""	help an enemy break into a high-security vault; the 15th Dresden Files novel.		
""			
14	THE VACATIONERS, by Emma Straub. (Riverhead.) An Upper West Side couple,	15	2
""	their children and their friends confront life’s changes during two weeks in Mallorca.		
""			
15	UNLUCKY 13, by James Patterson and Maxine Paetro. (Little, Brown.) Detective	7	7
This	July 6, 2014	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	HARD CHOICES, by Hillary Rodham Clinton. (Simon & Schuster.) Clinton’s	1	2
""	memoir focuses on her years as secretary of state and her views about the		
""	American role in the world.		
""			
2	ONE NATION, by Ben Carson with Candy Carson. (Sentinel.) Carson, a retired	2	5
""	pediatric neurosurgeon, now a Fox News contributor, offers solutions to problems		
""	in health and education based on capitalism, not government.		
""			
3	CAPITAL IN THE TWENTY-FIRST CENTURY, by Thomas Piketty.	4	11
""	(Belknap/Harvard University.) A French economist’s analysis of centuries of		
""	economic history predicts worsening inequality and proposes solutions.		
""			
4	UNBROKEN, by Laura Hillenbrand. (Random House.) An Olympic runner’s story	5	174
""	of survival as a prisoner of the Japanese in World War II after his plane went down		
""	over the Pacific.		
""			
5	THINK LIKE A FREAK, by Steven D. Levitt and Stephen J. Dubner.	6	6
""	(Morrow/HarperCollins.) How to solve problems creatively, from the authors of		
""	“Freakonomics.”		
""			
6	THE CLOSER, by Mariano Rivera with Wayne Coffey. (Little, Brown.) A memoir	3	7
""	by the great Yankees pitcher.		
""			
7	FLASH BOYS, by Michael Lewis. (Norton.) The world of high-frequency computer-	7	12
""	"driven trading; from the author of ""Liar's Poker."""		
""			
8	CARSICK, by John Waters. (Farrar, Straus & Giroux.) The cult-film director	8	3
""	hitchhikes across the country.		
""			
9	A FIGHTING CHANCE, by Elizabeth Warren. (Metropolitan/Holt.) The	13	9
""	Massachusetts senator on her life, her academic work and her battle for a		
""	consumer protection agency.		
""			
10	I AM MALALA, by Malala Yousafzai with Christina Lamb. (Little, Brown.) The	--	26
""	experience of the Pakistani girl who advocated for women’s education and was		
""	shot by the Taliban.		
""			
11	DAVID AND GOLIATH, by Malcolm Gladwell. (Little, Brown.) How disadvantages	--	36
""	"can work in our favor; by the author of ""The Tipping Point"" and ""Blink."""		
""			
12	HOW NOT TO BE WRONG, by Jordan Ellenberg. (Penguin Press.) A	--	1
""	mathematician shows how his discipline helps us think about problems of politics,		
""	medicine and commerce.		
""			
13	"KILLING JESUS, by Bill O'Reilly and Martin Dugard. (Holt.) The host of ""The"	9	35
""	"O'Reilly Factor"" recounts the events leading up to Jesus’ execution."		
