This	January 8, 2017	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE WHISTLER, by John Grisham. (Doubleday.) A whistleblower alerts a Florida	1	9
""	investigator to judicial corruption involving the Mob and Indian casinos.		
""			
2	TWO BY TWO, by Nicholas Sparks. (Grand Central.) A man who became a single	3	12
""	father when his marriage and business collapsed learns to take a chance on a		
""	new love.		
""			
3	CROSS THE LINE, by James Patterson. (Little, Brown.) Detective Alex Cross and	2	5
""	his wife, Bree, team up to catch a killer causing chaos in Washington, D.C.		
""			
4	THE UNDERGROUND RAILROAD, by Colson Whitehead. (Doubleday.) A slave	4	20
""	girl heads toward freedom on the network, envisioned as actual tracks and		
""	tunnels.		
""			
5	NO MAN'S LAND, by David Baldacci. (Grand Central.) John Puller, a special	6	6
""	agent with the Army, searches for the truth about his mother, who disappeared 30		
""	years ago.		
""			
6	SMALL GREAT THINGS, by Jodi Picoult. (Ballantine.) A medical crisis entangles	7	11
""	a black nurse, a white supremacist father and a white lawyer.		
""			
7	TOM CLANCY: TRUE FAITH AND ALLEGIANCE, by Mark Greaney. (Putnam.)	5	3
""	Jack Ryan Jr., working for a secret organization, seeks to prevent complicated		
""	terrorist strikes set in motion by a hacker. Clancy died in 2013.		
""			
8	NIGHT SCHOOL, by Lee Child. (Delacorte.) Jack Reacher, still in the Army,	8	7
""	becomes involved in an investigation with elite agents from the F.B.I. and C.I.A.		
""			
9	TURBO TWENTY-THREE, by Janet Evanovich. (Bantam.) The bounty hunter	9	6
""	Stephanie Plum juggles the investigation of a crime in an ice cream factory and		
""	the two men in her life.		
""			
10	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	10	133
""	blind French girl and a gadget-obsessed German boy before and during World		
""	War II.		
""			
11	MOONGLOW, by Michael Chabon. (Harper/HarperCollins.) A novel that presents	13	5
""	itself as a memoir of an elderly World War II veteran and his wife, a Holocaust		
""	survivor, who resemble Chabon’s maternal grandparents.		
""			
12	THE CHEMIST, by Stephenie Meyer. (Little, Brown.) A specialist in chemically	14	7
""	controlled torture, on the run from her former employers, takes on one last job.		
""			
13	THE WRONG SIDE OF GOODBYE, by Michael Connelly. (Little, Brown.) The	11	8
""	detective Harry Bosch aids a billionaire in search of a possible heir.		
""			
14	COMMONWEALTH, by Ann Patchett. (Harper.) Five decades in the lives of two	15	11
This	January 8, 2017	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	KILLING THE RISING SUN, by Bill O'Reilly and Martin Dugard. (Holt.) The host of	1	15
""	“The O’Reilly Factor” recounts the final years of World War II.		
""			
2	THE MAGNOLIA STORY, by Chip Gaines and Joanna Gaines with Mark	3	10
""	Dagostino. (W Publishing/Thomas Nelson.) The lives of the couple who star in the		
""	HGTV show “Fixer Upper.”		
""			
3	BORN TO RUN, by Bruce Springsteen. (Simon & Schuster.) The singer-	4	13
""	songwriter’s autobiography.		
""			
4	HILLBILLY ELEGY, by J. D. Vance. (HarperCollins.) A Yale Law School graduate	5	22
""	looks at the struggles of America’s white working class through his own childhood		
""	in the Rust Belt.		
""			
5	THE UNDOING PROJECT, by Michael Lewis. (Norton.) How the psychologists	2	3
""	Daniel Kahneman and Amos Tversky upended assumptions about the decision-		
""	making process and invented the field of behavioral economics.		
""			
6	SETTLE FOR MORE, by Megyn Kelly. (Harper/HarperCollins.) The anchor of Fox	6	6
""	News’s “The Kelly File” discusses the personal and professional challenges she		
""	has faced.		
""			
7	HAMILTON: THE REVOLUTION, by Lin-Manuel Miranda and Jeremy McCarter.	7	36
""	(Grand Central/Melcher Media.) The libretto of the award-winning musical, with		
""	backstage photos, a production history and interviews with the cast.		
""			
8	BORN A CRIME, by Trevor Noah. (Spiegel & Grau.) A memoir about growing up	13	6
""	in South Africa by the comedian, now the host of “The Daily Show,” whose parents		
""	had an illegal (under apartheid) interracial relationship.		
""			
9	THE BOOK OF JOY, by Dalai Lama and Desmond Tutu. (Avery.) A discussion	12	10
""	between two spiritual leaders about how to find joy in the face of suffering.		
""			
10	THANK YOU FOR BEING LATE, by Thomas L. Friedman. (Farrar, Straus &	11	5
""	Giroux.) How the accelerating pace of technology, globalization and climate		
""	change are reshaping the world, and what we can do about it.		
""			
11	SHAKEN, by Tim Tebow with A. J. Gregory. (Waterbrook.) The Heisman Trophy	10	9
""	winner writes about overcoming obstacles.		
""			
12	TALKING AS FAST AS I CAN, by Lauren Graham. (Ballantine.) Essays by the star	9	4
""	of “Gilmore Girls” (both the original and the mini-series) and “Parenthood.”		
""			
13	WHEN BREATH BECOMES AIR, by Paul Kalanithi. (Random House.) A memoir	--	43
""	by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.		
""			
14	THE GIRL WITH THE LOWER BACK TATTOO, by Amy Schumer. (Gallery	--	14
