This	December 12, 2010	Last	Weeks
Week	Fiction	Week	On List
""			
1	CROSS FIRE, by James Patterson. (Little, Brown, $27.99.) Alex Cross	1	2
""	investigates a professional assassination in Washington, and gets a chilling call		
""	from his deadliest adversary.		
""			
2	THE CONFESSION, by John Grisham. (Doubleday, $28.95.) A criminal wants to	2	5
""	save an innocent man on death row, but he must convince the authorities he’s		
""	telling the truth.		
""			
3	FULL DARK, NO STARS, by Stephen King. (Scribner, $27.99.) Four long stories,	5	3
""	light on the supernatural and dealing mostly with grisly human behavior.		
""			
4	HELL'S CORNER, by David Baldacci. (Grand Central, $27.99.) Recalled to duty,	3	3
""	Oliver Stone hunts for those responsible for a bomb detonated near the White		
""	House.		
""			
5	THE GIRL WHO KICKED THE HORNET’S NEST, by Stieg Larsson. (Knopf,	6	27
""	$27.95.) The third volume of a trilogy about a Swedish hacker and a journalist.		
""			
6	CRESCENT DAWN, by Clive Cussler and Dirk Cussler. (Putnam, $27.95.) Dirk	4	2
""	Pitt seeks a tie between a trove of ancient Roman artifacts and a series of mosque		
""	explosions.		
""			
7	TOWERS OF MIDNIGHT, by Robert Jordan and Brandon Sanderson. (Tor,	7	4
""	$29.99.) Book 13 of the Wheel of Time fantasy series.		
""			
8	THE EMPEROR'S TOMB, by Steve Berry. (Ballantine, $26.) The former Justice	--	1
""	Department operative Cotton Malone travels to China after a woman close to him		
""	is tortured for the return of a mysterious artifact.		
""			
9	FALL OF GIANTS, by Ken Follett. (Dutton, $36.) Five interrelated families from	10	9
""	five countries are caught in the upheavals of World War I and the Russian		
""	Revolution.		
""			
10	THE ATHENA PROJECT, by Brad Thor. (Atria, $27.99.) An all-female American	--	1
""	counterterrorism unit searches for an arms dealer connected with a deadly attack		
""	in Rome.		
""			
11	SAFE HAVEN, by Nicholas Sparks. (Grand Central, $25.99.) The arrival of a	13	11
""	mysterious young woman in a small North Carolina town raises questions about		
""	her past.		
""			
12	THE HELP, by Kathryn Stockett. (Amy Einhorn/Putnam, $24.95.) A young	11	87
""	Southern white woman and two black maids.		
""			
13	SQUIRREL SEEKS CHIPMUNK, by David Sedaris. (Little, Brown, $21.99.) The	8	9
""	humorist looks at human nature through stories with animals as characters.		
This	December 12, 2010	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	DECISION POINTS, by George W. Bush. (Crown, $35.) The former president’s	1	3
""	memoir discusses his Christianity; his drinking; his family relationships; and 9/11,		
""	Iraq and Katrina.		
""			
2	AMERICA BY HEART, by Sarah Palin. (Harper/HarperCollins, $25.99.) The	--	1
""	former vice-presidential candidate reflects on family, faith and patriotism.		
""			
3	AUTOBIOGRAPHY OF MARK TWAIN, VOL. 1, by Mark Twain. (University of	5	6
""	California, $34.95.) Twain is pointedly political and willing to play the angry		
""	prophet.		
""			
4	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner’s	2	2
""	story of survival as a prisoner of the Japanese in World War II.		
""			
5	LIFE, by Keith Richards with James Fox. (Little, Brown, $29.99.) The Rolling	4	5
""	Stones guitarist’s revealing autobiography is also a portrait of the era when rock ’n’		
""	roll came of age.		
""			
6	DECODED, by Jay-Z. (Spiegel & Grau, $35.) The hip-hop star leads a narrative	3	2
""	journey through his lyrics and his life.		
""			
7	BROKE, by Glenn Beck and Kevin Balfe. (Threshold/Mercury Radio Arts, $29.99.)	6	5
""	The Fox News host’s plan for fixing the country’s financial woes.		
""			
8	EARTH (THE BOOK), by Jon Stewart, David Javerbaum, Rory Albanese, Steve	9	10
""	Bodow and Josh Lieb. (Grand Central, $27.99.) A visitor’s guide to the human		
""	"race, presented by ""The Daily Show."""		
""			
9	CLEOPATRA, by Stacy Schiff. (Little, Brown, $29.99.) A biography of the last	8	4
""	queen of ancient Egypt.		
""			
10	COLONEL ROOSEVELT, by Edmund Morris. (Random House, $35.) The third	--	1
""	and concluding volume of Morris’s monumental biography of Theodore Roosevelt.		
""			
11	I REMEMBER NOTHING, by Nora Ephron. (Knopf, $22.95.) Reflections on age	7	3
""	and memory, from the author of “I Feel Bad About My Neck.”		
""			
12	ALL THE DEVILS ARE HERE, by Bethany McLean and Joe Nocera.	10	2
""	(Portfolio/Penguin, $32.95.) Two business journalists examine the financial crisis		
""	of 2008.		
""			
13	SH*T MY DAD SAYS, by Justin Halpern. (It Books/HarperCollins, $15.99.) A	13	30
""	coming-of-age memoir organized around the musings, purveyed on Twitter, of the		
""	author’s father.		
""			
14	PINHEADS AND PATRIOTS, by Bill O'Reilly. (Morrow/HarperCollins, $27.99.) The	11	11
""	Fox News commentator scrutinizes the meaning of change in the era of Obama.		
