This	November 20, 2005	Last	Weeks
Week	Fiction	Week	On List
""			
1	PREDATOR, by Patricia Cornwell. (Putnam, $26.95.) On the trail of a possible	1	2
""	serial killer, Dr. Kay Scarpetta turns to a jailed psychopath for advice.		
""			
2	AT FIRST SIGHT, by Nicholas Sparks. (Warner, $24.95.) The young couple from	2	3
""	"""True Believer,"" who are now expecting a child, receive a disturbing message."		
""			
3	THE CAMEL CLUB, by David Baldacci. (Warner, $26.95.) A group of eccentric	3	2
""	conspiracy theorists stumbles across an actual plot reaching to the highest levels		
""	of government.		
""			
4	CHRIST THE LORD: OUT OF EGYPT, by Anne Rice. (Knopf, $25.95.) What	--	1
""	happened in Bethlehem; a story narrated by a 7-year-old who discovers that he is		
""	the Prince of Peace.		
""			
5	TOXIC BACHELORS, by Danielle Steel. (Delacorte, $27.) On a Mediterranean	4	2
""	vacation, three resolutely single friends meet three impressive women.		
""			
6	KNIFE OF DREAMS, by Robert Jordan. (Tor/Tom Doherty, $29.95.) Book 11 of	5	4
""	the Wheel of Time fantasy series.		
""			
7	ORDINARY HEROES, by Scott Turow. (Farrar, Straus & Giroux, $25.) A man	--	1
""	reconstructs the story of his father's service in World War II, including his pursuit of		
""	a rogue intelligence agent and his leadership of a rifle company during the Battle		
""	of the Bulge.		
""			
8	THE LINCOLN LAWYER, by Michael Connelly. (Little, Brown, $26.95.) A Los	6	5
""	Angeles criminal defense attorney takes a case that proves more complicated and		
""	dangerous than he expected.		
""			
9	CONSENT TO KILL, by Vince Flynn. (Atria, $25.95.) A spy is the target of an	7	4
""	international conspiracy spawned by the father of a terrorist he killed.		
""			
10	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) A murder at the	--	137
""	Louvre leads to a trail of clues found in the work of Leonardo and to the discovery		
""	of a secret society.		
""			
11	BLUE SMOKE, by Nora Roberts. (Putnam, $25.95.) An arson investigator whose	12	5
""	family suffered a fire when she was a child is menaced by a sociopath.		
""			
12	A WEDDING IN DECEMBER, by Anita Shreve. (Little, Brown, $25.95.) Seven	10	4
""	former schoolmates reunite for a wedding and remember the tragedy that drove		
""	them apart.		
""			
13	SON OF A WITCH, by Gregory Maguire. (ReganBooks/HarperCollins, $26.95.) Liir	9	6
""	"makes his way through the dangerous land of Oz; a sequel to ""Wicked."""		
""			
14	SAVING FISH FROM DROWNING, by Amy Tan. (Putnam, $26.95.) The	8	3
""	misadventures and misunderstandings of 12 American tourists in China and		
This	November 20, 2005	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	OUR ENDANGERED VALUES, by Jimmy Carter. (Simon & Schuster, $25.) The	--	1
""	former president warns against blurring politics and fundamentalist religion.		
""			
2	THE YEAR OF MAGICAL THINKING, by Joan Didion. (Knopf, $23.95.) The	2	5
""	author's attempts to come to terms with the death of her husband and the grave		
""	illness of their only daughter.		
""			
3	TEAM OF RIVALS, by Doris Kearns Goodwin. (Simon & Schuster, $35.) The	3	2
""	political genius of Abraham Lincoln, revealed in his relationship with his cabinet,		
""	"from the author of ""No Ordinary Time."""		
""			
4	THE TRUTH (WITH JOKES), by Al Franken. (Dutton, $25.95.) A comic attack on	1	2
""	"the Bush administration from the author of ""Lies (and the Lying Liars Who Tell"		
""	"Them)."""		
""			
5	THE WORLD IS FLAT, by Thomas L. Friedman. (Farrar, Straus & Giroux, $27.50.)	4	31
""	A columnist for The New York Times analyzes 21st-century economics and		
""	foreign policy and presents an overview of globalization trends.		
""			
6	700 SUNDAYS, by Billy Crystal. (Warner, $21.95.) A childhood memoir from the	--	1
""	actor and entertainer, based on his Tony-winning play.		
""			
7	FREAKONOMICS, by Steven D. Levitt and Stephen J. Dubner. (Morrow, $25.95.)	7	30
""	A maverick scholar applies economic thinking to everything from sumo wrestlers		
""	who cheat to legalized abortion and the falling crime rate.		
""			
8	THE CITY OF FALLING ANGELS, by John Berendt. (Penguin, $25.95.) The	6	6
""	"author of ""Midnight in the Garden of Good and Evil"" investigates a fire in Venice."		
""			
9	MARLEY & ME, by John Grogan. (Morrow, $21.95.) A newspaper columnist and	15	3
""	his wife learn some life lessons from their neurotic dog.		
""			
10	DRIVEN FROM WITHIN, by Michael Jordan, edited by Mark Vancil. (Atria, $35.)	5	2
""	The basketball legend and businessman reflects on his career and the values that		
""	helped him succeed, in stories, drawings and photographs.		
""			
11	1776, by David McCullough. (Simon & Schuster, $32.) An account of America's	10	24
""	founding year by the Pulitzer Prize-winning author, focusing on the inexperienced		
""	George Washington and heroic citizen soldiers.		
""			
12	MY FRIEND LEONARD, by James Frey. (Riverhead, $24.95.) The author of the	12	5
""	"addiction memoir ""A Million Little Pieces"" remembers a helpful mobster friend."		
""			
13	"BLINK, by Malcolm Gladwell. (Little, Brown, $25.95.) The author of ""The Tipping"	11	43
""	"Point"" explores the importance of hunch and instinct to the workings of the mind."		
""			
14	DO AS I SAY (NOT AS I DO), by Peter Schweizer. (Doubleday, $22.95.) Profiles	--	1
""	in liberal hypocrisy.		
