This	February 14, 2016	Last	Weeks
Week	Fiction	Week	On List
""			
1	NYPD RED 4, by James Patterson and Marshall Karp. (Little, Brown.) Detective Zach	--	1
""	Gordon and his partner, members of an elite task force that protects the rich and		
""	famous, pursue a cold-blooded killer.		
""			
2	BLUE, by Danielle Steel. (Delacorte.) A woman whose life has been shattered	1	2
""	befriends a homeless boy.		
""			
3	MY NAME IS LUCY BARTON, by Elizabeth Strout. (Random House.) A woman	2	3
""	struggles with memories of her impoverished and disturbing childhood and its effect		
""	on the present as she attempts to reconcile with her mother.		
""			
4	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	3	91
""	blind French girl and a gadget-obsessed German boy before and during World War II.		
""			
5	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller	4	55
""	set in the environs of London.		
""			
6	THE BANDS OF MOURNING, by Brandon Sanderson. (Tor/Tom Doherty.) A sequel	--	1
""	to “Shadows of Self”; a Mistborn novel.		
""			
7	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	5	48
""	France: one struggling to survive in the countryside, the other joining the Resistance		
""	in Paris.		
""			
8	THE FORCE AWAKENS, by Alan Dean Foster. (Del Rey.) A new threat arises; an	6	4
""	adaptation of the screenplay of the new “Star Wars” movie.		
""			
9	THE SWANS OF FIFTH AVENUE, by Melanie Benjamin. (Delacorte.) A novel based	--	1
""	on the friendship between Truman Capote and Babe Paley and her coterie, which		
""	began in the 1950s and ended 20 years later in scandal.		
""			
10	ROGUE LAWYER, by John Grisham. (Doubleday.) The attorney Sebastian Rudd is a	7	15
""	“lone gunman” who hates injustice and the system and defends unpopular clients.		
""			
11	FATES AND FURIES, by Lauren Groff. (Riverhead.) A marriage viewed from two	12	8
""	perspectives.		
""			
12	SEE ME, by Nicholas Sparks. (Grand Central.) A couple in love are threatened by	11	16
""	secrets from the past.		
""			
13	SCANDALOUS BEHAVIOR, by Stuart Woods. (Putnam.) Stone Barrington's hopes	9	3
""	for a restful stay in the English countryside meet complications.		
""			
14	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up Jean	15	28
""	Louise Finch returns home to find that her adored father is not as perfect as she		
""	believed.		
This	February 14, 2016	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WHEN BREATH BECOMES AIR, by Paul Kalanithi. (Random House.) A memoir	1	3
""	by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.		
""			
2	DARK MONEY, by Jane Mayer. (Doubleday.) An account of how the Koch	5	2
""	brothers and other super-wealthy donors deployed their money to change		
""	American politics.		
""			
3	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	3	29
""	meditation on race in America; winner of the National Book Award.		
""			
4	THE ROAD TO LITTLE DRIBBLING, by Bill Bryson. (Doubleday.) An American	4	2
""	expatriate travels around his adopted country, Britain.		
""			
5	THE NAME OF GOD IS MERCY, by Pope Francis with Andrea Tornielli. (Random	2	3
""	House.) In a conversation with a Vatican reporter, the pontiff explores the		
""	cornerstone of his faith.		
""			
6	THOMAS JEFFERSON AND THE TRIPOLI PIRATES, by Brian Kilmeade and	7	13
""	Don Yaeger. (Sentinel.) The war against the Barbary pirates in 1801.		
""			
7	KILLING REAGAN, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	6	19
""	O’Reilly Factor” recounts the events surrounding the attempted assassination of		
""	President Reagan in 1981.		
""			
8	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	8	59
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
9	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	11	34
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
10	CURE, by Jo Marchant. (Crown.) A science writer assesses the influential role of	--	1
""	the mind in our overall health.		
""			
11	MODERN ROMANCE, by Aziz Ansari with Eric Klinenberg. (Penguin Press.) The	10	23
""	comedian enlists a sociologist to help him understand today’s dating scene.		
""			
12	GRATITUDE, by Oliver Sacks. (Knopf.) Four essays about living a good life and	16	7
""	facing mortality by the neurologist and author, who died last August.		
""			
13	H IS FOR HAWK, by Helen Macdonald. (Grove.) A grief-stricken British woman	14	16
""	decides to raise a goshawk, a fierce bird that is notoriously difficult to tame.		
""			
14	THE ONLY GAME IN TOWN, by Mohamed A. El-Erian. (Random House.) A	--	1
""	former C.E.O. argues that we must overcome our reliance on central banks and		
""	create a sustainable global economy.		
