This	August 2, 2015	Last	Wee
Week	Fiction	Week	On Li
""			
1	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up Jean	--	1
""	Louise Finch returns home to Macomb find that her adored father is not as perfect as		
""	she believed.		
""			
2	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	1	27
""	in the environs of London.		
""			
3	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	2	63
""	French girl and a gadget-obsessed German boy before and during World War II; the		
""	winner of the 2015 Pulitzer Prize.		
""			
4	ARMADA, by Ernest Cline. (Crown.) A teenage gamer helps save the Earth from an	--	1
""	alien invasion.		
""			
5	THE ENGLISH SPY, by Daniel Silva. (Harper.) Gabriel Allon, an art restorer and	4	3
""	occasional spy for the Israeli secret service, helps British intelligence track down the		
""	killer of a beautiful former member of the royal family.		
""			
6	CODE OF CONDUCT, by Brad Thor. (Emily Bestler/Atria.) In Thor’s 15th thriller, the	3	2
""	counterterrorism operative Scot Harvath undertakes a deadly assignment set in motion		
""	by a leaked video.		
""			
7	NAKED GREED, by Stuart Woods. (Putnam.) In the 34th Stone Barrington novel, the	--	1
""	New York lawyer helps a client open a beer distributorship and subsequently becomes		
""	the target of a group of toughs.		
""			
8	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	10	24
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
9	THE RUMOR, by Elin Hilderbrand. (Little, Brown.) Two friends on Nantucket must deal	9	5
""	with damaging gossip about themselves and their husbands.		
""			
10	NEMESIS, by Catherine Coulter. (Putnam.) In Coulter’s 19th F.B.I. suspense thriller, the	5	2
""	agents Lacey Sherlock and Dillon Savich must discover who is responsible for		
""	bombings in New York City.		
""			
11	TRUTH OR DIE, by James Patterson and Howard Roughan. (Little, Brown.) An attorney	6	4
""	discovers a shocking secret that must be kept out of the wrong hands.		
""			
12	LUCKIEST GIRL ALIVE, by Jessica Knoll. (Simon & Schuster.) The life of a successful	8	10
""	New York magazine writer is shaken when secrets from her past are revealed.		
""			
13	FINDERS KEEPERS, by Stephen King. (Scribner.) A deranged reader's infatuation with	7	7
""	"a Salingeresque novelist has dangerous consequences in a sequel to ""Mr. Mercedes."""		
""			
14	IN THE UNLIKELY EVENT, by Judy Blume. (Knopf.) Secrets are revealed and love	12	7
This	August 2, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	--	1
""	meditation on race in America as well as a personal story by the national		
""	correspondent of The Atlantic, framed as a letter to his teenage son.		
""			
2	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	1	11
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
3	MODERN ROMANCE, by Aziz Ansari with Eric Klinenberg. (Penguin Press.) The	2	5
""	comedian enlists a sociologist to help him understand today’s dating scene.		
""			
4	DOWN THE RABBIT HOLE, by Holly Madison. (Dey Street/Morrow.) Life inside	3	4
""	the Playboy Mansion, by a former bunny and girlfriend of Hugh Hefner.		
""			
5	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	8	41
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
6	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, the	5	19
""	passenger liner sunk by a German torpedo in 1915.		
""			
7	A FULL LIFE, by Jimmy Carter. (Simon & Schuster.) At 90, the 39th president	4	2
""	(and Nobel Prize winner) reflects on his private and public life.		
""			
8	A TIME FOR TRUTH, by Ted Cruz. (Broadside/HarperCollins.) The Texas senator	7	2
""	and Republican presidential candidate tells his personal and political story, and		
""	"offers ideas for ""reigniting the promise of America."""		
""			
9	THE CONSERVATIVE HEART, by Arthur C. Brooks. (Broadside/HarperCollins.)	--	1
""	The president of the American Enterprise Institute urges conservatives to revise		
""	their rhetoric and make clear their concern for everyday people.		
""			
10	SICK IN THE HEAD, by Judd Apatow. (Random House.) Thirty years’ worth of the	11	5
""	filmmaker’s interviews with comedians.		
""			
11	THE ROAD TO CHARACTER, by David Brooks. (Random House.) The Times	9	14
""	columnist extols personal virtues like kindness and honesty in a materialistic age.		
""			
12	THE QUARTET, by Joseph J. Ellis. (Knopf.) How Washington, Hamilton, Jay and	12	9
""	Madison created the Constitution.		
""			
13	¡ADIOS, AMERICA!, by Ann Coulter. (Regnery.) The political commentator	6	7
""	denounces immigrants and their liberal supporters.		
""			
14	THE OREGON TRAIL, by Rinker Buck. (Simon & Schuster.) The author and his	10	3
""	brother travel 2,000 miles by mule and wagon from Missouri to Oregon.		
""			
15	ELON MUSK, by Ashlee Vance. (Ecco/HarperCollins.) Musk’s life from his difficult	15	9
