This	April 22, 2007	Last	Weeks
Week	Fiction	Week	On List
""			
1	I HEARD THAT SONG BEFORE, by Mary Higgins Clark. (Simon & Schuster,	--	1
""	$25.95.) A woman marries a childhood acquaintance suspected of several		
""	murders.		
""			
2	NINETEEN MINUTES, by Jodi Picoult. (Atria, $26.95.) The aftermath of a high	1	5
""	school shooting reveals the fault lines in a small New Hampshire town.		
""			
3	KINGDOM COME, by Tim LaHaye and Jerry B. Jenkins. (Tyndale, $25.99.) The	--	1
""	final title in the “Left Behind” series.		
""			
4	OBSESSION, by Jonathan Kellerman. (Ballantine, $26.95.) The psychologist-	2	2
""	detective Alex Delaware investigates a deathbed confession of murder.		
""			
5	WHITE NIGHT, by Jim Butcher. (Roc, $23.95.) Someone is killing Chicago’s minor	--	1
""	wizards, and the half-brother of Harry Dresden, wizard detective, is a suspect.		
""			
6	THE RELUCTANT FUNDAMENTALIST, by Mohsin Hamid. (Harcourt, $22.) The	--	1
""	life of a Pakistani immigrant, successful in the corporate world, is changed by		
""	9/11.		
""			
7	THE ALIBI MAN, by Tami Hoag. (Bantam, $26.) A disgraced former policewoman	3	2
""	investigates a murder linked to a group of wealthy Palm Beach men.		
""			
8	WHITETHORN WOODS, by Maeve Binchy. (Knopf, $25.95.) A proposed highway	4	5
""	threatens the existence of a religious shrine in a rural Irish village.		
""			
9	ABSOLUTE FEAR, by Lisa Jackson. (Kensington, $19.95.) A New Orleans	6	2
""	detective tracks a serial killer somehow linked to an abandoned asylum.		
""			
10	STEP ON A CRACK, by James Patterson and Michael Ledwidge. (Little, Brown,	8	9
""	$27.99.) A detective raising 10 children alone must rescue 34 high-level hostages.		
""			
11	SHOPAHOLIC & BABY, by Sophie Kinsella. (Dial, $24.) Becky is pregnant, and	7	6
""	the obstetrician turns out to be her husband’s ex-girlfriend.		
""			
12	FOR A FEW DEMONS MORE, by Kim Harrison. (Eos/HarperCollins, $21.95.) A	5	3
""	witch owns an ancient artifact that may stop a serial killer or ignite a gang war.		
""			
13	THE DOUBLE BIND, by Chris Bohjalian. (Shaye Areheart, $25.) A young woman	9	8
""	who works at a homeless shelter struggles to understand the mysterious		
""	photographs taken by a recently deceased resident.		
""			
14	SISTERS, by Danielle Steel. (Delacorte, $27.) After a family tragedy, four sisters	10	8
""	with very different lives decide to share a Manhattan brownstone.		
""			
15	BOOMSDAY, by Christopher Buckley. (Twelve, $24.99.) A blogger proposes to	--	1
""	solve the Social Security crisis by encouraging baby boomers to kill themselves		
This	April 22, 2007	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A LONG WAY GONE, by Ishmael Beah. (Sarah Crichton/Farrar, Straus & Giroux,	1	8
""	$22.) A former child soldier from Sierra Leone describes his drug-crazed killing		
""	spree and his return to humanity.		
""			
2	PAULA DEEN: IT AIN’T ALL ABOUT THE COOKIN’, by Paula Deen with Sherry	--	1
""	Suib Cohen. (Simon & Schuster, $25.) A memoir with recipes from the Southern		
""	cooking impresario (Food Network shows, restaurants, cookbooks, magazine).		
""			
3	GRACE (EVENTUALLY), by Anne Lamott. (Riverhead, $24.95.) Essays about	2	3
""	faith and forgiveness.		
""			
4	INFIDEL, by Ayaan Hirsi Ali. (Free Press, $26.) A memoir by the Somali-born	6	9
""	advocate for Muslim immigrant women, once a member of the Dutch Parliament,		
""	who has been threatened with death.		
""			
5	THE NEW AMERICAN STORY, by Bill Bradley. (Random House, $25.95.) The	9	2
""	former Democratic senator and presidential candidate presents a liberal-centrist		
""	agenda.		
""			
6	IN AN INSTANT, by Lee and Bob Woodruff. (Random House, $25.95.) The	3	6
""	aftermath of the ABC co-anchor’s traumatic brain injury in Iraq in 2006.		
""			
7	THE AUDACITY OF HOPE, by Barack Obama. (Crown, $25.) The Illinois junior	7	25
""	senator proposes that Americans move beyond their political divisions.		
""			
8	I FEEL BAD ABOUT MY NECK, by Nora Ephron. (Knopf, $19.95.) A witty look at	5	36
""	aging from a novelist and screenwriter (“When Harry Met Sally”).		
""			
9	HOW DOCTORS THINK, by Jerome Groopman. (Houghton Mifflin, $26.) A doctor	4	4
""	and New Yorker staff writer describes how doctors arrive at diagnoses and what		
""	patients can do to make sure they don’t err.		
""			
10	THE GOD DELUSION, by Richard Dawkins. (Houghton Mifflin, $27.) An Oxford	8	29
""	scientist asserts that belief in God is irrational and that religion has done great		
""	harm in the world.		
""			
11	THE LUCIFER EFFECT, by Philip Zimbardo. (Random House, $27.95.) A social	--	1
""	psychologist explains why good people do bad things.		
""			
12	THE WORLD IS FLAT, by Thomas L. Friedman. (Farrar, Straus & Giroux, $30.) A	12	104
""	columnist for The Times analyzes 21st-century economics and foreign policy.		
""			
13	SOMEBODY’S GOTTA SAY IT, by Neal Boortz. (HC/HarperCollins, $25.95.) A	13	7
""	radio talk-show host discusses government, poverty and other topics.		
""			
14	RELIGIOUS LITERACY, by Stephen Prothero. (HarperSanFrancisco, $24.95.)	15	3
""	What Americans need to know about the world’s religions and their own.		
