This	December 13, 2015	Last	Weeks
Week	Fiction	Week	On List
""			
1	CROSS JUSTICE, by James Patterson. (Little, Brown.) Detective Alex Cross returns	--	1
""	to Starksville, N.C., his hometown, for the first time in 35 years, to help a cousin who		
""	has been accused of murder.		
""			
2	TRICKY TWENTY-TWO, by Janet Evanovich. (Bantam.) The New Jersey bounty	1	2
""	hunter Stephanie Plum pursues a fraternity member arrested for beating up a college		
""	dean and investigates a murder.		
""			
3	ROGUE LAWYER, by John Grisham. (Doubleday.) The attorney Sebastian Rudd is a	3	6
""	“lone gunman” who hates injustice and the system and defends unpopular clients.		
""			
4	THE GUILTY, by David Baldacci. (Grand Central.) The government hit man Will Robie	2	2
""	investigates murder charges against his estranged father in their Mississippi		
""	hometown.		
""			
5	THE BAZAAR OF BAD DREAMS, by Stephen King. (Scribner.) Twenty stories, some	4	4
""	never before published.		
""			
6	SEE ME, by Nicholas Sparks. (Grand Central.) A couple in love are threatened by	5	7
""	secrets from the past.		
""			
7	THE MAGIC STRINGS OF FRANKIE PRESTO, by Mitch Albom. (Harper.) A mystical	10	3
""	tale of a guitar genius’s journey through 20th-century music.		
""			
8	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	11	82
""	blind French girl and a gadget-obsessed German boy before and during World War II.		
""			
9	THE CROSSING, by Michael Connelly. (Little, Brown.) The retired detective Harry	6	4
""	Bosch reluctantly agrees to help his half brother, a defense attorney.		
""			
10	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up Jean	15	19
""	Louise Finch returns home to find that her adored father is not as perfect as she		
""	believed.		
""			
11	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller	13	46
""	set in the environs of London.		
""			
12	ALL DRESSED IN WHITE, by Mary Higgins Clark and Alafair Burke. (Simon &	7	2
""	Schuster.) A TV producer investigates a bride’s disappearance for her show, “Under		
""	Suspicion.”		
""			
13	THE PHARAOH'S SECRET, by Clive Cussler and Graham Brown. (Putnam.) Kurt	8	2
""	Austin and Joe Zavala must save the NUMA crew from a mysterious toxin deployed		
""	by a villain who wants to build a new Egyptian empire.		
""			
14	THE MISTLETOE INN, by Richard Paul Evans. (Simon & Schuster.) An aspiring	9	2
""	romance writer with a broken heart meets a complicated man at a Christmas writers’		
This	December 13, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	HUMANS OF NEW YORK: STORIES, by Brandon Stanton. (St. Martin's.)	9	7
""	Photographs and interviews from the creator of the blog and the book “Humans of		
""	New York.”		
""			
2	KILLING REAGAN, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	1	10
""	O’Reilly Factor” recounts the events surrounding the attempted assassination of		
""	President Reagan in 1981.		
""			
3	THOMAS JEFFERSON AND THE TRIPOLI PIRATES, by Brian Kilmeade and	2	4
""	Don Yaeger. (Sentinel.) The war against the Barbary pirates in 1801.		
""			
4	DESTINY AND POWER, by Jon Meacham. (Random House.) A biography of	3	3
""	George H.W. Bush.		
""			
5	WHY NOT ME?, by Mindy Kaling. (Crown Archetype.) More personal essays from	15	10
""	the comedian and actress.		
""			
6	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	5	20
""	meditation on race in America as well as a personal story by the Atlantic's national		
""	correspondent.		
""			
7	TROUBLEMAKER, by Leah Remini and Rebecca Paley. (Ballantine.) The actress	4	4
""	describes her life in Scientology and the aftermath of her break with the church in		
""	2013.		
""			
8	BINGE, by Tyler Oakley. (Gallery Books.) Personal essays from the L.G.B.T.Q.	11	6
""	YouTube personality.		
""			
9	BOYS IN THE TREES, by Carly Simon. (Flatiron.) A memoir by the singer.	--	1
""			
10	THE WITCHES, by Stacy Schiff. (Little, Brown.) An account of the Salem witch	6	5
""	trials of 1692.		
""			
11	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	--	25
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
12	CRIPPLED AMERICA, by Donald J. Trump. (Threshold Editions.) The real estate	12	4
""	developer and candidate for the Republican presidential nomination shares his		
""	ideas for making America great again.		
""			
13	WHAT IF?, by Randall Munroe. (Houghton Mifflin Harcourt.) Scientific (but often	--	37
""	humorous) answers to hypothetical questions, based in part on the author’s		
""	website, xkcd.com.		
""			
14	MY LIFE ON THE ROAD, by Gloria Steinem. (Random House.) A memoir by the	14	5
""	feminist writer and activist is also a history of the movement.		
