This	August 13, 2006	Last	Weeks
Week	Fiction	Week	On List
""			
1	ANGELS FALL, by Nora Roberts. (Putnam, $25.95.) When a chef from Boston,	2	3
""	now living in Wyoming, witnesses a murder, the locals won't believe her.		
""			
2	PHANTOM, by Terry Goodkind. (Tor/Tom Doherty, $29.95.) The 11th volume of	1	2
""	"the ""Sword of Truth"" fantasy series."		
""			
3	THE MESSENGER, by Daniel Silva. (Putnam, $25.95.) Gabriel Allon, an art	--	1
""	restorer and an occasional spy for the Israeli secret service, uncovers an Al		
""	Qaeda plot against the Vatican.		
""			
4	TWELVE SHARP, by Janet Evanovich. (St. Martin's, $26.95.) The bounty hunter	3	6
""	Stephanie Plum must find a killer and rescue a kidnapped child.		
""			
5	THE RUINS, by Scott Smith. (Knopf, $24.95.) Two young American couples on	5	2
""	vacaton in the Yucatán confront a horrible menace.		
""			
6	COMING OUT, by Danielle Steel. (Delacorte, $20.) An attorney's household is	6	5
""	thrown into chaos when her daughters receive an invitation to a debutante ball.		
""			
7	CAN'T WAIT TO GET TO HEAVEN, by Fannie Flagg. (Random House, $29.95.)	7	4
""	"A return to Elmwood Springs, Mo., the setting of Flagg's novel ""Standing in the"		
""	"Rainbow."""		
""			
8	DEAD WRONG, by J. A. Jance. (Morrow, $25.95.) While awaiting the birth of her	--	1
""	second child, Sheriff Joanna Brady must find out who savagely beat one of her		
""	officers as well as solve a murder with curious links.		
""			
9	WATER FOR ELEPHANTS, by Sara Gruen (Algonquin, $24.95.) A young man —	12	6
""	and an elephant — save a Depression-era circus.		
""			
10	PEGASUS DESCENDING, by James Lee Burke. (Simon & Schuster, $26.) In the	4	2
""	15th Dave Robicheaux novel, the Louisiana detective pursues interrelated cases		
""	that lead back to the killing of his best friend 25 years earlier.		
""			
11	BREAK NO BONES, by Kathy Reichs. (Scribner, $25.95.) The forensic	8	3
""	anthropologist Temperance Brennan finds a fresh skeleton at an Indian burial		
""	ground in South Carolina.		
""			
12	BEACH ROAD, by James Patterson and Peter de Jonge. (Little, Brown, $27.95.)	9	13
""	An East Hampton lawyer becomes involved in a highly publicized trial that pits		
""	locals against the super-rich.		
""			
13	THE EXPECTED ONE, by Kathleen McGowan. (Touchstone/Simon & Schuster,	--	1
""	$25.95.) An American journalist in France finds scrolls hidden by Mary		
""	Magdalene.		
""			
14	SLEEPING WITH FEAR, by Kay Hooper. (Bantam, $25.) A psychic F.B.I. agent,	10	2
This	August 13, 2006	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	FIASCO, by Thomas E. Ricks. (The Penguin Press, $27.95.) How the Bush	--	1
""	administration's and the military's failure to understand the developing Iraqi		
""	insurgency contributed to its further growth.		
""			
2	MARLEY & ME, by John Grogan. (Morrow, $21.95.) A newspaper columnist and	1	41
""	his wife learn some life lessons from their neurotic dog.		
""			
3	FREAKONOMICS, by Steven D. Levitt and Stephen J. Dubner. (Morrow, $25.95.)	6	68
""	A maverick scholar applies economic thinking to everything from sumo wrestlers		
""	who cheat to legalized abortion and the falling crime rate.		
""			
4	THE WORLD IS FLAT, by Thomas L. Friedman. (Farrar, Straus & Giroux, $27.50;	2	69
""	updated and expanded edition, $30.) A columnist for The New York Times		
""	analyzes 21st-century economics and foreign policy.		
""			
5	GODLESS, by Ann Coulter. (Crown Forum, $27.95.) The columnist argues that	5	8
""	liberalism is a religion with sacraments, a creation myth and a clergy.		
""			
6	INSIGHT, by Sylvia Browne. (Dutton, $25.95.) The self-proclaimed psychic	--	1
""	describes cases from her 50-year career.		
""			
7	CONSERVATIVES WITHOUT CONSCIENCE, by John W. Dean. (Viking, $25.95.)	3	3
""	The authoritarian character of contemporary conservative beliefs and attitudes.		
""			
8	THE ONE PERCENT DOCTRINE, by Ron Suskind. (Simon & Schuster, $27.) An	4	6
""	investigation of the Bush administration's strategic thinking and of the role of		
""	ideology and personality in the decision to go to war.		
""			
9	MAYFLOWER, by Nathaniel Philbrick. (Viking, $29.95.) How America began, from	7	12
""	"the author of ""In the Heart of the Sea."""		
""			
10	DISPATCHES FROM THE EDGE, by Anderson Cooper. (HarperCollins, $24.95.)	8	10
""	The CNN correspondent describes a year of covering the tsunami in Sri Lanka, the		
""	war in Iraq and Hurricane Katrina.		
""			
11	THE LANGUAGE OF GOD, by Francis S. Collins. (Free Press, $26.) The head of	13	2
""	the Human Genome Project argues that faith in God and faith in science can		
""	coexist.		
""			
12	MYTHS, LIES, AND DOWNRIGHT STUPIDITY, by John Stossel. (Hyperion,	9	12
""	"$24.95.) The ""20/20"" anchor questions conventional wisdom."		
""			
13	THE LONG TAIL, by Chris Anderson. (Hyperion, $24.95.) How the Internet has	10	3
""	"changed business so that its future requires ""selling less of more."""		
""			
14	HEAT, by Bill Buford (Knopf, $25.95.) An editor changes his life by apprenticing in	14	7
""	a restaurant kitchen.		
