This	December 27, 2009	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LOST SYMBOL, by Dan Brown. (Doubleday, $29.95.) Robert Langdon	2	13
""	among the Masons.		
""			
2	“U” IS FOR UNDERTOW, by Sue Grafton. (Putnam, $27.95.) Kinsey Millhone	1	2
""	investigates the case of a 4-year-old girl who disappeared 21 years earlier.		
""			
3	I, ALEX CROSS, by James Patterson. (Little, Brown, $27.99.) Tracking the	3	4
""	murderer of a relative, Alex Cross discovers a wild Washington scene with		
""	explosive secrets.		
""			
4	UNDER THE DOME, by Stephen King. (Scribner, $35.) When a Maine town is	4	5
""	trapped by an invisible force field, a sanctimonious and hypocritical politician takes		
""	over.		
""			
5	THE HELP, by Kathryn Stockett. (Amy Einhorn/Putnam, $24.95.) A young white	5	37
""	woman and two black maids in 1960s Mississippi.		
""			
6	DIVINE MISDEMEANORS, by Laurell K. Hamilton. (Ballantine, $26.) In the eighth	--	1
""	Meredith Gentry paranormal romance, Meredith, who has left the faerie court, is		
""	asked by the L.A.P.D. for assistance in solving a series of crimes.		
""			
7	PIRATE LATITUDES, by Michael Crichton. (Harper/HarperCollins, $27.99.) In the	6	3
""	17th-century Caribbean, a British pirate attacks a Spanish galleon; this manuscript		
""	was found in Crichton’s files after his death in 2008.		
""			
8	THE CHRISTMAS SWEATER, by Glenn Beck with Kevin Balfe and Jason Wright.	16	11
""	(Threshold Editions, $19.99.) A boy learns from his disappointment with his		
""	mother’s gift.		
""			
9	FORD COUNTY, by John Grisham. (Doubleday, $24.) Stories set in rural	7	6
""	Mississippi.		
""			
10	THE LAST SONG, by Nicholas Sparks. (Grand Central, $24.99.) A 17-year-old girl	12	14
""	spends the summer with her divorced father in North Carolina and finds many		
""	kinds of love.		
""			
11	THE LACUNA, by Barbara Kingsolver. (Harper/HarperCollins, $26.99.) A young	10	6
""	American growing up in Mexico becomes friends with artists and radicals; later, in		
""	the United States, he is menaced by McCarthyism.		
""			
12	BREATHLESS, by Dean Koontz. (Bantam, $28.) Mysterious animals in the	8	3
""	Colorado Rockies set off intrigue and suspense.		
""			
13	PURSUIT OF HONOR, by Vince Flynn. (Atria, $27.99.) The counterterrorism	11	9
""	operative Mitch Rapp must teach politicians about national security following a		
""	new Qaeda attack.		
This	December 27, 2009	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	GOING ROGUE, by Sarah Palin. (Harper/HarperCollins, $28.99.) A memoir by the	1	4
""	former Alaska governor and vice-presidential candidate.		
""			
2	STONES INTO SCHOOLS, by Greg Mortenson. (Viking, $26.95.) Building	2	2
""	schools, many of them for girls, in northeast Afghanistan; takes up where “Three		
""	Cups of Tea” left off.		
""			
3	HAVE A LITTLE FAITH, by Mitch Albom. (Hyperion, $23.99.) A suburban rabbi	3	11
""	and a Detroit pastor teach lessons about the comfort of belief.		
""			
4	ARGUING WITH IDIOTS, written and edited by Glenn Beck, Kevin Balfe and	6	12
""	others. (Mercury Radio Arts/Threshold Editions, $29.99.) The case against big		
""	government.		
""			
5	OPEN, by Andre Agassi. (Knopf, $28.95.) The tennis champion’s autobiography.	4	5
""			
6	TRUE COMPASS, by Edward M. Kennedy. (Twelve, $35.) The late senator’s	5	13
""	autobiography.		
""			
7	SUPERFREAKONOMICS, by Steven D. Levitt and Stephen J. Dubner.	7	8
""	(Morrow/HarperCollins, $29.99.) A scholar and a journalist apply economic		
""	thinking to everything: the sequel.		
""			
8	WHAT THE DOG SAW, by Malcolm Gladwell. (Little, Brown, $27.99.) A decade of	8	8
""	New Yorker essays.		
""			
9	THE NATIONAL PARKS, by Dayton Duncan and Ken Burns. (Knopf, $50.) A	15	6
""	companion to the PBS series.		
""			
10	HALF THE SKY, by Nicholas D. Kristof and Sheryl WuDunn. (Knopf, $27.95.)	9	6
""	Women fighting sexual oppression in Asia and Africa.		
""			
11	"WHEN THE GAME WAS OURS, by Larry Bird and Earvin ""Magic"" Johnson with"	12	6
""	Jackie MacMullan. (Houghton Mifflin Harcourt, $26.) Two great basketball players		
""	discuss their careers, their long rivalry and their eventual friendship.		
""			
12	OUTLIERS, by Malcolm Gladwell. (Little, Brown, $27.99.) Why some people	10	56
""	succeed, from the author of “Blink.”		
""			
13	A BOLD FRESH PIECE OF HUMANITY, by Bill O’Reilly. (Broadway, $26.) The	--	50
""	Fox News commentator on his upbringing and career.		
""			
14	A SIMPLE CHRISTMAS, by Mike Huckabee. (Sentinel, $19.95.) Christmas	11	5
""	memories from the former Arkansas governor and Republican presidential		
""	aspirant.		
""			
15	THE IMPERIAL CRUISE, by James Bradley. (Little, Brown, $29.99.) In 1905,	13	3
