This	January 17, 2016	Last	Week
Week	Fiction	Week	On Li
""			
1	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	3	87
""	French girl and a gadget-obsessed German boy before and during World War II.		
""			
2	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	4	51
""	in the environs of London.		
""			
3	ROGUE LAWYER, by John Grisham. (Doubleday.) The attorney Sebastian Rudd is a	1	11
""	“lone gunman” who hates injustice and the system and defends unpopular clients.		
""			
4	SEE ME, by Nicholas Sparks. (Grand Central.) A couple in love are threatened by	5	12
""	secrets from the past.		
""			
5	THE BAZAAR OF BAD DREAMS, by Stephen King. (Scribner.) Twenty stories, some	6	9
""	never before published.		
""			
6	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	10	44
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
7	CROSS JUSTICE, by James Patterson. (Little, Brown.) Detective Alex Cross returns to	2	6
""	Starksville, N.C., his hometown, for the first time in 35 years, to help a cousin who has		
""	been accused of murder.		
""			
8	THE GUILTY, by David Baldacci. (Grand Central.) The government hit man Will Robie	8	7
""	investigates murder charges against his estranged father in their Mississippi hometown.		
""			
9	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up Jean	7	24
""	Louise Finch returns home to find that her adored father is not as perfect as she		
""	believed.		
""			
10	THE MAGIC STRINGS OF FRANKIE PRESTO, by Mitch Albom. (Harper.) A mystical	9	8
""	tale of a guitar genius’s journey through 20th-century music.		
""			
11	TOM CLANCY: COMMANDER IN CHIEF, by Mark Greaney. (Putnam.) President Jack	11	5
""	Ryan detects a pattern in outbreaks of violence around the world that point to the		
""	Russian president, but he must unite the Western allies before he can take action.		
""	Clancy died in 2013.		
""			
12	TRICKY TWENTY-TWO, by Janet Evanovich. (Bantam.) The New Jersey bounty	12	7
""	hunter Stephanie Plum pursues a fraternity member arrested for beating up a college		
""	dean and investigates a murder.		
""			
13	ASHLEY BELL, by Dean Koontz. (Bantam.) A young Southern California writer who	13	4
""	survived a fatal diagnosis sets out to find a woman she has been told she must save,		
""	overcoming many obstacles in the process.		
""			
14	FATES AND FURIES, by Lauren Groff. (Riverhead.) A marriage viewed from two	--	4
This	January 17, 2016	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	4	25
""	meditation on race in America as well as a personal story by the Atlantic's national		
""	correspondent. Winner of the National Book Award.		
""			
2	THOMAS JEFFERSON AND THE TRIPOLI PIRATES, by Brian Kilmeade and	2	9
""	Don Yaeger. (Sentinel.) The war against the Barbary pirates in 1801.		
""			
3	KILLING REAGAN, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	1	15
""	O’Reilly Factor” recounts the events surrounding the attempted assassination of		
""	President Reagan in 1981.		
""			
4	HUMANS OF NEW YORK STORIES, by Brandon Stanton. (St. Martin's.)	3	12
""	Photographs and interviews from the creator of the blog and the book “Humans of		
""	New York.”		
""			
5	BINGE, by Tyler Oakley. (Gallery Books.) Personal essays from the L.G.B.T.Q.	--	7
""	YouTube personality.		
""			
6	WHY NOT ME?, by Mindy Kaling. (Crown Archetype.) More personal essays from	8	15
""	the comedian and actress.		
""			
7	THE WITCHES, by Stacy Schiff. (Little, Brown.) An account of the Salem witch	10	10
""	trials of 1692.		
""			
8	MODERN ROMANCE, by Aziz Ansari with Eric Klinenberg. (Penguin Press.) The	14	19
""	comedian enlists a sociologist to help him understand today’s dating scene.		
""			
9	CRIPPLED AMERICA, by Donald J. Trump. (Threshold Editions.) The real estate	9	9
""	developer and candidate for the Republican presidential nomination shares his		
""	ideas for making America great again.		
""			
10	H IS FOR HAWK, by Helen Macdonald. (Grove.) A grief-stricken British woman	--	12
""	decides to raise a goshawk, a fierce bird that is notoriously difficult to tame.		
""			
11	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	7	30
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
12	SPQR, by Mary Beard. (Liveright.) A concise history of ancient Rome.	11	6
""			
13	BOYS IN THE TREES, by Carly Simon. (Flatiron.) A memoir by the singer.	12	6
""			
14	FURIOUSLY HAPPY, by Jenny Lawson. (Flatiron.) A humorous treatment of the	--	6
""	author's life with depression and anxiety disorder.		
""			
15	WHAT IF?, by Randall Munroe. (Houghton Mifflin Harcourt.) Scientific (but often	5	42
""	humorous) answers to hypothetical questions, based in part on the author’s		
""	website, xkcd.com.		
