This	May 4, 2008	Last	Weeks
Week	Fiction	Week	On List
""			
1	HOLD TIGHT, by Harlan Coben. (Dutton, $26.95.) The aftermath of a high school	--	1
""	kid’s suicide rocks a New Jersey suburb.		
""			
2	WHERE ARE YOU NOW?, by Mary Higgins Clark. (Simon & Schuster, $25.95.) A	1	2
""	woman searches for the truth about her brother, who is alive but has disappeared.		
""			
3	THE MIRACLE AT SPEEDY MOTORS, by Alexander McCall Smith. (Pantheon,	--	1
""	$22.95.) The ninth novel in the No. 1 Ladies’ Detective Agency series.		
""			
4	UNACCUSTOMED EARTH, by Jhumpa Lahiri. (Knopf, $25.) Stories about the	2	3
""	anxiety and transformation experienced by Bengali parents and their American		
""	children.		
""			
5	CERTAIN GIRLS, by Jennifer Weiner. (Atria, $26.95.) A girl discovers the sexy,	3	2
""	somewhat autobiographical novel her mother wrote years earlier.		
""			
6	THE APPEAL, by John Grisham. (Doubleday, $27.95.) Political and legal intrigue	6	12
""	ensue when a Mississippi court decides against a chemical company accused of		
""	dumping toxic waste.		
""			
7	COMPULSION, by Jonathan Kellerman. (Ballantine, $27.) Several Los Angeles	7	4
""	women are murdered, and the psychologist-detective Alex Delaware investigates.		
""			
8	BELONG TO ME, by Marisa de los Santos. (Morrow, $24.95.) When she moves to	4	3
""	the suburbs, a woman becomes enmeshed in complications and secrets.		
""			
9	SMALL FAVOR, by Jim Butcher. (Roc, $23.95.) Book 10 of the Dresden Files	5	3
""	series about a wizard detective in Chicago.		
""			
10	CHANGE OF HEART, by Jodi Picoult. (Atria, $26.95.) A prisoner on death row	8	7
""	begins performing miracles.		
""			
11	BULLS ISLAND, by Dorothea Benton Frank. (Morrow, $24.95.) An investment	9	2
""	banker returns to the South Carolina island home she had left 20 years before.		
""			
12	A THOUSAND SPLENDID SUNS, by Khaled Hosseini. (Riverhead, $25.95.) A	10	48
""	friendship between two women in Afghanistan against the backdrop of 30 years of		
""	war.		
""			
13	REMEMBER ME?, by Sophie Kinsella. (Dial, $25.) After an auto accident, a	11	8
""	London woman loses her memory.		
""			
14	THE BRIEF WONDROUS LIFE OF OSCAR WAO, by Junot Díaz. (Riverhead,	15	4
""	$24.95.) A Dominican-American in New Jersey struggles to escape a family curse.		
""			
15	THE THIRD ANGEL, by Alice Hoffman. (Shaye Areheart, $25.) Interwoven stories	--	1
""	of three women who face crossroads in their lives.		
This	May 4, 2008	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BEAUTIFUL BOY, by David Sheff. (Houghton Mifflin, $24.) A father struggles with	3	8
""	his son’s meth addiction.		
""			
2	HOME, by Julie Andrews. (Hyperion, $26.95.) A memoir of Andrews’s early years,	1	3
""	from birth to being cast as Mary Poppins.		
""			
3	MISTAKEN IDENTITY, by Don and Susie Van Ryn and Newell, Colleen and	2	4
""	Whitney Cerak, with Mark Tabb. (Howard, $21.95.) The families of two girls whose		
""	identities were confused after a 2006 accident describe their experience.		
""			
4	LADIES OF LIBERTY, by Cokie Roberts. (Morrow, $26.95.) The influential women	4	2
""	of early America.		
""			
5	ESCAPE, by Carolyn Jessop with Laura Palmer. (Broadway, $24.95.) A former	6	4
""	member of a fundamentalist polygamous sect describes her forced marriage to a		
""	much older man.		
""			
6	GIRLS LIKE US, by Sheila Weller. (Atria, $27.95.) The lives and times of Carole	7	2
""	King, Joni Mitchell and Carly Simon.		
""			
7	BAD MONEY, by Kevin Phillips. (Viking, $25.95.) How the financial sector has	--	1
""	hijacked the American economy, aided by Washington’s ruinous faith in the		
""	efficiency of markets.		
""			
8	ARMAGEDDON IN RETROSPECT, by Kurt Vonnegut. (Putnam, $24.95.) Twelve	5	3
""	unpublished writings on war and peace by the novelist, who died in 2007.		
""			
9	IN DEFENSE OF FOOD, by Michael Pollan. (Penguin Press, $21.95.) A manifesto	11	16
""	urges us to “Eat food. Not too much. Mostly plants.”		
""			
10	BRETT FAVRE: THE TRIBUTE, (Sports Illustrated, $27.95.) From the magazine,	13	4
""	articles about and pictures of the Green Bay Packers quarterback.		
""			
11	BONK, by Mary Roach. (Norton, $24.95.) An amusing look at the science of	10	2
""	sexual physiology.		
""			
12	TERROR AND CONSENT, by Philip Bobbitt. (Knopf, $35.) A historical, legal and	--	1
""	strategic analysis of the “war on terror” questions whether democratic states can		
""	survive in the 21st century.		
""			
13	STANDING TALL, by C. Vivian Stringer with Laura Tucker. (Crown, $24.95.) A	9	2
""	memoir by the head coach of the Rutgers women’s basketball team.		
""			
14	LOSING IT, by Valerie Bertinelli. (Free Press, $26.) A memoir by the actress and	8	8
""	former wife of Eddie Van Halen.		
""			
15	PHYSICS OF THE IMPOSSIBLE, by Michio Kaku. (Doubleday, $26.95.) A	12	5
