This	October 23, 2016	Last	Weeks
Week	Fiction	Week	On List
""			
1	TWO BY TWO, by Nicholas Sparks. (Grand Central.) A man who became a single	--	1
""	father when his marriage and business collapsed learns to take a chance on a new		
""	love.		
""			
2	THE TRESPASSER, by Tana French. (Viking.) In the sixth Dublin Murder Squad	--	1
""	novel, Detective Antoinette Conway confronts a case that is more complicated than it		
""	appears.		
""			
3	COMMONWEALTH, by Ann Patchett. (Harper.) Five decades in the lives of two	3	4
""	families — parents, children, siblings, stepchildren — remade by divorce.		
""			
4	WOMAN OF GOD, by James Patterson and Maxine Paetro. (Little, Brown.) The story	1	2
""	of a (woman) doctor who, after a life of service and suffering, becomes a Catholic		
""	priest.		
""			
5	HOME, by Harlan Coben. (Dutton.) Myron Bolitar and his friend Win locate a boy who	2	3
""	was kidnapped 10 years earlier; the 11th Myron Bolitar novel.		
""			
6	TODAY WILL BE DIFFERENT, by Maria Semple. (Little, Brown.) A calamitous day in	--	1
""	the life of a cynical Seattle transplant from the author of “Where’d You Go,		
""	Bernadette.”		
""			
7	TWELVE DAYS OF CHRISTMAS, by Debbie Macomber. (Ballantine.) A woman starts	--	1
""	a blog about her attempt to reach out to a grumpy neighbor at Christmastime, and		
""	finds herself falling for him.		
""			
8	THE WOMAN IN CABIN 10, by Ruth Ware. (Scout.) A travel writer on a cruise is	5	12
""	certain she has heard a body thrown overboard, but no one believes her.		
""			
9	THE UNDERGROUND RAILROAD, by Colson Whitehead. (Doubleday.) A slave girl	4	10
""	heads toward freedom on the network, envisioned as actual tracks and tunnels.		
""			
10	WINTER STORMS, by Elin Hilderbrand. (Little, Brown.) In the final book of the Winter	--	1
""	Street trilogy, a huge snowstorm bearing down on Nantucket threatens the Quinn		
""	family’s Christmas, after a year of significant events.		
""			
11	RAZOR GIRL, by Carl Hiaasen. (Knopf.) The ex-cop Andrew Yancy from “Bad	6	5
""	Monkey” gets involved in a kidnapping gone wrong.		
""			
12	A GENTLEMAN IN MOSCOW, by Amor Towles. (Viking.) A Russian count undergoes	8	5
""	30 years of house arrest in the Metropol hotel, across from the Kremlin.		
""			
13	THE NIGHTINGALE, by Kristin Hannah. (St. Martin’s.) Two sisters in World War II	12	81
""	France: one struggling to survive in the countryside, the other joining the Resistance		
""	in Paris.		
""			
14	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	13	127
This	October 23, 2016	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BORN TO RUN, by Bruce Springsteen. (Simon & Schuster.) The singer-	1	2
""	songwriter’s autobiography.		
""			
2	KILLING THE RISING SUN, by Bill O'Reilly and Martin Dugard. (Holt.) The host of	2	4
""	“The O’Reilly Factor” recounts the final years of World War II.		
""			
3	HILLBILLY ELEGY, by J. D. Vance. (HarperCollins.) A Yale Law School graduate	4	11
""	looks at the struggles of America’s white working class through his own childhood		
""	in the Rust Belt.		
""			
4	LOVE WARRIOR, by Glennon Doyle Melton. (Flatiron.) After her husband	3	5
""	confesses to multiple infidelities, a woman who has overcome bulimia and		
""	alcoholism struggles to grow — and so does he.		
""			
5	THE GIRL WITH THE LOWER BACK TATTOO, by Amy Schumer. (Gallery	5	8
""	Books.) Humorous personal essays by the comedian, actor and writer.		
""			
6	HERO OF THE EMPIRE, by Candice Millard. (Doubleday.) The young Winston	7	3
""	Churchill’s adventures in Africa during the Boer War, including an escape from		
""	captivity in 1899.		
""			
7	THE HIDDEN LIFE OF TREES, by Peter Wohlleben. (Greystone.) A forester	13	4
""	presents scientific research on the way trees interact with one another. A best		
""	seller in Germany.		
""			
8	WHEN BREATH BECOMES AIR, by Paul Kalanithi. (Random House.) A memoir	10	39
""	by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.		
""			
9	WHEN NOBODY WAS WATCHING, by Carli Lloyd and Wayne Coffey. (Houghton	6	2
""	Mifflin Harcourt.) How the champion soccer player turned her career around in		
""	2003.		
""			
10	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	11	65
""	meditation on race in America.		
""			
11	HAMILTON: THE REVOLUTION, by Lin-Manuel Miranda and Jeremy McCarter.	8	25
""	(Grand Central/Melcher Media.) The libretto of the award-winning musical, with		
""	backstage photos, a production history and interviews with the cast.		
""			
12	MY OWN WORDS, by Ruth Bader Ginsburg with Mary Hartnett and Wendy W.	--	1
""	Williams. (Simon & Schuster.) A collection of articles and speeches by the		
""	Supreme Court justice.		
""			
13	GUILTY AS SIN, by Edward Klein. (Regnery.) The case against Hillary Clinton,	--	1
""	focused on her use of a private email server and the activities of the Clinton		
""	Foundation.		
