This	March 30, 2003	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE KING OF TORTS, by John Grisham. (Doubleday, $27.95.) A public defender	2	6
""	in Washington happens upon a frightening conspiracy involving one of the largest		
""	pharmaceutical companies in the world.		
""			
2	THE JESTER, by James Patterson and Andrew Gross. (Little, Brown, $27.95.)	1	2
""	Upon returning home from the First Crusade, an innkeeper learns that his son has		
""	been killed and his wife has been abducted.		
""			
3	DATING GAME, by Danielle Steel. (Delacorte, $26.95.) After her husband leaves	3	2
""	her, a 46-year-old woman decides what to do with the rest of her life.		
""			
4	BACK STORY, by Robert B. Parker. (Putnam, $24.95.) Investigating an unsolved	--	1
""	murder from 1974, Spenser discovers a cover-up that revolves around the F.B.I.,		
""	organized crime and the counterculture.		
""			
5	THE LOVELY BONES, by Alice Sebold. (Little, Brown, $21.95.) A 14-year-old girl	4	38
""	looks down from heaven as she describes what happens in the aftermath of her		
""	kidnapping and murder.		
""			
6	THE VANISHED MAN, by Jeffery Deaver. (Simon & Schuster, $25.) The	--	1
""	criminologist Lincoln Rhyme matches wits with a serial killer who is also a master		
""	magician.		
""			
7	SOMEONE TO WATCH OVER ME, by Judith McNaught. (Atria, $25.) When the	5	4
""	rich husband of a Broadway actress disappears, she becomes a suspect.		
""			
8	THE LAST DETECTIVE, by Robert Crais. (Doubleday, $24.95.) The Los Angeles	6	4
""	private eye Elvis Cole searches for his girlfriend's missing 10-year-old son.		
""			
9	TIES THAT BIND, by Phillip Margolin. (Harper- Collins, $25.95.) After a lawyer in	--	1
""	Portland, Ore., agrees to defend a man who runs an escort service, she comes		
""	upon a wide-ranging political conspiracy.		
""			
10	THE CONFESSOR, by Daniel Silva. (Putnam, $25.95.) Intrigue involving a	7	3
""	Mossad agent and a new pope, Paul VII, follows the murder of an Israeli writer.		
""			
11	THE DANTE CLUB, by Matthew Pearl. (Random House, $24.95.) Henry	9	3
""	Wadsworth Longfellow, Oliver Wendell Holmes et al. hunt for a killer who has		
""	"been inspired by their translation of the ""Inferno."""		
""			
12	CROSSROADS OF TWILIGHT, by Robert Jordan. (Tor/Tom Doherty, $29.95.)	10	10
""	"The 10th volume in the fantasy series ""The Wheel of Time."""		
""			
13	FLASHBACK, by Nevada Barr. (Putnam, $24.95.) The park ranger Anna Pigeon	14	5
""	looks for clues after a boat explodes off Key West.		
""			
14	TATOOINE GHOST, by Troy Denning. (Lucas/Del Rey/Ballantine, $25.95.) Han	8	2
This	March 30, 2003	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE SAVAGE NATION, by Michael Savage. (WND/ Thomas Nelson, $24.99.) A	2	10
""	"radio talk show host proposes to save America from ""the liberal assault on our"		
""	"borders, language and culture."""		
""			
2	STUPID WHITE MEN, by Michael Moore. (ReganBooks/HarperCollins, $24.95.)	3	49
""	"The man behind ""Roger & Me"" takes aim at Republicans and Democrats,"		
""	"corporate America and our ""nation of idiots."""		
""			
3	THE DEVIL IN THE WHITE CITY, by Erik Larson. (Crown, $25.95.) The tale of a	1	5
""	great architect (Daniel Hudson Burnham) and a serial killer (H. H. Holmes), who		
""	were linked by the Chicago World's Fair of 1893.		
""			
4	THE HUNT FOR BIN LADEN, by Robin Moore. (Random House, $24.95.) The	4	2
""	war in Afghanistan as seen through the eyes of members of the Special Forces;		
""	"by the author of ""The Green Berets."""		
""			
5	JARHEAD, by Anthony Swofford. (Scribner, $24.) A memoir of the 1991 Persian	5	2
""	Gulf war by a former Marine sniper.		
""			
6	WHAT SHOULD I DO WITH MY LIFE? by Po Bronson. (Random House, $24.95.)	6	10
""	The stories of 55 people who found their calling after years of struggle.		
""			
7	PERFECT I'M NOT, by David Wells with Chris Kreski. (Morrow, $25.95.) The	--	1
""	autobiography of the Yankee southpaw.		
""			
8	OF PARADISE AND POWER, by Robert Kagan. (Knopf, $18.) A scholar analyzes	11	4
""	the changing relationship between Europe and the United States.		
""			
9	HATRED'S KINGDOM, by Dore Gold. (Regnery, $27.95.) An Israeli diplomat who	10	3
""	"has served as ambassador to the United Nations argues that ""Saudi Arabia"		
""	"supports the new global terrorism."""		
""			
10	GOOD TO GREAT, by Jim Collins. (HarperBusiness, $27.50.) Why some	9	23
""	companies thrive and others do not.		
""			
11	USEFUL IDIOTS, by Mona Charen. (Regnery, $27.95.) The columnist and	8	5
""	"television commentator goes on the attack against liberals, who ""got it wrong in"		
""	"the cold war and still blame America first."""		
""			
12	THIS JUST IN, by Bob Schieffer. (Putnam, $26.95.) A memoir by the chief	7	7
""	"Washington correspondent for CBS News and moderator of ""Face the Nation."""		
""			
13	BUSH AT WAR, by Bob Woodward. (Simon & Schuster, $28.) Behind the scenes	12	17
""	at the White House as the president and his advisers responded to the attacks of		
""	Sept. 11.		
""			
14	LEADERSHIP, by Rudolph W. Giuliani with Ken Kurson. (Miramax/Hyperion,	13	24
