This	July 27, 2008	Last	Weeks
Week	Fiction	Week	On List
""			
1	TRIBUTE, by Nora Roberts. (Putnam, $26.95.) A former child star returns to	--	1
""	Virginia to rehabilitate the farm owned by her grandmother, an actress who died		
""	mysteriously.		
""			
2	FEARLESS FOURTEEN, by Janet Evanovich. (St. Martin’s, $27.95.) Stephanie	2	4
""	Plum and her boyfriend Joe Morelli become involved when his cousin’s bank		
""	robbery goes bad.		
""			
3	THE LAST PATRIOT, by Brad Thor. (Atria, $26.) Scot Harvath, a Homeland	1	2
""	Security superagent, searches for an ancient secret that could defeat Islamic		
""	militants.		
""			
4	THE STORY OF EDGAR SAWTELLE, by David Wroblewski. (Ecco, $25.95.) A	5	5
""	mute takes refuge with three dogs in the Wisconsin woods after his father’s		
""	murder.		
""			
5	SWAN PEAK, by James Lee Burke. (Simon & Schuster, $25.95.) The Louisiana	--	1
""	detective Dave Robicheaux can’t escape trouble on his Montana vacation.		
""			
6	SAIL, by James Patterson and Howard Roughan. (Little, Brown, $27.99.) A sailing	3	5
""	vacation turns into a disaster.		
""			
7	THE HOST, by Stephenie Meyer. (Little, Brown, $25.99.) Aliens have taken	6	10
""	control of the minds and bodies of most humans, but one woman won’t surrender.		
""			
8	TAILSPIN, by Catherine Coulter. (Putnam, $25.95.) Dillon Savich and Lacey	4	3
""	Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a		
""	colleague.		
""			
9	THE BEACH HOUSE, by Jane Green. (Viking, $24.95.) A woman’s life changes	10	4
""	when she rents out rooms in her Nantucket house.		
""			
10	LOVE THE ONE YOU’RE WITH, by Emily Giffin. (St. Martin’s, $24.95.) A woman’s	11	9
""	happy marriage is shaken when she encounters an old boyfriend.		
""			
11	CHASING DARKNESS, by Robert Crais. (Simon & Schuster, $25.95.) Is the Los	7	2
""	Angeles private eye Elvis Cole responsible for the release of a serial killer?		
""			
12	CHASING HARRY WINSTON, by Lauren Weisberger. (Simon & Schuster,	13	7
""	$25.95.) Three glamorous friends, New York women nearing 30, vow to change		
""	their lives.		
""			
13	ROGUE, by Danielle Steel. (Delacorte, $27.) A divorced doctor about to remarry	8	3
""	faces a quandary when her ex-husband asks her to work with him on a		
""	humanitarian project.		
""			
14	DEATH ANGEL, by Linda Howard. (Ballantine, $26.) A crime lord’s former	9	2
This	July 27, 2008	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WHEN YOU ARE ENGULFED IN FLAMES, by David Sedaris. (Little, Brown,	1	6
""	$25.99.) The humorist’s latest essays.		
""			
2	ARE YOU THERE, VODKA? IT’S ME, CHELSEA, by Chelsea Handler. (Simon	4	12
""	Spotlight Entertainment, $24.95.) Humorous personal essays from the stand-up		
""	comedian.		
""			
3	FLEECED, by Dick Morris and Eileen McGann. (Harper, $26.95.) Americans are	2	3
""	fleeced by government, business, labor unions and lobbyists.		
""			
4	WHAT HAPPENED, by Scott McClellan. (PublicAffairs, $27.95.) A former White	3	7
""	House press secretary regrets that “I allowed myself to be deceived” by top		
""	officials.		
""			
5	STORI TELLING, by Tori Spelling with Hilary Liftin. (Simon Spotlight, $24.95.) The	9	7
""	actress’s memoir.		
""			
6	THE MONSTER OF FLORENCE, by Douglas Preston with Mario Spezi. (Grand	5	5
""	Central, $25.99.) An American writer in Florence and an Italian journalist work to		
""	discover the identity of a local serial killer.		
""			
7	THE POST-AMERICAN WORLD, by Fareed Zakaria. (Norton, $25.95.) The rise of	8	11
""	China and India and the global distribution of power.		
""			
8	AUDITION, by Barbara Walters. (Knopf, $29.95.) A personal and professional	7	10
""	memoir.		
""			
9	THE PROSECUTION OF GEORGE W. BUSH FOR MURDER, by Vincent	16	5
""	Bugliosi. (Vanguard, $26.95.) The Manson prosecutor makes a case for trying the		
""	president for the deaths of 4,000 American soldiers in Iraq.		
""			
10	MY STROKE OF INSIGHT, by Jill Bolte Taylor. (Viking, $24.95.) A brain scientist	6	6
""	shares what she learned from her 1996 stroke.		
""			
11	ROME 1960, by David Maraniss. (Simon & Schuster, $26.95.) How the 1960	14	2
""	Olympic Games reflected their time.		
""			
12	SOMEWHERE IN HEAVEN, by Christopher Andersen. (Hyperion, $23.95.) The	--	1
""	marriage of Christopher and Dana Reeve.		
""			
13	IN DEFENSE OF FOOD, by Michael Pollan. (Penguin Press, $21.95.) A manifesto	12	20
""	urges us to “Eat food. Not too much. Mostly plants.”		
""			
14	I AM AMERICA (AND SO CAN YOU!), by Stephen Colbert, Richard Dahm, Paul	--	28
""	Dinello, Allison Silverman et al. (Grand Central, $26.99.) The wit and wisdom of		
""	the mock pundit of Comedy Central’s “Colbert Report.”		
