This	January 3, 2016	Last	Weeks
Week	Fiction	Week	On List
""			
1	ROGUE LAWYER, by John Grisham. (Doubleday.) The attorney Sebastian Rudd is a	1	9
""	“lone gunman” who hates injustice and the system and defends unpopular clients.		
""			
2	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	5	85
""	blind French girl and a gadget-obsessed German boy before and during World War II.		
""			
3	SEE ME, by Nicholas Sparks. (Grand Central.) A couple in love are threatened by	3	10
""	secrets from the past.		
""			
4	THE BAZAAR OF BAD DREAMS, by Stephen King. (Scribner.) Twenty stories, some	4	7
""	never before published.		
""			
5	CROSS JUSTICE, by James Patterson. (Little, Brown.) Detective Alex Cross returns	2	4
""	to Starksville, N.C., his hometown, for the first time in 35 years, to help a cousin who		
""	has been accused of murder.		
""			
6	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller	8	49
""	set in the environs of London.		
""			
7	THE MAGIC STRINGS OF FRANKIE PRESTO, by Mitch Albom. (Harper.) A mystical	9	6
""	tale of a guitar genius’s journey through 20th-century music.		
""			
8	THE GUILTY, by David Baldacci. (Grand Central.) The government hit man Will Robie	6	5
""	investigates murder charges against his estranged father in their Mississippi		
""	hometown.		
""			
9	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up Jean	11	22
""	Louise Finch returns home to find that her adored father is not as perfect as she		
""	believed.		
""			
10	TOM CLANCY: COMMANDER IN CHIEF, by Mark Greaney. (Putnam.) President	7	3
""	Jack Ryan detects a pattern in outbreaks of violence around the world that point to		
""	the Russian president, but he must unite the Western allies before he can take action.		
""	Clancy died in 2013.		
""			
11	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	13	42
""	France: one struggling to survive in the countryside, the other joining the Resistance		
""	in Paris.		
""			
12	TRICKY TWENTY-TWO, by Janet Evanovich. (Bantam.) The New Jersey bounty	10	5
""	hunter Stephanie Plum pursues a fraternity member arrested for beating up a college		
""	dean and investigates a murder.		
""			
13	ASHLEY BELL, by Dean Koontz. (Bantam.) A young Southern California writer who	12	2
""	survived a fatal diagnosis sets out to find a woman she has been told she must save,		
""	overcoming many obstacles in the process.		
""			
14	A KNIGHT OF THE SEVEN KINGDOMS, by George R. R. Martin. (Bantam.) A	--	7
This	January 3, 2016	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	KILLING REAGAN, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	1	13
""	O’Reilly Factor” recounts the events surrounding the attempted assassination		
""	of President Reagan in 1981.		
""			
2	THOMAS JEFFERSON AND THE TRIPOLI PIRATES, by Brian Kilmeade and	2	7
""	Don Yaeger. (Sentinel.) The war against the Barbary pirates in 1801.		
""			
3	HUMANS OF NEW YORK STORIES, by Brandon Stanton. (St. Martin's.)	3	10
""	Photographs and interviews from the creator of the blog and the book		
""	“Humans of New York.”		
""			
4	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	4	23
""	meditation on race in America as well as a personal story by the Atlantic's		
""	national correspondent.		
""			
5	WHAT IF?, by Randall Munroe. (Houghton Mifflin Harcourt.) Scientific (but	6	40
""	often humorous) answers to hypothetical questions, based in part on the		
""	author’s website, xkcd.com.		
""			
6	DESTINY AND POWER, by Jon Meacham. (Random House.) A biography of	5	6
""	George H.W. Bush.		
""			
7	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The	7	28
""	story of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
8	WHY NOT ME?, by Mindy Kaling. (Crown Archetype.) More personal essays	8	13
""	from the comedian and actress.		
""			
9	SPQR, by Mary Beard. (Liveright.) A concise history of ancient Rome.	15	4
""			
10	THE WITCHES, by Stacy Schiff. (Little, Brown.) An account of the Salem witch	9	8
""	trials of 1692.		
""			
11	CRIPPLED AMERICA, by Donald J. Trump. (Threshold Editions.) The real	10	7
""	estate developer and candidate for the Republican presidential nomination		
""	shares his ideas for making America great again.		
""			
12	NOTORIOUS RBG, by Irin Carmon and Shana Knizhnik. (Dey Street.) A	12	5
""	celebration of the life and career of Supreme Court Justice Ruth Bader		
""	Ginsburg.		
""			
13	BOYS IN THE TREES, by Carly Simon. (Flatiron.) A memoir by the singer.	11	4
""			
14	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, the	14	31
""	passenger liner notoriously sunk by a German torpedo in 1915.		
""			
15	MODERN ROMANCE, by Aziz Ansari with Eric Klinenberg. (Penguin Press.)	--	17
