This	November 10, 2013	Last	Weeks
Week	Fiction	Week	On List
""			
1	SYCAMORE ROW, by John Grisham. (Doubleday.) A sequel, about race and	--	1
""	inheritance, to “A Time to Kill.”		
""			
2	THE GOLDFINCH, by Donna Tartt. (Little, Brown.)  A painting smuggled out of the	--	1
""	Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and		
""	burden.		
""			
3	DOCTOR SLEEP, by Stephen King. (Scribner.) Now grown up, Dan, the boy with	1	5
""	psycho-intuitive powers in “The Shining,” helps another threatened child with a gift.		
""			
4	WE ARE WATER, by Wally Lamb. (Harper.) About to marry the woman who is her	--	1
""	gallery owner, a divorced artist and mother must confront secrets from her past.		
""			
5	THE LONGEST RIDE, by Nicholas Sparks. (Grand Central.) The lives of two	3	6
""	couples converge unexpectedly.		
""			
6	IDENTICAL, by Scott Turow. (Grand Central.) Paul Giannis running for mayor of	4	2
""	Kindle County, is accused of having played a role in the murder of his identical		
""	twin brother's girlfriend — for which his brother, Cass, has already served time.		
""			
7	STORM FRONT, by John Sandford. (Putnam.) The Minnesota investigator Virgil	5	3
""	Flowers becomes involved in the hunt for an ancient inscribed stone smuggled out		
""	of the Middle East.		
""			
8	GONE, by James Patterson and Michael Ledwidge. (Little, Brown.) Detective	8	4
""	Michael Bennett, living with his 10 adopted children on a California farm, is		
""	pursued by the head of a Mexican drug cartel he once put in jail.		
""			
9	BRIDGET JONES: MAD ABOUT THE BOY, by Helen Fielding. (Knopf.) Bridget,	7	2
""	now 51 and a mother and widow, is once again looking for love.		
""			
10	JUST ONE EVIL ACT, by Elizabeth George. (Dutton.) In the 18th Inspector Lynley	2	2
""	novel, Lynley’s partner Barbara Havers searches for a friend’s kidnapped child in		
""	Italy.		
""			
11	THE CIRCLE, by Dave Eggers. (Knopf/McSweeney's.) A dystopian novel about	10	3
""	life on the campus of a powerful Internet company.		
""			
12	THE LOWLAND, by Jhumpa Lahiri. (Knopf.) After his radical brother is killed, an	12	5
""	Indian scientist brings his widow to join him in America.		
""			
13	THE SIGNATURE OF ALL THINGS, by Elizabeth Gilbert. (Viking.) A 19th-century	11	4
""	botanist’s love of knowledge takes her to Tahiti; by the author of “Eat, Pray, Love.”		
""			
14	SILENT NIGHT, by Robert B. Parker with Helen Brann. (Putnam.) The unfinished	--	1
""	manuscript of this Christmas story by Parker, who died in 2010, was completed by		
""	his longtime agent; it concerns a home for street kids that enlists the services of		
This	November 10, 2013	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"KILLING JESUS, by Bill O'Reilly and Martin Dugard. (Holt.) The host of ""The"	2	5
""	"O'Reilly Factor"" recounts the events leading up to Jesus’ execution."		
""			
2	DAVID AND GOLIATH, by Malcolm Gladwell. (Little, Brown.) How disadvantages	4	4
""	can work in our favor; from the author of “The Tipping Point” and “Outliers.”		
""			
3	I AM MALALA, by Malala Yousafzai with Christina Lamb. (Little, Brown.) The	3	3
""	experience of the Pakistani girl who advocated for women’s education and was		
""	shot by the Taliban.		
""			
4	THINGS THAT MATTER, by Charles Krauthammer. (Crown Forum.) Three	--	1
""	decades’ worth of essays from the conservative columnist.		
""			
5	40 CHANCES, by Howard G. Buffett and Howard W. Buffett. (Simon & Schuster.)	--	1
""	What Warren Buffett’s son and grandson have learned in their efforts to feed the		
""	hungry.		
""			
6	THE REASON I JUMP, by Naoki Higashida. (Random House.) A 13-year-old boy	5	5
""	with autism answers questions.		
""			
7	JOHNNY CARSON, by Henry Bushkin. (Eamon Dolan/Houghton Mifflin Harcourt.)	9	2
""	A recollection by Carson's lawyer and confidant for 18 years.		
""			
8	EXTORTION, by Peter Schweizer. (Houghton Mifflin Harcourt.) A Hoover	--	1
""	Institution fellow argues that politicians shape legislation in order to extract		
""	donations.		
""			
9	MY STORY, by Elizabeth Smart with Chris Stewart. (St. Martin's.) A woman	7	3
""	kidnapped from her Utah home in 2002 at age 14 describes her captivity and		
""	rescue.		
""			
10	HUMANS OF NEW YORK, by Brandon Stanton. (St. Martin's.) Four hundred color	1	2
""	photos of New Yorkers, with brief commentary by Stanton.		
""			
11	ORR, by Bobby Orr. (Putnam.) The hockey star’s memoir.	6	2
""			
12	SI-COLOGY 1, by Si Robertson with Mark Schlabach. (Howard Books.) Tales	8	8
""	from Phil’s youngest brother, who works in the Duck Commander workshop.		
""			
13	HISTORY DECODED, by Brad Meltzer with Keith Ferrell. (Workman.) Ten	--	1
""	historical mysteries, based on the History Channel show “Brad Meltzer’s		
""	Decoded.”		
""			
14	DRIVEN, by Donald Driver. (Crown Archetype.) The retired Green Bay Packers	--	1
""	receiver looks back on his life, including his impoverished childhood, and his		
""	achievements.		
