Week	Fiction	Week	On List
""			
1	HONEYMOON, by James Patterson and Howard Roughan. (Little, Brown, $27.95.) An	--	1
""	F.B.I. agent who is investigating a beautiful and mysterious woman finds himself		
""	becoming obsessed with her.		
""			
2	THE BROKER, by John Grisham. (Doubleday, $27.95.) The C.I.A. arranges a	1	6
""	presidential pardon for a power broker who may know crucial secrets, laying a trap for		
""	the foreign intelligence service that wants him dead.		
""			
3	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) The murder of a curator	2	101
""	at the Louvre leads to a trail of clues found in the work of Leonardo and to the		
""	discovery of a centuries-old secret society.		
""			
4	THE FIVE PEOPLE YOU MEET IN HEAVEN, by Mitch Albom. (Hyperion, $19.95.) An	3	74
""	old man who died while trying to rescue a little girl from danger discovers that all will		
""	be explained to him in the afterlife.		
""			
5	SURVIVOR IN DEATH, by J. D. Robb. (Putnam, $23.95.) In 2059, Lt. Eve Dallas has	4	3
""	an eyewitness to the brutal murder of a family: the sole survivor, a 9-year-old girl; by		
""	Nora Roberts, writing pseudonymously.		
""			
6	STATE OF FEAR, by Michael Crichton. (HarperCollins, $27.95.) Reverse eco-	5	11
""	terrorists create natural disasters to convince the public that global warming is real.		
""			
7	THE FORGOTTEN MAN, by Robert Crais. (Doubleday, $24.95.) The Los Angeles	--	1
""	private eye Elvis Cole searches for the truth about his father.		
""			
8	BLOOD MEMORY, by Greg Iles. (Scribner, $24.95.) A forensic scientist probes recent	--	1
""	killings as well as a decades-old crime — the murder of her father.		
""			
9	PREP, by Curtis Sittenfeld. (Random House, $21.95.) A scholarship student from	11	3
""	South Bend, Ind., encounters a world of privilege when she attends an expensive		
""	boarding school in Massachusetts.		
""			
10	CONVICTION, by Richard North Patterson. (Random House, $25.95.) A lawyer comes	6	4
""	to believe that her client — who is on death row for the sexual assault and murder of a		
""	young girl — may be innocent.		
""			
11	I AM CHARLOTTE SIMMONS, by Tom Wolfe. (Farrar, Straus & Giroux, $28.95.) A	8	15
""	very smart, very innocent freshman from the Blue Ridge Mountains is amazed by what		
""	she finds at a prestigious university.		
""			
12	CHAINFIRE, by Terry Goodkind. (Tor/Tom Doherty, $29.95.) The 10th volume of the	9	7
""	"""Sword of Truth"" fantasy series."		
""			
13	A SALTY PIECE OF LAND, by Jimmy Buffett. (Little, Brown, $27.95.) A cowboy's life	10	12
""	is changed forever when he meets a 101-year-old woman who hires him to be a		
""	lighthouse keeper in the southern Bahamas.		
""			
14	BY ORDER OF THE PRESIDENT, by W. E. B. Griffin. (Putnam, $26.95.) An Army	7	8
This	March 6, 2005	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	JUICED, by Jose Canseco. (ReganBooks/HarperCollins, $25.95.) The former	--	1
""	slugger talks about his life in baseball and, especially, his use of steroids.		
""			
2	"BLINK, by Malcolm Gladwell. (Little, Brown, $25.95.) The author of ""The Tipping"	1	6
""	"Point"" explores the importance of hunch and instinct to the workings of the mind."		
""			
3	MEN IN BLACK, by Mark R. Levin. (Regnery, $27.95.) A lawyer and conservative	4	2
""	"commentator enumerates ways in which ""the Supreme Court is destroying"		
""	"America."""		
""			
4	AMERICA (THE BOOK), by Jon Stewart, Ben Karlin and David Javerbaum.	3	22
""	"(Warner, $24.95.) ""The Daily Show"" offers a lavishly illustrated parody of a civics"		
""	textbook.		
""			
5	COLLAPSE, by Jared Diamond. (Viking, $29.95.) A historical investigation, by the	2	8
""	"author of ""Guns, Germs, and Steel,"" into why some societies succeed while others"		
""	fail.		
""			
6	GOD'S POLITICS, by Jim Wallis. (HarperSanFrancisco, $24.95.) An evangelical	5	6
""	"Christian argues that Democrats must ""take back the faith"" and not allow"		
""	conservative Republicans to hijack the Bible.		
""			
7	DISNEYWAR, by James B. Stewart. (Simon & Schuster, $29.95.) A two-decade	--	1
""	"history of corporate infighting, by the author of ""Den of Thieves"" and ""Blood Sport."""		
""			
8	SECRETS & MYSTERIES OF THE WORLD, by Sylvia Browne. (Hay House,	6	3
""	$19.95.) The self-proclaimed psychic tries to explain the inexplicable.		
""			
9	102 MINUTES, by Jim Dwyer and Kevin Flynn. (Times Books/Holt, $26.) Two	7	6
""	journalists at The New York Times describe people's struggle to survive inside the		
""	World Trade Center on Sept. 11.		
""			
10	WITNESS, by Amber Frey. (ReganBooks/HarperCollins, $25.95.) A memoir by the	8	7
""	California massage therapist who testified for the prosecution in the murder trial of		
""	Scott Peterson.		
""			
11	WINNING THE FUTURE, by Newt Gingrich. (Regnery, $27.95.) The former	12	6
""	"speaker of the House proposes a 21st-century ""Contract With America."""		
""			
12	CONFESSIONS OF AN ECONOMIC HIT MAN, by John Perkins. (Berrett-Koehler,	--	4
""	$24.95.) A former employee of an international consulting firm denounces the		
""	"American global empire and its ""corporatocracy."""		
""			
13	ANIMALS IN TRANSLATION, by Temple Grandin and Catherine Johnson.	11	6
""	(Scribner, $25.) How autism can help lead to an understanding of the brains,		
""	emotions and talents of animals.		
""			
14	THE CASE FOR DEMOCRACY, by Natan Sharansky with Ron Dermer.	--	2
