This	April 23, 2000	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE WEDDING, by Danielle Steel. (Delacorte, $26.95.) Allegra Steinberg, an	--	1
""	entertainment lawyer, makes plans to marry a New York writer in her parents' Bel		
""	Air home.		
""			
2	HARRY POTTER AND THE PRISONER OF AZKABAN, by J. K. Rowling.	3	31
""	(Levine/Scholastic, $19.95.) A British boy's life at a school for witchcraft is		
""	threatened when an infamous murderer escapes from prison.		
""			
3	HARRY POTTER AND THE CHAMBER OF SECRETS, by J. K. Rowling.	2	45
""	(Levine/Scholastic, $17.95.) A British boy finds trouble when he returns to a		
""	witchcraft school.		
""			
4	THE BRETHREN, by John Grisham. (Doubleday, $27.95.) Three former judges,	1	10
""	doing time at a federal prison in Florida, concoct a mail scam that goes awry.		
""			
5	BACK ROADS, by Tawni O'Dell. (Viking, $24.95.) The ordeals of a 19-year-old	4	2
""	man in western Pennsylvania who must care for his three younger sisters.		
""			
6	DAUGHTER OF FORTUNE, by Isabel Allende. (HarperCollins, $26.) A young	5	9
""	woman from a British colony in Chile joins the 1849 California gold rush.		
""			
7	HARRY POTTER AND THE SORCERER'S STONE, by J. K. Rowling.	7	70
""	(Levine/Scholastic, $16.95.) A British boy finds his fortune attending a school for		
""	witchcraft.		
""			
8	CAROLINA MOON, by Nora Roberts. (Putnam, $24.95.) A woman returns to the	6	5
""	town where she grew up and where her best friend was murdered.		
""			
9	HUGGER MUGGER, by Robert B. Parker. (Putnam, $23.95.) The private eye	--	1
""	Spenser is hired to protect a 2-year-old colt who may be the next Secretariat.		
""			
10	BEOWULF, translated by Seamus Heaney. (Farrar, Straus & Giroux, $25.) A new	8	5
""	rendering of the Anglo-Saxon epic by a Nobel Prize-winning Irish poet.		
""			
11	WICKED WIDOW, by Amanda Quick. (Bantam, $23.95.) In Regency England, a	--	1
""	notorious woman fears that she is being haunted by her husband's ghost.		
""			
12	GAP CREEK, by Robert Morgan. (Algonquin, $22.95.) The fortunes of a struggling	9	12
""	young couple in Appalachia during the final years of the 19th century.		
""			
13	BRIDGET JONES: The Edge of Reason, by Helen Fielding. (Viking, $24.95.)	10	6
""	Another year in the life of a single woman in London.		
""			
14	HORSE HEAVEN, by Jane Smiley. (Knopf, $26.) The world of horse racing, as	--	1
""	seen from the varied perspectives of humans and thoroughbreds alike.		
""			
15	THE LION'S GAME, by Nelson DeMille. (Warner, $26.95.) A former New York	13	14
This	April 23, 2000	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) The author	1	131
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
2	THE CASE AGAINST HILLARY CLINTON, by Peggy Noonan.	3	3
""	(ReganBooks/HarperCollins, $24.) A former Reagan speechwriter calls the first		
""	lady to account.		
""			
3	THE MILLIONAIRE MIND, by Thomas J. Stanley. (Andrews McMeel, $26.95.) An	2	9
""	analysis of the people who make up America's financial elite.		
""			
4	THE ROCK SAYS . . ., by the Rock with Joe Layden. (ReganBooks/HarperCollins,	4	14
""	$26.) A memoir by a professional wrestler.		
""			
5	A HEARTBREAKING WORK OF STAGGERING GENIUS, by Dave Eggers.	5	9
""	(Simon & Schuster, $23.) A young man's account of raising his 8-year-old brother		
""	after their parents died just weeks apart.		
""			
6	'TIS, by Frank McCourt. (Scribner, $26.) An Irish immigrant gets used to life in	6	29
""	America: the second volume of a memoir.		
""			
7	THE BODYGUARD'S STORY, by Trevor Rees-Jones with Moira Johnston.	8	4
""	(Warner, $25.95.) The bodyguard who accompanied Diana, Princess of Wales, on		
""	the night she died describes the car crash and its aftermath.		
""			
8	THE DEATH OF INNOCENCE, by John and Patsy Ramsey. (Thomas Nelson,	7	4
""	$24.99.) The parents of JonBenet Ramsey give their side of the story.		
""			
9	CYBILL DISOBEDIENCE, by Cybill Shepherd with Aimee Lee Ball. (Harper	--	1
""	Collins, $26.) A memoir by the film and television actress.		
""			
10	FAIR BALL, by Bob Costas. (Broadway, $21.95.) The sportscaster's critique of	--	1
""	major league baseball and his proposals for improving the game.		
""			
11	THE GREATEST GENERATION, by Tom Brokaw. (Random House, $24.95.) The	9	71
""	lives of men and women who came of age during the Depression and World War		
""	II.		
""			
12	THE HUNTING OF THE PRESIDENT, by Joe Conason and Gene Lyons.	--	1
""	(Dunne/St. Martin's, $25.95.) Two journalists describe a campaign to destroy Bill		
""	Clinton.		
""			
13	HAVE A NICE DAY! by Mick Foley. (ReganBooks/ HarperCollins, $25.) The	12	25
""	autobiography of a professional wrestler known as Mankind.		
""			
14	GET HAPPY, by Gerald Clarke. (Random House, $29.95.) From Grand Rapids to	--	1
""	Hollywood: the life of Judy Garland.		
