This	June 23, 2013	Last	Week
Week	Fiction	Week	On Li
""			
1	INFERNO, by Dan Brown. (Doubleday.) The symbologist Robert Langdon, on the run	1	4
""	in Florence, must decipher a series of codes created by a Dante-loving scientist.		
""			
2	AND THE MOUNTAINS ECHOED, by Khaled Hosseini. (Riverhead.) A	2	3
""	multigenerational family saga centers on a brother and sister born in Afghanistan; from		
""	the author of “The Kite Runner.”		
""			
3	REVENGE WEARS PRADA, by Lauren Weisberger. (Simon & Schuster.) Andrea	--	1
""	Sachs is now running a bridal magazine.		
""			
4	THE KILL ROOM, by Jeffery Deaver. (Grand Central.) The quadriplegic forensics	--	1
""	expert Lincoln Rhyme investigates the political assassination of a United States citizen.		
""			
5	LADIES' NIGHT, by Mary Kay Andrews. (St. Martin's.) After separating from her	--	1
""	husband, a lifestyle blogger moves in with her mother and attends divorce counseling		
""	sessions.		
""			
6	ZERO HOUR, by Clive Cussler and Graham Brown. (Putnam.) Kurt Austin, Joe Zavala	4	2
""	and the rest of the Numa team search for a physicist's machine, buried in an ocean		
""	trench, that can cause deadly earthquakes in the 11th Numa Files novel.		
""			
7	DEEPLY ODD, by Dean Koontz. (Bantam.) Odd Thomas, who can communicate with	3	2
""	the dead, must forestall a crime by discovering the people who have been targeted by		
""	a killer.		
""			
8	THE HIT, by David Baldacci. (Grand Central.) The government hitman Will Robie	5	7
""	uncovers a serious threat as he attempts to take out a fellow assassin who has gone		
""	rogue.		
""			
9	SILKEN PREY, by John Sandford. (Putnam.) Lucas Davenport is drawn into the	7	5
""	investigation of a Minnesota political scandal and the disappearance of an operative.		
""			
10	GONE GIRL, by Gillian Flynn. (Crown.) A woman disappears on her fifth anniversary;	9	53
""	is her husband a killer?		
""			
11	"A DANCE WITH DRAGONS, by George R. R. Martin. (Bantam.) Book 5 of ""A Song of"	12	75
""	"Ice and Fire."""		
""			
12	THE SON, by Philipp Meyer. (Ecco/HarperCollins.) More than 150 years in a Texas	10	2
""	family, from Comanche raids to the present, and its rise to money and power in the		
""	cattle and oil industries.		
""			
13	TRANSATLANTIC, by Colum McCann. (Random House.) The lives of real and fictional	--	1
""	characters (Frederick Douglass, George Mitchell, an Irish maid) are woven into		
""	historical events in Dublin, Newfoundland and New York.		
""			
14	12TH OF NEVER, by James Patterson and Maxine Paetro. (Little, Brown.) One week	8	6
This	June 23, 2013	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	HAPPY, HAPPY, HAPPY, by Phil Robertson with Mark Schlabach. (Howard	2	5
""	Books.) The Duck Commander pays tribute to “faith, family and ducks.”		
""			
2	LEAN IN, by Sheryl Sandberg with Nell Scovell. (Knopf.) The chief operating	1	13
""	officer of Facebook urges women to pursue their careers without ambivalence.		
""			
3	AMERICAN GUN, by Chris Kyle with William Doyle. (Morrow/HarperCollins.) Kyle,	--	1
""	a former member of the Navy SEALs who was shot to death in Texas in February,		
""	tells how 10 firearms changed United States history.		
""			
4	THE GUNS AT LAST LIGHT, by Rick Atkinson. (Holt.) The final volume of the	5	4
""	Liberation Trilogy describes the Allied victory in Europe, from D-Day to the		
""	German surrender.		
""			
5	ELEVEN RINGS, by Phil Jackson and Hugh Delehanty. (Penguin Press.) An	3	3
""	autobiography by the successful coach, who led his teams to 11 N.B.A.		
""	championships.		
""			
6	LET'S EXPLORE DIABETES WITH OWLS, by David Sedaris. (Little, Brown.)	4	7
""	Essays from the humorist on subjects like French dentistry and a North Carolina		
""	Costco.		
""			
7	DAD IS FAT, by Jim Gaffigan. (Crown Archetype.) Life with five kids in a two-	9	5
""	bedroom New York City apartment.		
""			
8	KEEP IT PITHY, by Bill O'Reilly. (Crown Archetype.) A “highlight reel” of previous	7	5
""	writings, updated, from the host of “The O’Reilly Factor.”		
""			
9	THE DUCK COMMANDER FAMILY, by Willie and Korie Robertson with Mark	12	10
""	Schlabach. (Howard Books.) Behind the scenes at the A&E show “Duck Dynasty.”		
""			
10	REVOLUTIONARY SUMMER, by Joseph J. Ellis. (Knopf.) This account of the	--	1
""	fateful summer of 1776 weaves the political (Continental Congress) and the		
""	military (Continental Army).		
""			
11	THE UNWINDING, by George Packer. (Farrar, Straus & Giroux.) The collapse of	8	3
""	American institutions, politics and culture and their replacement by organized		
""	money, told through the stories of ordinary people and significant figures.		
""			
12	THE BOYS IN THE BOAT, by Daniel James Brown. (Viking.) The University of	--	1
""	Washington’s eight-oar crew and their quest for gold at the 1936 Berlin Olympics.		
""			
13	UNBROKEN, by Laura Hillenbrand. (Random House.) An Olympic runner’s story	13	132
""	of survival as a prisoner of the Japanese in World War II.		
""			
14	THE TAO OF MARTHA, by Jen Lancaster. (New American Library.) A Martha	--	1
""	Stewart-inspired self-improvement quest.		
