This	June 29, 2014	Last	Week
Week	Fiction	Week	On Li
""			
1	WRITTEN IN MY OWN HEART'S BLOOD, by Diana Gabaldon. (Delacorte.) In the	--	1
""	eighth Outlander time-traveling romance, Jamie Fraser and his family face challenges		
""	in the 18th and 21st centuries.		
""			
2	MR. MERCEDES, by Stephen King. (Scribner.) A driver plows into a crowd, killing	1	2
""	eight. The killer then taunts a suicidal ex-cop, who must stop another, deadlier attack.		
""			
3	THE GOLDFINCH, by Donna Tartt. (Little, Brown.)  A painting smuggled out of the	4	34
""	Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.		
""			
4	THE TARGET, by David Baldacci. (Grand Central.) The government hit man Will	13	8
""	Robie faces a new adversary.		
""			
5	THE MATCHMAKER, by Elin Hilderbrand. (Little, Brown.) A Nantucket resident’s life	--	1
""	is shaken by a diagnosis and the return to the island of her high school sweetheart.		
""			
6	THE ONE AND ONLY, by Emily Giffin. (Ballantine.) A woman who has grown up and	7	4
""	made her life in a small, football-obsessed Texas town begins to expand her		
""	horizons.		
""			
7	UNLUCKY 13, by James Patterson and Maxine Paetro. (Little, Brown.) Detective	11	6
""	Lindsay Boxer and the Women’s Murder Club track a killer who was presumed dead.		
""			
8	SKIN GAME, by Jim Butcher. (Roc.) The Chicago wizard Harry Dresden is forced to	2	3
""	help an enemy break into a high-security vault; the 15th Dresden Files novel.		
""			
9	THE HURRICANE SISTERS, by Dorothea Benton Frank. (Morrow/HarperCollins.)	3	2
""	Three generations of women endure a stormy summer in South Carolina's		
""	Lowcountry.		
""			
10	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	14	6
""	blind French girl and a gadget-obsessed German boy before and during World War II.		
""			
11	GHOST SHIP, by Clive Cussler and Graham Brown. (Putnam.) Kurt Austin, Joe	12	3
""	Zavala and the rest of the NUMA crew investigate a sinister organization.		
""			
12	THE SMOKE AT DAWN, by Jeff Shaara. (Ballantine.) The third book in a series	8	2
""	about the Civil War is set in Chattanooga in 1863 as forces prepare for a		
""	confrontation.		
""			
13	MIDNIGHT IN EUROPE, by Alan Furst. (Random House.) A Spanish lawyer working	6	2
""	in Paris on the eve of World War II joins a mission to help the Republican troops.		
""			
14	CHINA DOLLS, by Lisa See. (Random House.) Three Asian-American women meet	10	2
""	in San Francisco in 1938 at the Forbidden City nightclub.		
""			
15	THE VACATIONERS, by Emma Straub. (Riverhead.) An Upper West Side couple,	--	1
This	June 29, 2014	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	HARD CHOICES, by Hillary Rodham Clinton. (Simon & Schuster.) Clinton’s	--	1
""	memoir focuses on her years as secretary of state and her views about the		
""	American role in the world.		
""			
2	ONE NATION, by Ben Carson with Candy Carson. (Sentinel.) Carson, a retired	1	4
""	pediatric neurosurgeon, now a Fox News contributor, offers solutions to problems		
""	in health and education based on capitalism, not government.		
""			
3	THE CLOSER, by Mariano Rivera with Wayne Coffey. (Little, Brown.) A memoir	3	6
""	by the great Yankees pitcher.		
""			
4	CAPITAL IN THE TWENTY-FIRST CENTURY, by Thomas Piketty.	2	10
""	(Belknap/Harvard University.) A French economist’s analysis of centuries of		
""	economic history predicts worsening inequality and proposes solutions.		
""			
5	UNBROKEN, by Laura Hillenbrand. (Random House.) An Olympic runner’s story	5	173
""	of survival as a prisoner of the Japanese in World War II.		
""			
6	THINK LIKE A FREAK, by Steven D. Levitt and Stephen J. Dubner.	4	5
""	(Morrow/HarperCollins.) How to solve problems creatively, from the authors of		
""	“Freakonomics.”		
""			
7	FLASH BOYS, by Michael Lewis. (Norton.) The world of high-frequency computer-	6	11
""	driven trading.		
""			
8	CARSICK, by John Waters. (Farrar, Straus & Giroux.) The cult-film director	12	2
""	hitchhikes across the country.		
""			
9	"KILLING JESUS, by Bill O'Reilly and Martin Dugard. (Holt.) The host of ""The"	--	34
""	"O'Reilly Factor"" recounts the events leading up to Jesus’ execution."		
""			
10	JOHN WAYNE: THE LIFE AND LEGEND, by Scott Eyman. (Simon & Schuster.) A	--	5
""	biography of the movie star surveys his life, his death and his legend.		
""			
11	GOOD TALK, DAD, by Bill Geist and Willie Geist. (Grand Central.) An extended,	--	1
""	wide-ranging father-son conversation.		
""			
12	THINGS THAT MATTER, by Charles Krauthammer. (Crown Forum.) Three	--	25
""	decades’ worth of essays from the conservative columnist.		
""			
13	A FIGHTING CHANCE, by Elizabeth Warren. (Metropolitan/Holt.) The	14	8
""	Massachusetts senator on her life, her academic work and her battle for a		
""	consumer protection agency.		
""			
14	STRESS TEST, by Timothy F. Geithner. (Crown.) The former secretary of the	11	5
""	Treasury explains the choices he and others made during the financial crisis.		
