This	April 5, 2009	Last	Weeks
Week	Fiction	Week	On List
""			
1	HANDLE WITH CARE, by Jodi Picoult. (Atria, $27.95.) A woman whose daughter	1	3
""	has a dangerous birth defect must decide whether to sue her obstetrician, an old		
""	friend.		
""			
2	CORSAIR, by Clive Cussler and Jack Du Brul. (Putnam, $27.95.) Juan Cabrillo	2	2
""	and the crew of the Oregon search for a missing secretary of state whose plane		
""	has been shot down.		
""			
3	THE ASSOCIATE, by John Grisham. (Doubleday, $27.95.) An idealistic law-	3	8
""	school graduate is forced to take a job at a large, brutalizing law firm.		
""			
4	THE HOST, by Stephenie Meyer. (Little, Brown, $25.99.) One woman won’t	4	45
""	surrender to the aliens who have taken control.		
""			
5	RUN FOR YOUR LIFE, by James Patterson and Michael Ledwidge. (Little, Brown,	5	7
""	$27.99.) A New York detective raising 10 children alone must stop a killer.		
""			
6	PROMISES IN DEATH, by J. D. Robb. (Putnam, $26.95.) Lt. Eve Dallas	6	4
""	investigates a colleague’s murder; by Nora Roberts, writing pseudonymously.		
""			
7	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY, by Mary Ann	11	27
""	Shaffer and Annie Barrows. (Dial, $22.) A journalist travels to the island of		
""	Guernsey to meet residents who resisted the Nazi occupation.		
""			
8	HEART AND SOUL, by Maeve Binchy. (Knopf, $26.95.) A doctor establishes a	8	5
""	heart clinic in a Dublin neighborhood.		
""			
9	ONE DAY AT A TIME, by Danielle Steel. (Delacorte, $27.) A Hollywood mother	9	4
""	and her two daughters all find love.		
""			
10	DEAD SILENCE, by Randy Wayne White. (Putnam, $25.95.) Doc Ford searches	7	2
""	for a kidnapped boy.		
""			
11	NIGHT AND DAY, by Robert B. Parker. (Putnam, $25.95.) Jesse Stone, the police	10	4
""	chief of Paradise, Mass., must catch a voyeur who forces women to strip at		
""	gunpoint.		
""			
12	WHITE WITCH, BLACK CURSE, by Kim Harrison. (Eos/William Morrow, $25.99.)	12	4
""	A witch who is also a bounty hunter avenges her lover’s murder; Book 7 of the		
""	Hollows series.		
""			
13	TERMINAL FREEZE, by Lincoln Child. (Doubleday, $24.95.) Scientists discover	14	4
""	an ancient creature frozen in an Arctic cave and thaw it despite the villagers’		
""	warnings.		
""			
14	THE HELP, by Kathryn Stockett. (Putnam, $24.95.) A young white woman and two	16	2
""	black maids in 1960s Mississippi.		
This	April 5, 2009	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	OUTLIERS, by Malcolm Gladwell. (Little, Brown, $27.99.) Why some people	1	18
""	succeed, from the author of “Blink.”		
""			
2	A LION CALLED CHRISTIAN, by Anthony Bourke and John Rendall. (Broadway,	7	2
""	$21.95.) Two men buy a pet lion cub in London, bring him to Africa when he is		
""	grown, and later have a heartwarming reunion; an update of a 1971 book.		
""			
3	HOUSE OF CARDS, by William D. Cohan. (Doubleday, $27.95.) The fall of Bear	2	2
""	Stearns and the beginning of the Wall Street collapse.		
""			
4	THE YANKEE YEARS, by Joe Torre and Tom Verducci. (Doubleday, $26.95.) The	3	7
""	former Yankee manager (1996-2007) on his years with the team.		
""			
5	THE LOST CITY OF Z, by David Grann. (Doubleday, $27.50.) A New Yorker	6	4
""	writer searches for a British explorer who disappeared 80 years ago in the		
""	Amazon.		
""			
6	MY BOOKY WOOK, by Russell Brand. (Collins, $25.99.) A memoir of sex, drugs	9	2
""	and stand-up from a British comedian.		
""			
7	INSIDE THE REVOLUTION, by Joel C. Rosenberg. (Tyndale, $24.99.) The power	11	2
""	of three groups in the Middle East: Islamic radicals, moderate reformers and		
""	Muslims who are becoming Christians.		
""			
8	DEWEY, by Vicki Myron with Bret Witter. (Grand Central, $19.99.) The kitten left	5	27
""	freezing in the returned-book slot of an Iowa public library and his rise to fame.		
""			
9	A BOLD FRESH PIECE OF HUMANITY, by Bill O’Reilly. (Broadway, $26.) The	8	23
""	Fox News commentator on his upbringing and career.		
""			
10	THE UNFORGIVING MINUTE, by Craig M. Mullaney. (Penguin Press, $28.95.) A	10	2
""	soldier’s coming-of-age.		
""			
11	OUT OF CAPTIVITY, by Marc Gonsalves, Keith Stansell, Tom Howes and Gary	4	4
""	Brozek. (William Morrow, $26.99.) Three contractors escape from Colombian		
""	guerrillas.		
""			
12	ARE YOU THERE, VODKA? IT’S ME, CHELSEA, by Chelsea Handler. (Simon	13	33
""	Spotlight Entertainment, $24.95.) Humorous personal essays from the stand-up		
""	comedian.		
""			
13	NO ANGEL, by Jay Dobyns and Nils Johnson-Shelton. (Crown, $25.95.) An A.T.F.	--	3
""	agent goes undercover with the Hells Angels.		
""			
14	THE NEXT 100 YEARS, by George Friedman. (Doubleday, $25.95.) A forecast of	--	6
""	future wars and changes in nations’ economic and political power.		
