This	September 7, 2008	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE FORCE UNLEASHED, by Sean Williams. (Del Rey, $26.) An apprentice to	--	1
""	Darth Vader is dispatched to kill the last of his master’s enemies; a “Star Wars”		
""	novel.		
""			
2	SMOKE SCREEN, by Sandra Brown. (Simon & Schuster, $26.95.) Scandalous	1	2
""	deaths thwart the investigation of a fatal fire at police headquarters in Charleston,		
""	S.C.		
""			
3	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY, by Mary Ann	4	4
""	Shaffer and Annie Barrows. (Dial, $22.) After World War II, a journalist travels to		
""	the island of Guernsey to meet residents who resisted the Nazi occupation.		
""			
4	THE BOURNE SANCTION, by Eric Van Lustbader. (Grand Central, $25.99.)	2	4
""	Robert Ludlum’s character Jason Bourne pursues the leader of a Muslim terrorist		
""	group.		
""			
5	THE HOST, by Stephenie Meyer. (Little, Brown, $25.99.) Aliens have taken	6	16
""	control of the minds and bodies of most humans, but one woman won’t surrender.		
""			
6	ACHERON, by Sherrilyn Kenyon. (St. Martin’s, $24.95.) Book 12 of the Dark-	3	3
""	Hunter paranormal series.		
""			
7	MOSCOW RULES, by Daniel Silva. (Putnam, $26.95.) Gabriel Allon, an art	5	5
""	restorer and an occasional spy for the Israeli secret service, uncovers a Russian		
""	arms sales plot.		
""			
8	THE STORY OF EDGAR SAWTELLE, by David Wroblewski. (Ecco, $25.95.) A	7	11
""	mute takes refuge with three dogs in the Wisconsin woods after his father’s		
""	murder.		
""			
9	OFF SEASON, by Anne Rivers Siddons. (Grand Central, $24.95.) A widow returns	9	2
""	to her hometown in Maine to regather the strands of her life.		
""			
10	THE LACE READER, by Brunonia Barry. (Morrow, $24.95.) Secrets of a family of	10	4
""	Salem women who foresee the future.		
""			
11	THE MERCEDES COFFIN, by Faye Kellerman. (Morrow, $25.95.) Decker and	8	2
""	Lazarus investigate cases of murder victims found in Mercedes-Benz trunks.		
""			
12	BEING ELIZABETH, by Barbara Taylor Bradford. (St. Martin’s, $27.95.) A 25-year-	--	1
""	old newly in control of her family’s corporate empire faces tough choices in		
""	business and in love.		
""			
13	THE GARGOYLE, by Andrew Davidson. (Doubleday, $25.95.) A hideously burned	16	3
""	man is cared for by a sculptress who claims they were lovers seven centuries ago.		
""			
14	FOREIGN BODY, by Robin Cook. (Putnam, $25.95.) A medical student	13	3
This	September 7, 2008	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE OBAMA NATION, by Jerome R. Corsi. (Threshold, $28.) The Democratic	1	4
""	candidate as an extreme leftist, from a co-author of “Unfit for Command: Swift		
""	Boat Veterans Speak Out Against John Kerry.”		
""			
2	STORI TELLING, by Tori Spelling with Hilary Liftin. (Simon Spotlight	2	13
""	Entertainment, $24.95.) A memoir.		
""			
3	ARE YOU THERE, VODKA? IT’S ME, CHELSEA, by Chelsea Handler. (Simon	4	18
""	Spotlight Entertainment, $24.95.) Humorous personal essays from the stand-up		
""	comedian.		
""			
4	THE LIMITS OF POWER, by Andrew Bacevich. (Metropolitan/Holt, $24.) A retired	9	2
""	Army colonel argues that American citizens are ultimately responsible for the		
""	country’s military and economic woes.		
""			
5	WHEN YOU ARE ENGULFED IN FLAMES, by David Sedaris. (Little, Brown,	5	12
""	$25.99.) The humorist’s latest essays.		
""			
6	THE CASE AGAINST BARACK OBAMA, by David Freddoso. (Regnery, $27.95.)	6	3
""	The Democratic candidate as a calculating extreme leftist.		
""			
7	THE WAY OF THE WORLD, by Ron Suskind. (Harper, 27.95.) How the Bush	3	3
""	administration ignored evidence about Iraq in its rush to war.		
""			
8	THE POST-AMERICAN WORLD, by Fareed Zakaria. (Norton, $25.95.) The rise of	13	17
""	China and India.		
""			
9	FLEECED, by Dick Morris and Eileen McGann. (Harper, $26.95.) Americans are	7	9
""	fleeced by government, business, labor unions and lobbyists.		
""			
10	TRAFFIC, by Tom Vanderbilt. (Knopf, $24.95.) Why we drive the way we do.	10	3
""			
11	THE NIGHT OF THE GUN, by David Carr. (Simon & Schuster, $26.) A New York	12	2
""	Times media columnist and culture reporter recounts his former life as a crack		
""	addict, cokehead and alcoholic, and how he got back on track.		
""			
12	THE DARK SIDE, by Jane Mayer. (Doubleday, $27.50.) How the Bush	8	6
""	administration embraced the practice of torture.		
""			
13	THE WRECKING CREW, by Thomas Frank. (Metropolitan/Holt, $25.) The	11	3
""	deliberate mismanagement of Republican rule.		
""			
14	HAVANA NOCTURNE, by T. J. English. (Morrow, $27.95.) When American	14	5
""	gangsters controlled Cuba’s casinos.		
""			
15	WAITER RANT, by the Waiter. (Ecco, $24.95.) An anonymous New York waiter	16	4
""	on customers’ outrageous behavior.		
