This	July 7, 2013	Last	Week
Week	Fiction	Week	On Li
""			
1	THE OCEAN AT THE END OF THE LANE, by Neil Gaiman. (Morrow/HarperCollins.) A	--	1
""	middle-aged man recalls his lonely boyhood and his friendship with a remarkable girl.		
""			
2	INFERNO, by Dan Brown. (Doubleday.) The symbologist Robert Langdon, on the run	1	6
""	in Florence, must decipher a series of codes created by a Dante-loving scientist.		
""			
3	AND THE MOUNTAINS ECHOED, by Khaled Hosseini. (Riverhead.) A	2	5
""	multigenerational family saga centers on a brother and sister born in Afghanistan; from		
""	the author of “The Kite Runner.”		
""			
4	BAD MONKEY, by Carl Hiaasen. (Knopf.) A defrocked Miami cop turned restaurant	3	2
""	inspector investigates a grisly murder.		
""			
5	THE HEIST, by Janet Evanovich and Lee Goldberg. (Bantam.) In the first book of a	--	1
""	new series, Kate O’Hare, an F.B.I. special agent, teams up with Nicolas Fox, a		
""	handsome con man, to catch a corrupt investment banker in hiding.		
""			
6	THE SILVER STAR, by Jeannette Walls. (Scribner.) When their irresponsible mother	4	2
""	takes off, a 12-year-old California girl and her sister join the rest of their family in		
""	Virginia.		
""			
7	THE 9TH GIRL, by Tami Hoag. (Dutton.) Two Minneapolis detectives try to discover	--	1
""	the identity of the city’s ninth unidentified female murder victim of the year.		
""			
8	THE LAST ORIGINAL WIFE, by Dorothea Benton Frank. (Morrow/HarperCollins.) An	7	2
""	Atlanta woman returns to her hometown, Charleston, to reassess her life.		
""			
9	REVENGE WEARS PRADA, by Lauren Weisberger. (Simon & Schuster.) Andrea	8	3
""	Sachs is now running a bridal magazine.		
""			
10	THE EYE OF MOLOCH, by Glenn Beck with Jack Henderson. (Threshold	5	2
""	Editions/Mercury Radio Arts.) Continuing the fight to save America begun in “The		
""	Overton Window.”		
""			
11	GONE GIRL, by Gillian Flynn. (Crown.) A woman disappears on her fifth anniversary;	12	55
""	is her husband a killer?		
""			
12	THE KING'S DECEPTION, by Steve Berry. (Ballantine.) The ex-government operative	6	2
""	Cotton Malone stumbles upon a C.I.A. operation attempting to call into question the		
""	legitimacy of Elizabeth I’s reign and her conquest of Ireland.		
""			
13	THE SON, by Philipp Meyer. (Ecco/HarperCollins.) More than 150 years in a Texas	13	4
""	family, from Comanche raids to the present, and its rise to money and power in the		
""	cattle and oil industries.		
""			
14	THE HIT, by David Baldacci. (Grand Central.) The government hitman Will Robie	9	9
""	uncovers a serious threat as he attempts to take out a fellow assassin who has gone		
This	July 7, 2013	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	HAPPY, HAPPY, HAPPY, by Phil Robertson with Mark Schlabach. (Howard Books.)	1	7
""	The Duck Commander pays tribute to “faith, family and ducks.”		
""			
2	LEAN IN, by Sheryl Sandberg with Nell Scovell. (Knopf.) The chief operating officer	3	15
""	of Facebook urges women to pursue their careers without ambivalence.		
""			
3	DAD IS FAT, by Jim Gaffigan. (Crown Archetype.) Life with five kids in a two-	4	7
""	bedroom New York City apartment.		
""			
4	ELEVEN RINGS, by Phil Jackson and Hugh Delehanty. (Penguin Press.) An	6	5
""	autobiography by the successful coach, who led his teams to 11 N.B.A.		
""	championships.		
""			
5	LET'S EXPLORE DIABETES WITH OWLS, by David Sedaris. (Little, Brown.) Essays	8	9
""	from the humorist on subjects like French dentistry and a North Carolina Costco.		
""			
6	AMERICAN GUN, by Chris Kyle with William Doyle. (Morrow/HarperCollins.) Kyle, a	2	3
""	former member of the Navy SEALs who was shot to death in Texas in February, tells		
""	how 10 firearms changed United States history.		
""			
7	DARWIN'S DOUBT, by Stephen C. Meyer. (HarperOne.) The theory of intelligent	--	1
""	design best explains the appearance of animals in the fossil record without apparent		
""	ancestors.		
""			
8	KILLING KENNEDY, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	13	31
""	O’Reilly Factor” recounts the events surrounding the assassination of John F.		
""	Kennedy.		
""			
9	THE UNWINDING, by George Packer. (Farrar, Straus & Giroux.) The collapse of	11	5
""	American institutions, politics and culture and their replacement by organized money.		
""			
10	THE GUNS AT LAST LIGHT, by Rick Atkinson. (Holt.) The final volume of the	7	6
""	Liberation Trilogy describes the Allied victory in Europe, from D-Day to the German		
""	surrender.		
""			
11	UNBROKEN, by Laura Hillenbrand. (Random House.) An Olympic runner’s story of	12	134
""	survival as a prisoner of the Japanese in World War II.		
""			
12	THE DUCK COMMANDER FAMILY, by Willie and Korie Robertson with Mark	10	12
""	Schlabach. (Howard Books.) Behind the scenes at the A&E show “Duck Dynasty.”		
""			
13	KEEP IT PITHY, by Bill O'Reilly. (Crown Archetype.) A “highlight reel” of previous	5	7
""	writings, updated, from the host of “The O’Reilly Factor.”		
""			
14	THE BOYS IN THE BOAT, by Daniel James Brown. (Viking.) The University of	15	3
""	Washington’s eight-oar crew and their quest for gold at the 1936 Berlin Olympics.		
