This	September 6, 2015	Last	Weeks
Week	Fiction	Week	On List
""			
1	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up	1	6
""	Jean Louise Finch returns home to find that her adored father is not as perfect as		
""	she believed.		
""			
2	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological	2	32
""	thriller set in the environs of London.		
""			
3	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	3	68
""	blind French girl and a gadget-obsessed German boy before and during World		
""	War II; the winner of the 2015 Pulitzer Prize.		
""			
4	FRICTION, by Sandra Brown. (Grand Central.) A Texas Ranger fights for custody	--	1
""	of his daughter amid complications stemming from his attraction to the judge.		
""			
5	ALERT, by James Patterson and Michael Ledwidge. (Little, Brown.) Detective	4	3
""	Michael Bennett and the F.B.I.'s Emily Parker must save New York City from a		
""	deadly threat.		
""			
6	"CIRCLING THE SUN, by Paula Mclain. (Ballantine.) A novel by the author of ""The"	6	4
""	"Paris Wife"" about Beryl Markham, a horse trainer and aviatrix who was raised in"		
""	Kenya.		
""			
7	THE MURDERER'S DAUGHTER, by Jonathan Kellerman. (Ballantine.) A Los	--	1
""	Angeles psychotherapist is surprised when a brief hookup shows up as a patient		
""	— and even more surprised when he is murdered.		
""			
8	WHO DO YOU LOVE, by Jennifer Weiner. (Atria.) Andy and Rachel meet as	7	2
""	children, then come together and separate repeatedly over the years.		
""			
9	SILVER LININGS, by Debbie Macomber. (Ballantine.) Jo Marie, keeper of the	5	2
""	Rose Harbor Inn, and two guests deal with trouble in relationships.		
""			
10	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	8	29
""	France: one struggling to survive in the countryside, the other joining the		
""	Resistance in Paris.		
""			
11	LUCKIEST GIRL ALIVE, by Jessica Knoll. (Simon & Schuster.) The life of a	9	15
""	successful New York magazine writer is shaken when secrets from her past are		
""	revealed.		
""			
12	THE LITTLE PARIS BOOKSHOP, by Nina George. (Crown.) A bookseller who	16	7
""	finds books and partners for others embarks on a journey in pursuit of his own		
""	happiness.		
""			
13	LAST BUS TO WISDOM, by Ivan Doig. (Riverhead.) A boy and his uncle set out	--	1
""	on a 1950s road trip through the West in Doig’s final novel before his death last		
""	April.		
This	September 6, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	PLUNDER AND DECEIT, by Mark R. Levin. (Threshold Editions.) The talk-radio	1	3
""	host urges young Americans to resist the statist masterminds who, he says, are		
""	burdening them with debt and inferior education.		
""			
2	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	2	6
""	meditation on race in America as well as a personal story by the national		
""	correspondent of The Atlantic, framed as a letter to his teenage son.		
""			
3	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	4	16
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
4	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	6	46
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
5	YOU'RE NEVER WEIRD ON THE INTERNET (ALMOST), by Felicia Day.	3	2
""	(Touchstone.) A memoir of rising to stardom in the web video world.		
""			
6	MODERN ROMANCE, by Aziz Ansari with Eric Klinenberg. (Penguin Press.) The	5	10
""	comedian enlists a sociologist to help him understand today’s dating scene.		
""			
7	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, the	7	24
""	passenger liner sunk by a German torpedo in 1915.		
""			
8	A FULL LIFE, by Jimmy Carter. (Simon & Schuster.) At 90, the 39th president	12	6
""	(and Nobel Prize winner) reflects on his private and public life.		
""			
9	MY FIGHT/YOUR FIGHT, by Ronda Rousey with Maria Burns Ortiz. (Regan Arts.)	9	3
""	The U.F.C. women's bantamweight champion's struggles to succeed.		
""			
10	THE ROAD TO CHARACTER, by David Brooks. (Random House.) The Times	11	19
""	columnist extols personal virtues like kindness and honesty in a materialistic age.		
""			
11	DOWN THE RABBIT HOLE, by Holly Madison. (Dey Street/Morrow.) Life inside	10	9
""	the Playboy Mansion, by a former bunny and girlfriend of Hugh Hefner.		
""			
12	ELON MUSK, by Ashlee Vance. (Ecco/HarperCollins.) Musk’s life from his difficult	14	12
""	South African childhood to his involvement in Internet start-ups like SpaceX.		
""			
13	BARBARIAN DAYS, by William Finnegan. (Penguin Press.) A surfing chronicle	8	5
""	and memoir by a New Yorker writer.		
""			
14	THE OREGON TRAIL, by Rinker Buck. (Simon & Schuster.) The author and his	15	8
""	brother travel 2,000 miles by mule and wagon from Missouri to Oregon.		
""			
15	SICK IN THE HEAD, by Judd Apatow. (Random House.) Thirty years’ worth of the	--	9
""	filmmaker’s interviews with comedians.		
