This	July 6, 2008	Last	Weeks
Week	Fiction	Week	On List
""			
1	FEARLESS FOURTEEN, by Janet Evanovich. (St. Martin’s, $27.95.) Stephanie	--	1
""	Plum and her boyfriend Joe Morelli become involved when his cousin’s bank		
""	robbery goes bad.		
""			
2	SAIL, by James Patterson and Howard Roughan. (Little, Brown, $27.99.) A sailing	1	2
""	vacation turns into a disaster when someone attempts to destroy a family.		
""			
3	THE HOST, by Stephenie Meyer. (Little, Brown, $25.99.) Aliens have taken control	3	7
""	of the minds and bodies of most humans, but one woman won’t surrender.		
""			
4	CHASING HARRY WINSTON, by Lauren Weisberger. (Simon & Schuster, $25.95.)	6	4
""	Three glamorous friends, New York women nearing 30, vow to change their lives.		
""			
5	LOVE THE ONE YOU’RE WITH, by Emily Giffin. (St. Martin’s, $24.95.) A woman’s	5	6
""	happy marriage is shaken.		
""			
6	NOTHING TO LOSE, by Lee Child. (Delacorte, $27.) Jack Reacher exposes the	2	3
""	secrets of a Colorado town.		
""			
7	PLAGUE SHIP, by Clive Cussler with Jack Du Brul. (Putnam, $26.95.) Juan	4	3
""	Cabrillo and the crew of the Oregon must determine what happened on a cruise		
""	ship full of dead bodies.		
""			
8	THE BROKEN WINDOW, by Jeffery Deaver. (Simon & Schuster, $26.95.)	7	2
""	Detectives Lincoln Rhyme and Amelia Sachs confront a criminal who frames		
""	innocent people.		
""			
9	THE STORY OF EDGAR SAWTELLE, by David Wroblewski. (Ecco, $25.95.) A	14	2
""	mute takes refuge with three dogs in the Wisconsin woods after his uncle murders		
""	his father.		
""			
10	NO CHOICE BUT SEDUCTION, by Johanna Lindsey. (Pocket Books, $25.) Sir	--	1
""	Anthony Malory’s daughter is kidnapped, with repercussions for Katey and Boyd		
""	Anderson.		
""			
11	THE BEACH HOUSE, by Jane Green. (Viking, $24.95.) A woman’s life changes	--	1
""	when she rents out rooms in her Nantucket house.		
""			
12	ODD HOURS, by Dean R. Koontz. (Bantam, $27.) Odd Thomas, who can	8	5
""	communicate with the dead, confronts evil forces in a California coastal town.		
""			
13	MARRIED LOVERS, by Jackie Collins. (St. Martin’s, $26.95.) An affair between a	9	2
""	beautiful personal trainer and a producer married to Hollywood royalty leads to		
""	murder.		
""			
14	SUNDAYS AT TIFFANY’S, by James Patterson and Gabrielle Charbonnet. (Little,	10	8
""	Brown, $24.99.) A woman finds an unexpected love.		
This	July 6, 2008	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WHEN YOU ARE ENGULFED IN FLAMES, by David Sedaris. (Little, Brown,	1	3
""	$25.99.) The humorist’s latest essays.		
""			
2	WHAT HAPPENED, by Scott McClellan. (PublicAffairs, $27.95.) A former White	2	4
""	House press secretary regrets that “I allowed myself to be deceived” by top		
""	officials.		
""			
3	THE MONSTER OF FLORENCE, by Douglas Preston with Mario Spezi. (Grand	4	2
""	Central, $25.99.) An American writer in Florence and an Italian journalist work to		
""	discover the identity of a local serial killer.		
""			
4	ARE YOU THERE, VODKA? IT’S ME, CHELSEA, by Chelsea Handler. (Simon	7	9
""	Spotlight Entertainment, $24.95.) Humorous personal essays from the stand-up		
""	comedian.		
""			
5	BIG RUSS AND ME, by Tim Russert. (Miramax, $22.95.) The host of “Meet the	--	13
""	Press” remembers his father.		
""			
6	AUDITION, by Barbara Walters. (Knopf, $29.95.) A personal and professional	8	7
""	memoir.		
""			
7	THE POST-AMERICAN WORLD, by Fareed Zakaria. (Norton, $25.95.) The rise of	5	8
""	China and India and the global distribution of power.		
""			
8	WISDOM OF OUR FATHERS, by Tim Russert. (Random House, $22.95.)	--	10
""	Readers’ letters about their fathers in response to “Big Russ and Me.”		
""			
9	ME OF LITTLE FAITH, by Lewis Black. (Riverhead, $24.95.) The stand-up	9	3
""	comedian’s essays about religion.		
""			
10	THE DOWNHILL LIE, by Carl Hiaasen. (Knopf, $22.) The Florida novelist takes up	6	7
""	golf again after 32 years.		
""			
11	ALWAYS BY MY SIDE, by Jim Nantz with Eli Spielman. (Gotham, $26.)	3	5
""	Remembering two decades with CBS Sports, with a focus on father-son		
""	relationships.		
""			
12	THE PROSECUTION OF GEORGE W. BUSH FOR MURDER, by Vincent	--	2
""	Bugliosi. (Vanguard, $26.95.) The Manson prosecutor makes a case for trying the		
""	president for the deaths of 4,000 American soldiers in Iraq.		
""			
13	THE REVOLUTION, by Ron Paul. (Grand Central, $21.) A libertarian manifesto	13	9
""	from the Texas congressman.		
""			
14	CHURCHILL, HITLER, AND “THE UNNECESSARY WAR,” by Patrick J.	10	4
""	Buchanan. (Crown, $29.95.) British blunders led to World War II, Buchanan		
""	argues.		
