This	December 21, 2014	Last	Weeks
Week	Fiction	Week	On List
""			
1	HOPE TO DIE, by James Patterson. (Little, Brown.) Detective Alex Cross’s family	1	2
""	is kidnapped by a madman who wants to turn Cross into a perfect killer.		
""			
2	GRAY MOUNTAIN, by John Grisham. (Doubleday.) A downsized Wall Street	3	7
""	lawyer joins a legal clinic in a small Virginia town.		
""			
3	THE ESCAPE, by David Baldacci. (Grand Central.) John Puller, a special agent	2	3
""	with the Army, hunts for his brother, who was convicted of treason and has		
""	escaped from prison.		
""			
4	REVIVAL, by Stephen King. (Scribner.) The continuing relationship, over five	4	4
""	decades, between a disgraced clergyman and a drug-addicted musician.		
""			
5	TOM CLANCY: FULL FORCE AND EFFECT, by Mark Greaney. (Putnam.) A	--	1
""	discovery of mineral deposits has changed North Korea’s fortunes and made the		
""	country even more of a threat for President Jack Ryan.		
""			
6	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	6	31
""	blind French girl and a gadget-obsessed German boy before and during World		
""	War II.		
""			
7	THE BURNING ROOM, by Michael Connelly. (Little, Brown.) The Los Angeles	5	5
""	detective Harry Bosch and his new partner investigate two long-unsolved cases.		
""			
8	LEAVING TIME, by Jodi Picoult. (Ballantine.) After searching for her mother, who	8	8
""	has disappeared, for more than 10 years, a woman employs a psychic and a		
""	detective.		
""			
9	FLESH AND BLOOD, by Patricia Cornwell. (Morrow/HarperCollins.) Dr. Kay	9	4
""	Scarpetta pursues a sniper who may be a vigilante; the 22nd Scarpetta novel.		
""			
10	EDGE OF ETERNITY, by Ken Follett. (Dutton.) Five interrelated families grapple	13	12
""	with the events of the 1960s through the 1980s; Book 3 of the Century Trilogy.		
""			
11	PRINCE LESTAT, by Anne Rice. (Knopf.) The Vampire Chronicles continue after	7	6
""	a long hiatus.		
""			
12	THE MISTLETOE PROMISE, by Richard Paul Evans. (Simon & Schuster.) A	14	3
""	divorced woman enters into a contract with a strange man to pretend to be a		
""	couple until Christmas.		
""			
13	THE CINDERELLA MURDER, by Mary Higgins Clark and Alafair Burke. (Simon &	11	3
""	Schuster.) A TV producer plans a show about a cold case — the murder of a		
""	U.C.L.A. student who was found with one shoe missing.		
""			
14	SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon. (Putnam.) The	--	13
""	Mitford character Father Tim finds friends and family wrestling with difficulties.		
This	December 21, 2014	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	HUMANS OF NEW YORK, by Brandon Stanton. (St. Martin's.) Four hundred color	6	23
""	photos of New Yorkers.		
""			
2	KILLING PATTON, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	2	11
""	O’Reilly Factor” recounts the death of Gen. George S. Patton in December 1945.		
""			
3	41, by George W. Bush. (Crown.) The former president’s portrait of his father,	1	4
""	George H. W. Bush.		
""			
4	YES PLEASE, by Amy Poehler. (Dey St./Morrow.) A humorous miscellany from	3	6
""	the comedian and actress, a “Saturday Night Live” alumna and the star of “Parks		
""	and Recreation.”		
""			
5	WHAT IF?, by Randall Munroe. (Houghton Mifflin Harcourt.) Scientific (but often	4	14
""	humorous) answers to hypothetical questions, based in part on the author’s		
""	website, xkcd.com.		
""			
6	BEING MORTAL, by Atul Gawande. (Metropolitan/ Holt.) The surgeon and New	8	9
""	Yorker writer considers how doctors fail patients at the end of life, and offers		
""	suggestions for how they can do better.		
""			
7	THE ANDY COHEN DIARIES, by Andy Cohen. (Holt.) One year in the (social) life	5	4
""	of the TV producer and host of “Watch What Happens Live.”		
""			
8	YOU CAN'T MAKE THIS UP, by Al Michaels with L. Jon Wertheim.	7	3
""	(Morrow/HarperCollins.) The veteran sportscaster, the voice of “Sunday Night		
""	Football,” recalls players and games he has observed.		
""			
9	AS YOU WISH, by Cary Elwes with Joe Layden. (Touchstone/Simon & Schuster.)	11	7
""	The making of the movie “The Princess Bride,” 25 years ago.		
""			
10	THE INNOVATORS, by Walter Isaacson. (Simon & Schuster.) Studies of the	15	8
""	people who created computers and the Internet, beginning in the 1840s.		
""			
11	NOT THAT KIND OF GIRL, by Lena Dunham. (Random House.) Essays from the	9	10
""	creator and star of “Girls.”		
""			
12	SMALL VICTORIES, by Anne Lamott. (Riverhead.) Essays about forgiveness,	12	4
""	transformation and grace.		
""			
13	JETER UNFILTERED, by Derek Jeter with Anthony Bozza. (Jeter	--	3
""	Publishing/Gallery Books.) The Yankee shortstop and team captain looks back		
""	over his career.		
""			
14	DREAMERS AND DECEIVERS, by Glenn Beck with Kevin Balfe. (Threshold	13	6
""	Editions/Mercury Radio Arts.) More little-known stories from America’s past; a		
""	follow-up to “Miracles and Massacres.”		
