This	April 23, 2006	Last	Week
eek	Fiction	Week	On Li
""			
1	TWO LITTLE GIRLS IN BLUE, by Mary Higgins Clark. (Simon & Schuster, $25.95.) A	--	1
""	small girl communicates telepathically with her kidnapped twin.		
""			
2	GONE, by Jonathan Kellerman. (Ballantine, $26.95.) Two acting students stage their own	1	2
""	disappearance — but then one of them is murdered. The psychologist-detective Alex		
""	Delaware investigates.		
""			
3	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) A murder at the Louvre	2	159
""	leads to a trail of clues found in the work of Leonardo and to the discovery of a secret		
""	society.		
""			
4	SHIVER, by Lisa Jackson. (Kensington, $19.95.) A New Orleans detective tracks a serial	--	1
""	killer.		
""			
5	THE 5TH HORSEMAN, by James Patterson and Maxine Paetro. (Little, Brown, $27.95.)	3	8
""	Detective Lindsay Boxer and the Women's Murder Club investigate unexplained deaths		
""	at a San Francisco hospital.		
""			
6	THE TEMPLAR LEGACY, by Steve Berry. (Ballantine, $24.95.) A former Justice	8	7
""	Department operative becomes involved in a desperate search for the long-lost treasure		
""	and secrets of the medieval Knights Templar.		
""			
7	PRIOR BAD ACTS, by Tami Hoag. (Bantam, $26.) Two Minneapolis detectives search	9	3
""	for a kidnapped judge who has been trying a murder case.		
""			
8	"THE SECRET SUPPER, by Javier Sierra. (Atria, $25.95.) Clues in ""The Last Supper"""	6	3
""	reveal Da Vinci's heretical beliefs.		
""			
9	THE TENTH CIRCLE, by Jodi Picoult. (Atria, $26.) When his teenage daughter is date-	5	5
""	raped, a comicbook artist is overwhelmed by rage he thought he had buried with his past.		
""			
10	THE HOUSE, by Danielle Steel. (Delacorte, $27.) A workaholic lawyer's life changes	4	6
""	when she buys a crumbling mansion.		
""			
11	A DIRTY JOB, by Christopher Moore. (Morrow, $24.95.) A San Francisco store owner	11	3
""	becomes a Death Merchant, assigned to collect the souls of the recently dead to protect		
""	them from the dark forces.		
""			
12	HEY, GOOD LOOKING, by Fern Michaels. (Pocket, $25.) Family feuds and forgiveness	--	1
""	in Baton Rouge.		
""			
13	DIRTY BLONDE, by Lisa Scottoline. (HarperCollins, $25.95.) When the plaintiff murders	10	4
""	the defendant in a case she has just tried, a judge's secret life becomes public.		
""			
14	TOMB OF THE GOLDEN BIRD, by Elizabeth Peters. (Morrow, $25.95.) Intrigue and	7	2
""	murder surround the discovery of the tomb of King Tutankhamen in 1922; an Amelia		
""	Peabody historical mystery.		
This	April 23, 2006	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MARLEY & ME, by John Grogan. (Morrow, $21.95.) A newspaper columnist and	1	25
""	his wife learn some life lessons from their neurotic dog.		
""			
2	GAME OF SHADOWS, by Mark Fainaru-Wada and Lance Williams. (Gotham,	2	3
""	$26.) How a San Francisco laboratory supplied steroids to many elite baseball		
""	players.		
""			
3	AMERICAN THEOCRACY, by Kevin Phillips. (Viking, $26.95.) A former	3	3
""	Republican strategist warns against the dangers of religious zealotry, oil		
""	dependence and ballooning public and private debt.		
""			
4	THE JESUS PAPERS, by Michael Baigent. (HarperSanFrancisco, $27.95.) One of	5	2
""	"the authors of ""Holy Blood, Holy Grail"" argues that Jesus survived his crucifixion"		
""	and had a child with Mary Magdalene.		
""			
5	THE WORLD IS FLAT, by Thomas L. Friedman. (Farrar, Straus & Giroux, $27.50.)	4	53
""	A columnist for The New York Times analyzes 21st-century economics and foreign		
""	policy and presents an overview of globalization trends.		
""			
6	COBRA II, by Michael R. Gordon and Bernard E. Trainor. (Pantheon, $27.95.) A	6	4
""	definitive account of America's invasion and occupation of Iraq.		
""			
7	FREAKONOMICS, by Steven D. Levitt and Stephen J. Dubner. (Morrow, $25.95.)	9	52
""	A maverick scholar applies economic thinking to everything from sumo wrestlers		
""	who cheat to legalized abortion and the falling crime rate.		
""			
8	MANHUNT, by James L. Swanson. (Morrow, $26.95.) The 12-day pursuit of John	7	9
""	Wilkes Booth after his assassination of Abraham Lincoln.		
""			
9	MY LIFE IN FRANCE, by Julia Child with Alex Prud'homme. (Knopf, $25.95.) How	--	1
""	Julia Child mastered the art of French cooking.		
""			
10	"BLINK, by Malcolm Gladwell. (Little, Brown, $25.95.) The author of ""The Tipping"	11	62
""	"Point"" explores the importance of hunch and instinct to the workings of the mind."		
""			
11	THE GOSPEL OF JUDAS, edited by Rodolphe Kasser, Marvin Meyer, and Gregor	--	1
""	Wurst. (National Geographic, $22.) An early Christian manuscript lost for 1,700		
""	years portrays Judas Iscariot not as Jesus' betrayer but as his favored disciple and		
""	willing collaborator.		
""			
12	LAURA BUSH, by Ronald Kessler. (Doubleday, $26.) A portrait of the first lady.	--	1
""			
13	MISQUOTING JESUS, by Bart D. Ehrman. (Harper-SanFrancisco, $24.95.) How	8	7
""	mistakes and changes by ancient scribes shaped the Bible we use today.		
""			
14	AMERICAN GOSPEL, by Jon Meacham. (Random House, $23.95.) The founding	--	1
""	fathers' belief in a religion that shapes public life without controlling it.		
