This	November 20, 2011	Last	Weeks
Week	Fiction	Week	On List
""			
1	ZERO DAY, by David Baldacci. (Grand Central, $27.99.) A military investigator	--	1
""	uncovers a conspiracy.		
""			
2	THE LITIGATORS, by John Grisham. (Doubleday, $28.95.) Partners in a small	1	2
""	law firm take on a big case after a fast-track burnout joins them.		
""			
3	THE BEST OF ME, by Nicholas Sparks. (Grand Central, $25.99.) Twenty-five	3	4
""	years after their high school romance ended, a man and woman who have gone		
""	their separate ways return to their North Carolina town for the funeral of a friend.		
""			
4	HOTEL VENDOME, by Danielle Steel. (Delacorte, $28.) Surrounded by	--	1
""	fascinating guests, a woman grows up in the luxury hotel her father founded.		
""			
5	LOST DECEMBER, by Richard Paul Evans. (Simon & Schuster, $19.99.) A	--	1
""	prodigal son turns his life around during the holiday season.		
""			
6	1Q84, by Haruki Murakami. (Knopf, $30.5.) In 1980s Tokyo, a woman who	2	2
""	punishes perpetrators of domestic violence has ties to an aspiring novelist who		
""	takes on an unusual ghostwriting project.		
""			
7	THE CHRISTMAS WEDDING, by James Patterson and Richard DiLallo. (Little,	5	3
""	Brown, $25.99.) A widow keeps the identity of the new man she is about to marry		
""	a secret as her children gather for Christmas.		
""			
8	THE SNOW ANGEL, by Glenn Beck. (Threshold Editions/Mercury Radio Arts,	4	2
""	$21.) A woman re-evaluates her life.		
""			
9	OUT OF OZ, by Gregory Maguire. (Morrow/HarperCollins, $26.99.) As the land of	--	1
""	Oz struggles with unrest, Elphaba’s granddaughter Rain takes up her legacy;		
""	Book 4 (the final volume) of the Wicked Years.		
""			
10	THE MARRIAGE PLOT, by Jeffrey Eugenides. (Farrar, Straus & Giroux, $28.)	6	4
""	Three Brown graduates in the early 1980s wrestle with love, religion and coming		
""	of age.		
""			
11	THE AFFAIR, by Lee Child. (Delacorte, $28.) For Jack Reacher, an elite military	8	6
""	police officer, it all started in 1997. A lonely railroad track. A crime scene. A cover-		
""	up.		
""			
12	THE WEDDING QUILT, by Jennifer Chiaverini. (Dutton, $25.95.) The women of	--	1
""	Elm Creek Manor reminisce as they create a wedding quilt for the daughter of one		
""	of their number; an Elm Creek Quilts novel.		
""			
13	SHOCK WAVE, by John Sandford. (Putnam, $27.95.) Virgil Flowers investigates	10	5
""	several bombings of a superstore chain that seeks to open a store in a Minnesota		
""	river town.		
This	November 20, 2011	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	STEVE JOBS, by Walter Isaacson. (Simon & Schuster, $35.) A biography of the	1	2
""	recently deceased entrepreneur, based on 40 interviews with Jobs conducted over		
""	two years.		
""			
2	KILLING LINCOLN, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The	2	6
""	commentator looks at the heart-stopping events surrounding the assassination of		
""	Abraham Lincoln.		
""			
3	JACK KENNEDY, by Chris Matthews. (Simon & Schuster, $27.5.) An admiring	--	1
""	portrait.		
""			
4	BLUE NIGHTS, by Joan Didion. (Knopf, $25.) The writer considers her daughter’s	--	1
""	death in 2005.		
""			
5	NO HIGHER HONOR, by Condoleezza Rice. (Crown, $35.) A memoir of service	--	1
""	during the Bush administration.		
""			
6	IS EVERYONE HANGING OUT WITHOUT ME?, by Mindy Kaling. (Crown	--	1
""	Archetype, $25.) Observations from the comedy writer and actress.		
""			
7	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's	5	51
""	story of survival as a prisoner of the Japanese in World War II.		
""			
8	THE TIME OF OUR LIVES, by Tom Brokaw. (Random House, $26.) How to	--	1
""	revitalize the promise of the American dream, based on stories of Americans who		
""	are making a difference.		
""			
9	BOOMERANG, by Michael Lewis. (Norton, $25.95.) A look at some of the places	4	5
""	— Greece, Ireland, Iceland — hardest hit by the financial collapse of 2008, and at		
""	how it happened.		
""			
10	NO REGRETS, by Ace Frehley and Joe Layden. (Gallery/MTV, $26.) The KISS	--	1
""	guitarist recalls his life in the band.		
""			
11	THINKING, FAST AND SLOW, by Daniel Kahneman. (Farrar, Straus & Giroux,	3	2
""	$30.) The winner of the Nobel in economic science discusses how we make		
""	choices in business and personal life and when we can and cannot trust our		
""	intuitions.		
""			
12	SERIOUSLY ... I'M KIDDING, by Ellen DeGeneres. (Grand Central, $26.99.) A	8	5
""	collection of humor pieces from the stand-up comedian and talk-show host.		
""			
13	KRIS JENNER...AND ALL THINGS KARDASHIAN, by Kris Jenner. (Gallery/Karen	--	1
""	Hunter, $26.) The mother and manager of the Kardashians describes her busy life		
""	as a parent and producer.v		
""			
14	JACQUELINE KENNEDY: HISTORIC CONVERSATIONS ON LIFE WITH JOHN	10	8
