This	July 5, 2015	Last	Wee
eek	Fiction	Week	On Li
""			
1	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	1	23
""	in the environs of London.		
""			
2	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	3	59
""	French girl and a gadget-obsessed German boy before and during World War II; the		
""	winner of the 2015 Pulitzer Prize.		
""			
3	FINDERS KEEPERS, by Stephen King. (Scribner.) A deranged reader's infatuation	2	3
""	"with a Salingeresque novelist has dangerous consequences in a sequel to ""Mr."		
""	"Mercedes."""		
""			
4	TOM CLANCY UNDER FIRE, by Grant Blackwood. (Putnam.) A former collaborator	--	1
""	continues Clancy’s series about the covert intelligent expert Jack Ryan Jr. (Clancy died		
""	in 2013.)		
""			
5	THE PRESIDENT'S SHADOW, by Brad Meltzer. (Grand Central.) In the third Culper	--	1
""	Ring novel, a member of a secret society charged with protecting the presidency		
""	becomes involved when a severed arm is found in the White House Rose Garden.		
""			
6	THE RUMOR, by Elin Hilderbrand. (Little, Brown.) Two friends on Nantucket must deal	--	1
""	with damaging gossip about themselves and their husbands.		
""			
7	RADIANT ANGEL, by Nelson DeMille. (Grand Central.) A surveillance expert monitors	5	4
""	the activities of a newly resurgent Russia.		
""			
8	COUNTRY, by Danielle Steel. (Delacorte.) After her husband’s sudden death, a	--	1
""	woman falls in love with a country music superstar.		
""			
9	IN THE UNLIKELY EVENT, by Judy Blume. (Knopf.) Secrets are revealed and love	4	3
""	stories play out against the backdrop of a series of plane crashes in 1950s New		
""	Jersey.		
""			
10	MEMORY MAN, by David Baldacci. (Grand Central.) A police detective uses his	9	9
""	extraordinary memory when tackling the case of his family's murder.		
""			
11	ALL THE SINGLE LADIES, by Dorothea Benton Frank. (Morrow/HarperCollins.) Three	6	2
""	friends in South Carolina’s Lowcountry grapple with the challenges of being unmarried.		
""			
12	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	10	20
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
13	LUCKIEST GIRL ALIVE, by Jessica Knoll. (Simon & Schuster.) The life of a successful	8	6
""	New York magazine writer is shaken when secrets from her past are revealed.		
""			
14	THE FATEFUL LIGHTNING, by Jeff Shaara. (Ballantine.) The fourth and final volume	16	3
""	in a series of Civil War novels.		
This	July 5, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	1	7
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
2	MODERN ROMANCE, by Aziz Ansari with Eric Klinenberg. (Penguin Press.) he	--	1
""	comedian enlists a sociologist to help him understand today’s dating scene.		
""			
3	BILL O'REILLY'S LEGENDS AND LIES, by David Fisher. (Holt.) Stories of the	3	11
""	American West; a companion volume to the Fox News series.		
""			
4	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, the	5	15
""	passenger liner sunk by a German torpedo in 1915.		
""			
5	IT'S A LONG STORY, by Willie Nelson with David Ritz. (Little, Brown.) The	8	7
""	country music star discusses his life’s journey, from selling encyclopedias to		
""	professional fame.		
""			
6	THE ROAD TO CHARACTER, by David Brooks. (Random House.) The Times	4	10
""	columnist extols personal virtues like kindness and honesty in a materialistic age.		
""			
7	SICK IN THE HEAD, by Judd Apatow. (Random House.) Thirty years’ worth of the	--	1
""	filmmaker’s interviews with comedians.		
""			
8	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	9	37
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
9	¡ADIOS, AMERICA!, by Ann Coulter. (Regnery.) The political commentator	7	3
""	denounces immigrants and their liberal supporters.		
""			
10	AND THE GOOD NEWS IS ..., by Dana Perino. (Twelve.) The Fox News	6	9
""	contributor and former press secretary under President George W. Bush reviews		
""	her life and career.		
""			
11	THE QUARTET, by Joseph J. Ellis. (Knopf.) How Washington, Hamilton, Jay and	11	6
""	Madison created the Constitution.		
""			
12	A LUCKY LIFE INTERRUPTED, by Tom Brokaw. (Random House.) The journalist	14	6
""	describes the year following his diagnosis with multiple myeloma.		
""			
13	PRIMATES OF PARK AVENUE, by Wednesday Martin. (Simon & Schuster.) A	2	3
""	memoir of life among the wealthy women of the Upper East Side, in the satiric		
""	guise of an anthropological study.		
""			
14	ELON MUSK, by Ashlee Vance. (Ecco/HarperCollins.) Musk’s life from his difficult	10	5
""	South African childhood to his involvement in Internet start-ups like the rocket		
""	company SpaceX and the electric-car company Tesla.		
