This	June 3, 2012	Last	Week
Week	Fiction	Week	On Li
""			
1	STOLEN PREY, by John Sandford. (Putnam, $27.95.) When a Minnesota family is	--	1
""	murdered, the Minneapolis investigator Lucas Davenport believes a Mexican drug gang		
""	is involved.		
""			
2	11TH HOUR, by James Patterson and Maxine Paetro. (Little, Brown, $27.99.) Detective	1	2
""	Lindsay Boxer and the Women’s Murder Club investigate a possible serial killer.		
""			
3	DEADLOCKED, by Charlaine Harris. (Ace, $27.95.) The telepathic waitress Sookie	2	3
""	Stackhouse investigates a murder that has more to do with her than she imagines.		
""			
4	THE COLUMBUS AFFAIR, by Steve Berry. (Ballantine, $27.) The daughter of a	--	1
""	disgraced journalist is held by a man who wants to force her father to help him discover		
""	a secret left by Columbus.		
""			
5	CALICO JOE, by John Grisham. (Doubleday, $24.95.) A pitcher beans a promising	7	6
""	rookie, ending both their careers; years later, the pitcher’s son brings them together.		
""			
6	THE INNOCENT, by David Baldacci. (Grand Central, $27.99.) A hitman who has	6	5
""	become a target of the government rescues a teenage girl whose parents have been		
""	murdered.		
""			
7	IN ONE PERSON, by John Irving. (Simon & Schuster, $28.) An aspiring writer struggles	5	2
""	with his sexuality.		
""			
8	BRING UP THE BODIES, by Hilary Mantel. (John Macrae/Holt, $28.) In this sequel to	3	2
""	“Wolf Hall,” Thomas Cromwell conspires against Anne Boleyn, whom Henry VIII has		
""	turned against so that he can marry Jane Seymour.		
""			
9	THE WIND THROUGH THE KEYHOLE, by Stephen King. (Scribner, $27.) A new entry	8	4
""	in the Dark Tower epic western-fantasy series; this novel, King says, is “Dark Tower		
""	4.5.”		
""			
10	HOME, by Toni Morrison. (Knopf, $24.) A bitter Korean War veteran returns to a	9	2
""	segregated America and revisits his small Georgia hometown.		
""			
11	THE WITNESS, by Nora Roberts. (Putnam, $27.95.) A programmer hides from the	10	5
""	Russian mob in the Ozarks.		
""			
12	THE ROAD TO GRACE, by Richard Paul Evans. (Simon & Schuster, $19.99.) The	4	2
""	continuing story of an ad executive who loses everything and embarks on a walk from		
""	Seattle to Key West; a sequel to “The Walk” and “Miles to Go.”		
""			
13	A DANCE WITH DRAGONS, by George R. R. Martin. (Bantam, $35.) After a colossal	--	41
""	"battle, the Seven Kingdoms face new threats; Book 5 of ""A Song of Ice and Fire."""		
""			
14	THE SINS OF THE FATHER, by Jeffrey Archer. (St. Martin’s, $27.99.) In the second	11	2
""	volume of the Clifton Chronicles, Harry Clifton assumes the identity of a dead fellow		
This	June 3, 2012	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE AMATEUR, by Edward Klein. (Regnery, $27.95.) A journalist argues that	--	1
""	President Obama is callow and unable to lead.		
""			
2	THE PASSAGE OF POWER, by Robert A. Caro. (Knopf, $35.) From 1958 through	1	3
""	the Kennedy assassination; the fourth volume of “The Years of Lyndon Johnson.”		
""			
3	THE ART OF INTELLIGENCE, by Henry A. Crumpton. (Penguin Press, $27.95.)	--	1
""	The former operations officer who led the C.I.A.’s fight against Al Qaeda in		
""	Afghanistan after 9/11 reviews the lessons he learned from his 24-year career.		
""			
4	MY CROSS TO BEAR, by Gregg Allman with Alan Light. (Morrow/HarperCollins,	8	3
""	$27.99.) The musician’s memoir.		
""			
5	MOST TALKATIVE, by Andy Cohen. (Holt, $25.) The Bravo executive vice president	4	2
""	who oversees “Top Chef” and “The Real Housewives” looks back on his career.		
""			
6	"KILLING LINCOLN, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The host of ""The"	6	34
""	"O'Reilly Factor"" recounts the events surrounding the assassination of Abraham"		
""	Lincoln.		
""			
7	LOTS OF CANDLES, PLENTY OF CAKE, by Anna Quindlen. (Random House,	2	4
""	$26.) The journalist and novelist, now nearly 60, looks back at her experiences and		
""	those of her generation.		
""			
8	SERVICE, by Marcus Luttrell and James D. Hornfischer. (Little, Brown, $27.99.) A	9	2
""	Navy SEALs member who was rescued in Afghanistan describes his experience in		
""	Iraq.		
""			
9	IMAGINE, by Jonah Lehrer. (Houghton Mifflin Harcourt, $26.) An account of the	10	9
""	science of creativity argues that it is not a gift but a thought process that can be		
""	learned.		
""			
10	THE PRESIDENTS CLUB, by Nancy Gibbs and Michael Duffy. (Simon & Schuster,	13	5
""	$32.5.) Two journalists examine the relationships between sitting presidents and		
""	their predecessors.		
""			
11	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's	11	79
""	story of survival as a prisoner of the Japanese in World War II.		
""			
12	PRAGUE WINTER, by Madeleine Albright with Bill Woodward.	5	4
""	(Harper/HarperCollins, $29.99.) The former secretary of state describes her family’s		
""	life in Europe before their move to the United States in 1948.		
""			
13	SCREWED!, by Dick Morris and Eileen McGann. (Broadside/HarperCollins, $27.99.)	3	2
""	How foreign countries take our jobs and misuse our aid.		
""			
14	THE POWER OF HABIT, by Charles Duhigg. (Random House, $28.) A Times	14	12
