This	December 9, 2001	Last	Weeks
Week	Fiction	Week	On List
""			
1	SKIPPING CHRISTMAS, by John Grisham. (Doubleday, $19.95.) A husband and	2	3
""	wife discover that their decision to forgo Christmas comes with consequences.		
""			
2	VIOLETS ARE BLUE, by James Patterson. (Little, Brown, $27.95.) Detective Alex	--	1
""	Cross investigates a series of bizarre murders that appear to be the work of a		
""	vampire.		
""			
3	DESECRATION, by Tim LaHaye and Jerry B. Jenkins. (Tyndale, $24.99.) The	1	4
""	"ninth volume of the ""Left Behind"" series, in which the forces of good battle the"		
""	forces of evil after the rapture of the saved.		
""			
4	LAST MAN STANDING, by David Baldacci. (Warner, $26.95.) The head of the	3	3
""	F.B.I.'s elite hostage rescue team is the only survivor of a high-tech ambush.		
""			
5	THE CORRECTIONS, by Jonathan Franzen. (Farrar, Straus & Giroux, $26.) A	5	12
""	multigenerational saga in which a mother tries to bring her dysfunctional family		
""	together for a final Christmas at home.		
""			
6	THE KISS, by Danielle Steel. (Delacorte, $26.95.) The wife of a coldhearted	6	5
""	Parisian banker conducts a long-distance platonic relationship with a Washington		
""	power broker who is also trapped in an empty marriage.		
""			
7	HE SEES YOU WHEN YOU'RE SLEEPING, by Mary Higgins Clark and Carol	--	1
""	Higgins Clark. (Scribner/ Simon & Schuster, $20.) To earn his way into heaven, a		
""	man must save a young girl's family from mobsters.		
""			
8	THE SIGMA PROTOCOL, by Robert Ludlum. (St. Martin's, $27.95.) An investment	7	4
""	banker and a Justice Department field agent are caught in a nightmare of		
""	murderous political intrigue.		
""			
9	THE PILLARS OF CREATION, by Terry Goodkind. (Tor/Tom Doherty, $29.95.)	--	1
""	"The seventh volume of the ""Sword of Truth"" fantasy series."		
""			
10	THE FIERY CROSS, by Diana Gabaldon. (Delacorte, $27.95.) The fifth volume in	4	3
""	"the ""Outlander"" series, featuring an 18th-century Scotsman and his 20th-century"		
""	time-traveling wife.		
""			
11	FLESH AND BLOOD, by Jonathan Kellerman. (Random House, $26.95.) The	--	1
""	psychologist-detective Alex Delaware looks into the vicious murder of a woman.		
""			
12	JOURNEY THROUGH HEARTSONGS, written and illustrated by Mattie J. T.	8	5
""	Stepanek. (VSP Books, $14.95.) A collection of poems by an 11-year-old boy.		
""			
13	THE BEST-LOVED POEMS OF JACQUELINE KENNEDY ONASSIs, selected by	9	8
""	Caroline Kennedy. (Hyperion, $21.95.) The former first lady's favorite poems.		
""			
14	BLACK HOUSE, by Stephen King and Peter Straub. (Random House, $28.95.)	15	10
This	December 9, 2001	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE NO SPIN ZONE, by Bill O'Reilly. (Broadway, $24.95.) More political opinions	1	6
""	"from the host of the cable news program ""The O'Reilly Factor."""		
""			
2	THE FINAL DAYS, by Barbara Olson. (Regnery, $27.95.) The conservative	3	6
""	"commentator, who died aboard a hijacked jetliner on Sept. 11, discusses ""the last,"		
""	"desperate abuses of power"" in the Clinton White House."		
""			
3	JACK: Straight From the Gut, by Jack Welch with John A. Byrne. (Warner	2	11
""	Business, $29.95.) The recently retired chairman and chief executive of General		
""	Electric tells his story as well as G.E.'s.		
""			
4	ONE NATION, by the editors of Life magazine. (Little, Brown, $29.95.)	14	2
""	Photographs and essays dealing with the events of Sept. 11.		
""			
5	JOHN ADAMS, by David McCullough. (Simon & Schuster, $35.) A biography of	5	27
""	the country's first vice president and second president.		
""			
6	THE UNIVERSE IN A NUTSHELL, by Stephen Hawking. (Bantam, $35.) A	4	3
""	copiously illustrated book in which the physicist explains breakthroughs that have		
""	"occurred since he wrote ""A Brief History of Time."""		
""			
7	THE LOST SON, by Bernard B. Kerik. (ReganBooks/ HarperCollins, $26.50.) The	6	2
""	autobiography of New York City's departing police commissioner.		
""			
8	SEPTEMBER 11, 2001, by the editors of New York magazine. (Abrams, $19.95.)	11	2
""	A photographic account of the attack on the World Trade Center.		
""			
9	NEW YORK SEPTEMBER 11, by Magnum photographers. (Magnum Photos/	--	1
""	PowerHouse Books, $29.95.) The attack on the World Trade Center as seen by		
""	11 members of the photo agency.		
""			
10	"THEODORE REX, by Edmund Morris. (Random House, $35.) A sequel to ""The"	--	1
""	"Rise of Theodore Roosevelt,"" describing Roosevelt's years in the White House"		
""	(1901-9).		
""			
11	HOLY WAR, INC., by Peter L. Bergen. (Free Press, $26.) A television journalist's	7	3
""	account of Osama bin Laden and his terrorist organization, Al Qaeda.		
""			
12	WHEN CHARACTER WAS KING, by Peggy Noonan. (Viking, $24.95.) Reflections	8	2
""	on Ronald Reagan by the former White House speechwriter.		
""			
13	"CROSSING OVER, by John Edward. (Jodere, $23.95.) A ""psychic television host"""	12	14
""	discusses his work and describes conversations he says he's had with those who		
""	have crossed the bar.		
""			
14	NOW, LET ME TELL YOU WHAT I REALLY THINK, by Chris Matthews. (Free	--	3
""	Press, $25.) Political observations by the host of the cable news program		
