This	July 22, 2007	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE QUICKIE, by James Patterson and Michael Ledwidge. (Little, Brown,	--	1
""	$27.99.) A police officer’s attempt to get back at her husband, whom she suspects		
""	of cheating on her, goes dangerously awry.		
""			
2	A THOUSAND SPLENDID SUNS, by Khaled Hosseini. (Riverhead, $25.95.) A	1	7
""	friendship between two women in Afghanistan against the backdrop of 30 years of		
""	war.		
""			
3	LEAN MEAN THIRTEEN, by Janet Evanovich. (St. Martin’s, $27.95.) The New	2	3
""	Jersey bounty hunter Stephanie Plum becomes a suspect when her ex-husband		
""	disappears.		
""			
4	THE JUDAS STRAIN, by James Rollins. (Morrow, $25.95.) Sigma Force	--	1
""	operatives trained in science search for the secret behind the re-emergence of an		
""	ancient, deadly plague.		
""			
5	BUNGALOW 2, by Danielle Steel. (Delacorte, $27.) A writer must deal with the	3	2
""	effects of Hollywood success on her family life.		
""			
6	PEONY IN LOVE, by Lisa See. (Random House, $23.95.) Love, death and ghosts	11	2
""	in 17th-century China.		
""			
7	DROP DEAD BEAUTIFUL, by Jackie Collins. (St. Martin’s, $24.95.) Lucky	5	2
""	Santangelo’s preparations for the opening of a Las Vegas hotel complex are		
""	complicated by the reappearance of an old family foe.		
""			
8	DOUBLE TAKE, by Catherine Coulter. (Putnam, $25.95.) Dillon Savich and Lacey	4	4
""	Sherlock — F.B.I. agents as well as husband and wife — join with a San		
""	Francisco colleague to solve a murder and find a missing woman.		
""			
9	THE 6TH TARGET, by James Patterson and Maxine Paetro. (Little, Brown,	10	9
""	$27.99.) Detective Lindsay Boxer and the Women’s Murder Club investigate the		
""	disappearance of several children in San Francisco.		
""			
10	THE BOURNE BETRAYAL, by Eric Van Lustbader. (Warner, $25.99.) Continuing	9	5
""	the story of Robert Ludlum’s character Jason Bourne, who tangles with a group of		
""	diabolical Islamic terrorists.		
""			
11	THE DOUBLE AGENTS, by W. E. B. Griffin and William E. Butterworth IV.	8	2
""	(Putnam, $25.95.) Another volume of the “Men at War” series about O.S.S. agents		
""	in World War II.		
""			
12	BLAZE, by Richard Bachman. (Scribner, $25.) An early Stephen King novel —	7	4
""	Bachman is his alias — here revised.		
""			
13	THE NAVIGATOR, by Clive Cussler with Paul Kemprecos. (Putnam, $26.95.) Kurt	6	5
""	Austin and his team track down a stolen Phoenician statue.		
This	July 22, 2007	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LONE SURVIVOR, by Marcus Luttrell with Patrick Robinson. (Little, Brown,	4	4
""	$24.99.) The only survivor of a Navy Seal operation in northern Afghanistan		
""	describes the battle, his comrades and his courageous escape.		
""			
2	GOD IS NOT GREAT, by Christopher Hitchens. (Twelve, $24.99.) Religion as a	2	10
""	malignant force in the world.		
""			
3	THE DIANA CHRONICLES, by Tina Brown. (Doubleday, $27.50.) The Princess of	1	4
""	Wales’s romance with the media.		
""			
4	THE ASSAULT ON REASON, by Al Gore. (Penguin Press, $25.95.) How the Bush	3	7
""	administration has degraded the political environment through secrecy, fear and		
""	the rejection of fact-based reasoning.		
""			
5	A LONG WAY GONE, by Ishmael Beah. (Sarah Crichton/Farrar, Straus & Giroux,	6	21
""	$22.) A former child soldier from Sierra Leone describes his drug-crazed killing		
""	spree and his return to humanity.		
""			
6	OUTRAGE, by Dick Morris and Eileen McGann. (HC/HarperCollins, $26.95.) An	7	4
""	attack on illegal immigration, United Nations profiteers, lazy congressmen and		
""	high drug prices.		
""			
7	THE REAGAN DIARIES, by Ronald Reagan. Edited by Douglas Brinkley.	5	7
""	(HarperCollins, $35.) Selections from the 40th president’s daily White House		
""	diaries.		
""			
8	EINSTEIN, by Walter Isaacson. (Simon & Schuster, $32.) A biography based on	8	13
""	newly released personal letters.		
""			
9	ANIMAL, VEGETABLE, MIRACLE, by Barbara Kingsolver with Steven L. Hopp	9	10
""	and Camille Kingsolver. (HarperCollins, $26.95.) The novelist and her family		
""	spend a year eating homegrown or local food.		
""			
10	THE BLACK SWAN, by Nassim Nicholas Taleb. (Random House, $26.95.) The	10	9
""	role of the unexpected.		
""			
11	JESUS OF NAZARETH, by Benedict XVI. (Doubleday, $24.95.) The pope	14	7
""	discusses Jesus’ identity as revealed in the Gospels.		
""			
12	FREAKONOMICS, by Steven D. Levitt and Stephen J. Dubner. (Morrow, $27.95.)	--	103
""	A maverick scholar and a journalist apply economic theory to nearly everything.		
""			
13	PRESIDENTIAL COURAGE, by Michael Beschloss. (Simon & Schuster, $28.)	11	9
""	Profiles of nine presidents who had the courage to make unpopular decisions.		
""			
14	I FEEL BAD ABOUT MY NECK, by Nora Ephron. (Knopf, $19.95.) A witty look at	12	47
""	aging from a novelist and screenwriter (“When Harry Met Sally”).		
