This	September 5, 2010	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE POSTCARD KILLERS, by James Patterson and Liza Marklund. (Little,	--	1
""	Brown, $27.99.) An N.Y.P.D. detective joins a Swedish reporter in a search for the		
""	killer of young couples in Europe, including his daugher and her boyfriend.		
""			
2	THE GIRL WHO KICKED THE HORNET’S NEST, by Stieg Larsson. (Knopf,	1	13
""	$27.95.) The third volume of a trilogy about a Swedish hacker and a journalist.		
""			
3	THE HELP, by Kathryn Stockett. (Amy Einhorn/Putnam, $24.95.) A young white	3	73
""	woman and two black maids in 1960s Mississippi.		
""			
4	THE COBRA, by Frederick Forsyth. (Putnam, $26.95.) A former C.I.A. operative is	--	1
""	unleashed on the cocaine industry.		
""			
5	STAR ISLAND, by Carl Hiaasen. (Knopf, $26.95.) A paparazzo attempting to	4	4
""	kidnap a drug-addled pop star grabs her stunt double by mistake.		
""			
6	TOUGH CUSTOMER, by Sandra Brown. (Simon & Schuster, $26.99.) A private	2	2
""	investigator pursues a deranged killer.		
""			
7	THREE STATIONS, by Martin Cruz Smith. (Simon & Schuster, $25.99.) Inspector	--	1
""	Arkady Renko faces corrupt Russian capitalists and bureaucrats.		
""			
8	THE RED QUEEN, by Philippa Gregory. (Touchstone/Simon & Schuster, $25.99.)	7	3
""	More intrigue during the War of the Roses; by the author of “The Other Boleyn		
""	Girl.”		
""			
9	LAST NIGHT AT CHATEAU MARMONT, by Lauren Weisberger. (Atria, $25.99.) A	--	1
""	woman is challenged when her musician husband suddenly becomes a star.		
""			
10	THE REMBRANDT AFFAIR, by Daniel Silva. (Putnam, $26.95.) The art restorer	8	5
""	and assassin Gabriel Allon discovers that there are deadly secrets behind a stolen		
""	painting.		
""			
11	CROSSFIRE, by Dick Francis and Felix Francis. (Putnam, $26.95.) An injured	--	1
""	British soldier returns from Afghanistan to help his mother, a horse trainer, identify		
""	a blackmailer.		
""			
12	PRIVATE, by James Patterson and Maxine Paetro. (Little, Brown, $27.99.) The	9	8
""	head of an investigation company pursues the murderer of his best friend’s wife.		
""			
13	THE VIGILANTES, by W. E. B. Griffin and William E. Butterworth IV. (Putnam,	6	2
""	$26.95.) Members of the Philadelphia Police Department are plagued by vigilante		
""	groups.		
""			
14	VEIL OF NIGHT, by Linda Howard. (Ballantine, $26.) There are many suspects	5	2
""	when a bridezilla is murdered.		
This	September 5, 2010	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	SH*T MY DAD SAYS, by Justin Halpern. (It Books/HarperCollins, $15.99.) A	1	16
""	coming-of-age memoir organized around the musings, purveyed on Twitter, of the		
""	author’s father.		
""			
2	COMMITTED, by Elizabeth Gilbert. (Viking, $26.95.) The author of “Eat, Pray,	10	11
""	Love” wrestles with, and overcomes, her ambivalence about marriage.		
""			
3	OUTLIERS, by Malcolm Gladwell. (Little, Brown, $27.99.) Why some people	6	91
""	succeed — it has to do with luck and opportunity — from the author of “Blink.”		
""			
4	EMPIRE OF THE SUMMER MOON, by S. C. Gwynne. (Scribner, $27.50.) The	4	9
""	story of Quanah Parker, the last and greatest chief of the Comanches.		
""			
5	THE OBAMA DIARIES, by Laura Ingraham. (Threshold Editions, $25.) A satirical	2	6
""	fictional journal with commentary, by the conservative political commentator.		
""			
6	THE BIG SHORT, by Michael Lewis. (Norton, $27.95.) The people who saw the	3	23
""	real estate crash coming and made billions from their foresight.		
""			
7	CHELSEA CHELSEA BANG BANG, by Chelsea Handler. (Grand Central,	5	24
""	$25.99.) More humorous personal essays.		
""			
8	PACKING FOR MARS, by Mary Roach. (Norton, $25.95.) A humorous	8	3
""	investigation of life without gravity in the space program, by the author of “Stiff”		
""	and “Bonk.”		
""			
9	THE IMMORTAL LIFE OF HENRIETTA LACKS, by Rebecca Skloot. (Crown,	15	26
""	$26.) Race, poverty and science intertwine in the story of the woman whose		
""	cancer cells were cultured without her permission in 1951 and have supported a		
""	mountain of research undertaken since then.		
""			
10	ANGELINA, by Andrew Morton. (St. Martin’s, $26.99.) A biography of Angelina	7	3
""	Jolie, actress and humanitarian.		
""			
11	SLIDING INTO HOME, by Kendra Wilkinson with Jon Warech. (Gallery, $26.) The	9	7
""	life of the reality TV star and former Playboy cover model.		
""			
12	THE MURDER ROOM, by Michael Capuzzo. (Gotham, $26.) The story of the	11	2
""	Vidoq Society, a Philadelphia-based organization dedicated to reopening cold		
""	cases.		
""			
13	BORN TO RUN, by Christopher McDougall. (Knopf, $24.95.) Secrets of distance	--	25
""	running from a Mexican Indian tribe.		
""			
14	MEDIUM RAW, by Anthony Bourdain. (Ecco/HarperCollins, $26.99.) The author of	13	11
""	"""Kitchen Confidential"" looks critically at changes in the food and restaurant"		
""	cultures during the past 10 years.		
