This	October 21, 2007	Last	Weeks
Week	Fiction	Week	On List
""			
1	PLAYING FOR PIZZA, by John Grisham. (Doubleday, $21.95.) An American third-	1	2
""	string quarterback joins the Italian National Football League’s Parma Panthers.		
""			
2	THE CHOICE, by Nicholas Sparks. (Grand Central, $24.99.) How the choices	2	2
""	made by a North Carolina man and the neighbor with whom he falls in love play out		
""	in their lives; from the author of “At First Sight.”		
""			
3	DARK OF THE MOON, by John Sandford. (Putnam, $26.95.) Virgil Flowers, a	--	1
""	character from “Invisible Prey,” investigates three murders in a small Minnesota		
""	town.		
""			
4	A THOUSAND SPLENDID SUNS, by Khaled Hosseini. (Riverhead, $25.95.) A	4	20
""	friendship between two women in Afghanistan against the backdrop of 30 years of		
""	war.		
""			
5	YOU’VE BEEN WARNED, by James Patterson and Howard Roughan. (Little,	3	4
""	Brown, $27.99.) An aspiring photographer working as a nanny has terrible visions.		
""			
6	BRIDGE OF SIGHS, by Richard Russo. (Knopf, $26.95.) The entangled lives of an	6	2
""	upstate New York couple and their best friend, from the author of “Empire Falls.”		
""			
7	RUN, by Ann Patchett. (Harper, $25.95.) Two young black men, adopted in	8	2
""	childhood by the former mayor of Boston, encounter their birth mother and sister;		
""	from the author of “Bel Canto.”		
""			
8	SHOOT HIM IF HE RUNS, by Stuart Woods. (Putnam, $25.95.) Stone Barrington,	5	2
""	the New York cop turned lawyer, tracks a rogue C.I.A. agent on a Caribbean island.		
""			
9	THE ORC KING, by R. A. Salvatore. (Wizards of the Coast, $27.95.) The dark elf	7	2
""	Drizzt Do’Urden seeks vengeance against the orcs in the first book of a new		
""	fantasy trilogy, Transitions.		
""			
10	DEAD HEAT, by Dick Francis and Felix Francis. (Putnam, $25.95.) Someone is out	9	3
""	to destroy a young chef’s New market restaurant, poisoning food and setting off a		
""	bomb.		
""			
11	THE BONE GARDEN, by Tess Gerritsen. (Ballantine, $25.95.) A woman finds a	11	3
""	skull in her garden, while in the 1830s, a medical student tracks a killer.		
""			
12	EXIT GHOST, by Philip Roth. (Houghton Mifflin, $26.) Nathan Zuckerman grapples	--	1
""	with aging and desire.		
""			
13	JONATHAN’S STORY, by Julia London with Alina Adams. (Pocket, $22.) The story	14	3
""	behind Jonathan’s disappearance, based on the TV daytime drama “Guiding Light.”		
""			
14	PONTOON, by Garrison Keillor. (Viking, $25.95.) In Lake Wobegon, a daughter	13	4
""	learns about her mother’s secret life.		
This	October 21, 2007	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MY GRANDFATHER’S SON, by Clarence Thomas. (Harper, $26.95.) A memoir	--	1
""	from an associate justice of the Supreme Court.		
""			
2	THE AGE OF TURBULENCE, by Alan Greenspan. (Penguin Press, $35.) A	1	3
""	memoir by the longtime chairman of the Federal Reserve Board.		
""			
3	IF DEMOCRATS HAD ANY BRAINS, THEY’D BE REPUBLICANS, by Ann	--	1
""	Coulter. (Crown Forum, $24.95.) A collection of the columnist’s provocative		
""	quotations, some from previous books and interviews, some new.		
""			
4	THE NINE, by Jeffrey Toobin. (Doubleday, $27.95.) A portrait of the Supreme	2	3
""	Court since the Reagan administration focuses on the influence of its moderates.		
""			
5	LOUDER THAN WORDS, by Jenny McCarthy. (Dutton, $23.95.) A mother deals	3	3
""	with her son’s autism and struggles to find treatment.		
""			
6	THE DAY OF BATTLE, by Rick Atkinson. (Holt, $35.) The American Army in Sicily	--	1
""	and Italy, 1943-44; the second volume of the Liberation trilogy.		
""			
7	THE WAR, by Geoffrey C. Ward. (Knopf, $50.) A companion to the seven-part	8	4
""	PBS documentary directed by Ken Burns, with hundreds of photographs.		
""			
8	THE COLDEST WINTER, by David Halberstam. (Hyperion, $35.) A history of the	4	2
""	Korean War from the author of “The Best and the Brightest,” who died earlier this		
""	year.		
""			
9	THE VIXEN DIARIES, by Karrine Steffans. (Grand Central, $24.99.) How the	6	2
""	author’s life changed after the publication of her first book, “Confessions of a		
""	Video Vixen.”		
""			
10	POWER TO THE PEOPLE, by Laura Ingraham. (Regnery, $27.95.) The political	7	4
""	commentator urges Americans to restore traditional conservative principles.		
""			
11	LOOK ME IN THE EYE, by John Elder Robison. (Crown, $25.95.) A memoir of life	13	2
""	with Asperger’s syndrome		
""			
12	QUIET STRENGTH, by Tony Dungy with Nathan Whitaker. (Tyndale, $26.99.) A	12	13
""	memoir by the first black coach to win a Super Bowl (with the Indianapolis Colts in		
""	2007).		
""			
13	IF I DID IT, by the Goldman family. (Beaufort, $24.95.) O. J. Simpson’s	5	4
""	“hypothetical” confession to the murder of his wife, Nicole, and Ron Goldman.		
""			
14	MOTHER TERESA: COME BE MY LIGHT. (Doubleday, $22.95.) Writings and	11	5
""	reflections on her spiritual journey.		
""			
15	THE HEROIN DIARIES, by Nikki Sixx with Ian Gittins. (Pocket/MTV/VH-1,	9	3
