This	October 19, 2003	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE FIVE PEOPLE YOU MEET IN HEAVEN, by Mitch Albom. (Hyperion, $19.95.)	1	2
""	An old man who died while trying to rescue a little girl from danger discovers that		
""	all will be explained to him in the afterlife.		
""			
2	SPLIT SECOND, by David Baldacci. (Warner, $26.95.) Two discredited Secret	--	1
""	Service agents become embroiled in political intrigue and murder cases.		
""			
3	BLEACHERS, by John Grisham. (Doubleday, $19.95.) A former star quarterback	2	4
""	returns to his Southern hometown after he learns that his high school coach, a		
""	local legend, has a terminal illness.		
""			
4	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) The murder of a	3	29
""	curator at the Louvre leads to a trail of clues found in the work of Leonardo and to		
""	the discovery of a centuries-old secret society.		
""			
5	THE WEDDING, by Nicholas Sparks. (Warner, $23.95.) A man tries to regain his	4	4
""	"wife's love; a sequel to ""The Notebook."""		
""			
6	A PERFECT DAY, by Richard Paul Evans. (Dutton, $22.95.) A man who	--	1
""	experiences unexpected success after publishing a novel undergoes an		
""	awakening.		
""			
7	QUICKSILVER, by Neal Stephenson. (Morrow, $27.95.) A tale of late-17th-century	6	2
""	and early-18th-century history, science and philosophy.		
""			
8	REMEMBER WHEN, by Nora Roberts and J. D. Robb. (Putnam, $25.95.)	5	3
""	Combining a romance novel set in Maryland with a procedural featuring Lt. Eve		
""	Dallas.		
""			
9	LORD JOHN AND THE PRIVATE MATTER, by Diana Gabaldon. (Delacorte,	--	1
""	$23.95.) In 1757, a high-ranking officer in the British Army searches for the truth		
""	behind the murder of a soldier.		
""			
10	THE TEETH OF THE TIGER, by Tom Clancy. (Putnam, $27.95.) The son of	7	8
""	President Jack Ryan embarks on a career as a counterterrorist agent.		
""			
11	STONE COLD, by Robert B. Parker. (Putnam, $24.95.) Jesse Stone, chief of	--	1
""	police in Paradise, Mass., probes a series of thrill-killings.		
""			
12	AVENGER, by Frederick Forsyth. (Thomas Dunne/St. Martin's, $26.95.) The C.I.A.	--	1
""	becomes alarmed when a New Jersey lawyer decides to look into the killing of an		
""	aid worker in Bosnia.		
""			
13	THE NAMESAKE, by Jhumpa Lahiri. (Houghton Mifflin, $24.) Tracing the fortunes	8	5
""	of a Bengali-American, Gogol Ganguli.		
""			
14	BLACKLIST, by Sara Paretsky. (Putnam, $24.95.) V. I. Warshawski's investigation	--	1
This	October 19, 2003	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LIES (AND THE LYING LIARS WHO TELL THEM), by Al Franken. (Dutton,	2	7
""	$24.95.) A satirical critique of the rhetoric of right-wing pundits and politicians.		
""			
2	WHO'S LOOKING OUT FOR YOU? by Bill O'Reilly. (Broadway, $24.95.) The host	1	2
""	"of ""The O'Reilly Factor"" attacks those individuals and institutions that he believes"		
""	have let down the American people.		
""			
3	FLYBOYS, by James Bradley. (Little, Brown, $25.95.) An account of eight	--	1
""	American airmen who were shot down and captured by the Japanese in World		
""	War II.		
""			
4	THE BURNING TIGRIS, by Peter Balakian. (HarperCollins, $26.95.) A history of	--	1
""	the Armenian genocide and the United States' response to it.		
""			
5	MADAM SECRETARY, by Madeleine Albright with Bill Woodward. (Miramax,	3	3
""	$27.95.) A memoir by the former secretary of state and ambassador to the United		
""	Nations.		
""			
6	BUSHWHACKED, by Molly Ivins and Lou Dubose. (Random House, $24.95.) Two	4	2
""	Texas journalists offer up an indictment of the Bush administration.		
""			
7	SHUT UP & SING, by Laura Ingraham. (Regnery, $27.95.) The political	6	3
""	"commentator attacks the ""elites"" of Hollywood, Washington and New York."		
""			
8	THE GREAT UNRAVELING, by Paul Krugman. (Norton, $25.95.) A volume of	5	4
""	"essays, most from The New York Times, that are ""mainly about economic"		
""	"disappointment, bad leadership and the lies of the powerful."""		
""			
9	AFTER LIFE, by John Edward with Natasha Stoynoff. (Princess, $23.95.) The	11	5
""	"television personality and professed psychic offers ""answers from the other side."""		
""			
10	"PERSECUTION, by David Limbaugh. (Regnery, $27.95.) The author of ""Absolute"	8	2
""	"Power"" argues that ""liberals are waging war against Christianity."""		
""			
11	BENJAMIN FRANKLIN, by Walter Isaacson. (Simon & Schuster, $30.) A	9	14
""	biography of the scientist, inventor, writer and Revolutionary statesman.		
""			
12	LIVING HISTORY, by Hillary Rodham Clinton. (Simon & Schuster, $28.) A memoir	10	17
""	by the junior senator from New York and former first lady.		
""			
13	REAGAN: A Life in Letters, edited by Kiron K. Skinner, Annelise Anderson and	7	2
""	Martin Anderson. (Free Press, $35.) A selection of correspondence by Ronald		
""	Reagan.		
""			
14	MONEYBALL, by Michael Lewis. (Norton, $24.95.) How the Oakland Athletics	--	19
""	produce a successful team despite having a small payroll.		
