This	February 7, 2016	Last	Week
eek	Fiction	Week	On Li
""			
1	BLUE, by Danielle Steel. (Delacorte.) A woman whose life has been shattered befriends	--	1
""	a homeless boy.		
""			
2	MY NAME IS LUCY BARTON, by Elizabeth Strout. (Random House.) A woman	1	2
""	struggles with memories of her impoverished and disturbing childhood and its effect on		
""	the present as she attempts to reconcile with her mother.		
""			
3	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	4	90
""	French girl and a gadget-obsessed German boy before and during World War II.		
""			
4	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	3	54
""	in the environs of London.		
""			
5	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	6	47
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
6	STAR WARS: THE FORCE AWAKENS, by Alan Dean Foster. (Del Rey.) Three decades	2	3
""	after the defeat of the Galactic Empire, a new threat arises; an adaptation of the		
""	screenplay of the new “Star Wars” movie.		
""			
7	ROGUE LAWYER, by John Grisham. (Doubleday.) The attorney Sebastian Rudd is a	7	14
""	“lone gunman” who hates injustice and the system and defends unpopular clients.		
""			
8	WARRIORS OF THE STORM, by Bernard Cornwell. (Harper.) Forces are gathering	--	1
""	against Uhtred, the greatest warrior of the kingdoms of Wessex, Mercia and East Anglia;		
""	the ninth book of the Saxon Tales.		
""			
9	SCANDALOUS BEHAVIOR, by Stuart Woods. (Putnam.) In the 36th novel in the series,	5	2
""	Stone Barrington hopes for a restful stay in the English countryside, but relationships		
""	with local neighbors complicate matters.		
""			
10	FEVERBORN, by Karen Marie Moning. (Delacorte.) Solving an ancient riddle to prevent	--	1
""	the Earth from vanishing on the streets of a dangerously magical Dublin; a Fever novel.		
""			
11	SEE ME, by Nicholas Sparks. (Grand Central.) A couple in love are threatened by	8	15
""	secrets from the past.		
""			
12	FATES AND FURIES, by Lauren Groff. (Riverhead.) A marriage viewed from two	10	7
""	perspectives.		
""			
13	EVEN DOGS IN THE WILD, by Ian Rankin. (Little, Brown.) John Rebus, the Edinburgh	--	1
""	dective who’s friends with an aging crime boss, can’t stay retired.		
""			
14	THE BITTER SEASON, by Tami Hoag. (Dutton.) The fifth novel featuring the	9	2
""	Minneapolis detectives Nikki Liska and Sam Kovac find them working on separate cases		
""	— hers a 20-year-old murder, his the killing of a professor and his wife with a samurai		
This	February 7, 2016	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WHEN BREATH BECOMES AIR, by Paul Kalanithi. (Random House.) A memoir	1	2
""	by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.		
""			
2	THE NAME OF GOD IS MERCY, by Pope Francis with Andrea Tornielli. (Random	2	2
""	House.) In a conversation with a Vatican reporter, the pontiff explores the		
""	cornerstone of his faith.		
""			
3	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	3	28
""	meditation on race in America as well as a personal story by the Atlantic's national		
""	correspondent. Winner of the National Book Award.		
""			
4	THE ROAD TO LITTLE DRIBBLING, by Bill Bryson. (Doubleday.) An American	--	1
""	expatriate travels around his adopted country, Britain.		
""			
5	DARK MONEY, by Jane Mayer. (Doubleday.) An account of how the Koch	--	1
""	brothers and other super-wealthy donors deployed their money to change		
""	American politics.		
""			
6	KILLING REAGAN, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	5	18
""	O’Reilly Factor” recounts the events surrounding the attempted assassination of		
""	President Reagan in 1981.		
""			
7	THOMAS JEFFERSON AND THE TRIPOLI PIRATES, by Brian Kilmeade and	4	12
""	Don Yaeger. (Sentinel.) The war against the Barbary pirates in 1801.		
""			
8	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	6	58
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
9	CRIPPLED AMERICA, by Donald J. Trump. (Threshold Editions.) The real estate	11	12
""	developer and candidate for the Republican presidential nomination shares his		
""	ideas for making America great again.		
""			
10	MODERN ROMANCE, by Aziz Ansari with Eric Klinenberg. (Penguin Press.) The	8	22
""	comedian enlists a sociologist to help him understand today’s dating scene.		
""			
11	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	9	33
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
12	WHY THE RIGHT WENT WRONG, by E.J. Dionne Jr.. (Simon & Schuster.)	--	1
""	Republican politics from Goldwater onward.		
""			
13	NOTORIOUS RBG, by Irin Carmon and Shana Knizhnik. (Dey Street.) A	16	8
""	celebration of the life and career of Supreme Court Justice Ruth Bader Ginsburg.		
""			
14	H IS FOR HAWK, by Helen Macdonald. (Grove.) A grief-stricken British woman	13	15
""	decides to raise a goshawk, a fierce bird that is notoriously difficult to tame.		
