This	April 20, 2014	Last	Week
Week	Fiction	Week	On Li
""			
1	THE KING, by J. R. Ward. (New American Library.) Book 12 of the Black Dagger	--	1
""	Brotherhood series.		
""			
2	I'VE GOT YOU UNDER MY SKIN, by Mary Higgins Clark. (Simon & Schuster.) The	--	1
""	producer of a true-crime show must contend with participants with secrets as well as		
""	her husband’s murderer.		
""			
3	NYPD RED 2, by James Patterson and Marshall Karp. (Little, Brown.) Detective	1	2
""	Zach Jordan and his partner are called when the body of a wealthy woman is		
""	discovered on the Central Park carousel; the second book in a new series.		
""			
4	MISSING YOU, by Harlan Coben. (Dutton.) Kat Donovan, an N.Y.P.D. detective,	2	3
""	searches for the ex-fiancé who left her years before as well as her father’s murderer.		
""			
5	THE GOLDFINCH, by Donna Tartt. (Little, Brown.)  A painting smuggled out of the	3	24
""	Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and		
""	burden.		
""			
6	THE INVENTION OF WINGS, by Sue Monk Kidd. (Viking.) The relationship between	5	13
""	a wealthy Charleston girl, Sarah Grimké, who will grow up to become a prominent		
""	abolitionist, and the slave she is given for her 11th birthday.		
""			
7	BY ITS COVER, by Donna Leon. (Atlantic Monthly Press.) Commissario Guido	--	1
""	Brunetti investigates the theft of books from a library and the murder of one of its		
""	patrons.		
""			
8	DESTROYER ANGEL, by Nevada Barr. (St. Martin's.) The National Park Service	--	1
""	Ranger Anna Pigeon must rescue friends who are kidnapped while camping in		
""	Minnesota.		
""			
9	POWER PLAY, by Danielle Steel. (Delacorte.) Two C.E.O.s — a man and a woman	6	4
""	— face very different challenges.		
""			
10	BE CAREFUL WHAT YOU WISH FOR, by Jeffrey Archer. (St. Martin's.) The Clifton	7	4
""	Chronicles reach the 1960s in the fourth volume of the series.		
""			
11	WARRIORS, by Ted Bell. (Morrow/HarperCollins.) The counterspy Alex Hawke must	--	1
""	rescue a kidnapped scientist.		
""			
12	BLOSSOM STREET BRIDES, by Debbie Macomber. (Ballantine.) Three women’s	4	2
""	lives intersect around a Seattle knitting store; a Blossom Street novel.		
""			
13	THE HUSBAND'S SECRET, by Liane Moriarty. (Amy Einhorn/Putnam.) A woman’s	14	18
""	life is upended when she discovers a letter she was not meant to read.		
""			
14	WORDS OF RADIANCE, by Brandon Sanderson. (Tor/Tom Doherty.) The second	10	5
""	book of the Stormlight Archive fantasy epic, set in the world of Roshar.		
This	April 20, 2014	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	FLASH BOYS, by Michael Lewis. (Norton.) The world of high-frequency computer-	--	1
""	driven trading, from the author of “Liar’s Poker.”		
""			
2	DON'T HURT PEOPLE AND DON'T TAKE THEIR STUFF, by Matt Kibbe.	--	1
""	(Morrow/HarperCollins.) A libertarian manifesto by the president and C.E.O. of		
""	FreedomWorks.		
""			
3	THRIVE, by Arianna Huffington. (Harmony.) Personal well-being as the	1	2
""	indispensable third measure — with money and power — of success.		
""			
4	"10% HAPPIER, by Dan Harris. (It Books.) A co-anchor of ""Nightline"" reports on"	4	4
""	the science and spiritual basis of meditation and describes how it has improved		
""	his life.		
""			
5	A CALL TO ACTION, by Jimmy Carter. (Simon & Schuster.) The former president	2	2
""	denounces discrimination and violence against women.		
""			
6	THE WOMEN OF DUCK COMMANDER, by Kay Robertson and others with Beth	--	1
""	Clark. (Howard Books.) Kay, Korie, Missy, Jessica and Lisa Robertson, the wives		
""	of the A&E show “Duck Dynasty,” discuss their marriages, families and faith.		
""			
7	NOT COOL, by Greg Gutfeld. (Crown Forum.) The Fox News Channel host,	5	3
""	author of “The Joy of Hate,” denounces the hipster elite and their pop cultural		
""	dominance.		
""			
8	UGANDA BE KIDDING ME, by Chelsea Handler. (Grand Central.) Humorous	3	5
""	travel stories.		
""			
9	"KILLING JESUS, by Bill O'Reilly and Martin Dugard. (Holt.) The host of ""The"	6	28
""	"O'Reilly Factor"" recounts the events leading up to Jesus’ execution."		
""			
10	DAVID AND GOLIATH, by Malcolm Gladwell. (Little, Brown.) How disadvantages	7	27
""	can work in our favor; from the author of “The Tipping Point” and “Outliers.”		
""			
11	JOHN WAYNE: THE LIFE AND LEGEND, by Scott Eyman. (Simon & Schuster.) A	--	1
""	biography of the movie star surveys his life, his death and his legend.		
""			
12	UNBROKEN, by Laura Hillenbrand. (Random House.) An Olympic runner’s story	9	164
""	of survival as a prisoner of the Japanese in World War II after his plane went down		
""	over the Pacific.		
""			
13	LEAN IN, by Sheryl Sandberg with Nell Scovell. (Knopf.) The chief operating	10	54
""	officer of Facebook urges women to pursue their careers without ambivalence.		
""			
14	THE PROMISE OF A PENCIL, by Adam Braun with Carlye Adler. (Scribner.) A	8	3
""	man who left Wall Streeet to found a nonprofit that has built 200 schools around		
""	the world discusses how people can find significant work and achieve their		
