This	April 28, 2013	Last	Week
eek	Fiction	Week	On Li
""			
1	DADDY'S GONE A HUNTING, by Mary Higgins Clark. (Simon & Schuster, $26.99.)	--	1
""	Two sisters are threatened by a dark secret from their family's past.		
""			
2	DON'T GO, by Lisa Scottoline. (St. Martin's, $27.99.) An Army doctor returns from	--	1
""	Afghanistan when his wife dies in what at first appears to be an accident, and finds that		
""	his life is falling apart.		
""			
3	LIFE AFTER LIFE, by Kate Atkinson. (Little, Brown, $27.99.) A woman appears in	3	2
""	different versions of the same events, centered on World War II.		
""			
4	UNINTENDED CONSEQUENCES, by Stuart Woods. (Putnam, $26.95.) The New York	--	1
""	lawyer Stone Barrington discovers a shadowy network beneath the world of European		
""	wealth.		
""			
5	THE BURGESS BOYS, by Elizabeth Strout. (Random House, $26.) Two brothers, both	4	3
""	lawyers, come together in a small Maine town to defend their good-for-nothing		
""	nephew; by the Pulitzer Prize-winning author of “Olive Kitteridge.”		
""			
6	MANUSCRIPT FOUND IN ACCRA, by Paulo Coelho. (Knopf, $22.) The wisdom of a	2	2
""	wise man known as the Copt, set in Jerusalem just before the Crusaders’ invasion in		
""	1099.		
""			
7	GONE GIRL, by Gillian Flynn. (Crown, $25.) A woman disappears on her fifth	6	45
""	anniversary; is her husband a killer?		
""			
8	SIX YEARS, by Harlan Coben. (Dutton, $27.95.) Jake Fisher discovers that neither the	5	4
""	woman he loved nor their life together were what they seemed.		
""			
9	STARTING NOW, by Debbie Macomber. (Ballantine, $26.) A Seattle lawyer loses her	1	2
""	job and remakes her life; she finds support at the local knitting store. A Blossom Street		
""	novel.		
""			
10	THE STORYTELLER, by Jodi Picoult. (Emily Bestler/Atria, $28.99.) A New Hampshire	8	7
""	baker finds herself in the midst of two Holocaust stories: her grandmother’s story of		
""	survival, and the confessions of an elderly German man, an SS officer.		
""			
11	THE INTERESTINGS, by Meg Wolitzer. (Riverhead, $27.95.) Six friends meet in the	--	1
""	1970s at a summer arts camp, and pursue success, and one another, over succeeding		
""	decades.		
""			
12	TAPESTRY OF FORTUNES, by Elizabeth Berg. (Random House, $26.) A woman and	--	1
""	her three housemates in St. Paul embark on a road trip to reconnect with people who		
""	have left their lives.		
""			
13	MIDNIGHT AT MARBLE ARCH, by Anne Perry. (Ballantine, $27.) The Victorian	--	1
""	sleuths Charlotte and Thomas Pitt investigate a horrific rape and apparent suicide.		
This	April 28, 2013	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LEAN IN, by Sheryl Sandberg with Nell Scovell. (Knopf, $24.95.) The chief operating	1	5
""	officer of Facebook urges women to pursue their careers without ambivalence.		
""			
2	GIVE AND TAKE, by Adam Grant. (Viking, $27.95.) A Wharton professor’s research	--	1
""	discloses that success depends on how we interact with others, and he argues that		
""	"""givers"" do better than ""takers."""		
""			
3	GULP, by Mary Roach. (Norton, $26.95.) A science writer’s pilgrimage down the	2	2
""	digestive tract.		
""			
4	UNSINKABLE, by Debbie Reynolds and Dorian Hannaway. (Morrow/HarperCollins,	7	2
""	$28.99.) A second memoir by the actress, singer and dancer.		
""			
5	THE WAY OF THE KNIFE, by Mark Mazzetti. (Penguin Press, $29.95.) The Times’s	--	1
""	national security correspondent describes how the lines between the C.I.A. and the		
""	American military have been blurred.		
""			
6	MY WAY, by Paul Anka with David Dalton. (St. Martin's, $29.99.) A show-business	--	1
""	memoir from the singer and songwriter.		
""			
7	THE GREAT DEFORMATION, by David A. Stockman. (PublicAffairs, $35.) A	4	2
""	revisionist account of economic history since the New Deal by Reagan’s former		
""	budget director.		
""			
8	MY BELOVED WORLD, by Sonia Sotomayor. (Knopf, $27.95.) The Supreme Court	15	13
""	justice recalls growing up in the Bronx, attending Princeton and becoming a federal		
""	judge.		
""			
9	SALT SUGAR FAT, by Michael Moss. (Random House, $28.) A New York Times	6	7
""	reporter reveals how food companies use science to encourage us to consume		
""	more of their products.		
""			
10	A HIGHER CALL, by Adam Makos with Larry Alexander. (Berkley Caliber, $26.95.)	12	13
""	An encounter between two pilots in the skies over Germany in December 1943.		
""			
11	KILLING KENNEDY, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The host of	11	28
""	“The O’Reilly Factor” recounts the events surrounding the assassination of John F.		
""	Kennedy.		
""			
12	SUM IT UP, by Pat Summitt with Sally Jenkins. (Crown Archetype, $28.) A memoir	9	6
""	by the longtime coach of the University of Tennessee Lady Vols.		
""			
13	MOM & ME & MOM, by Maya Angelou. (Random House, $22.) The developing	8	2
""	reconciliation between the poet and her mother, who sent her to live with her		
""	grandmother at age 3.		
""			
14	CARRIE AND ME, by Carol Burnett. (Simon & Schuster, $24.99.) The comedian	--	1
