This	October 17, 2004	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE DARK TOWER, by Stephen King. (Donald M. Grant/Scribner, $35.) Volume 7	1	2
""	"of ""The Dark Tower,"" a series about time travel and a heroic quest."		
""			
2	INCUBUS DREAMS, by Laurell K. Hamilton. (Berkley, $23.95.) Is a vampire serial	--	1
""	killer preying on strippers?		
""			
3	TRACE, by Patricia Cornwell. (Putnam, $26.95.) The inept man who replaced Dr.	2	4
""	Kay Scarpetta as chief medical examiner of Virginia asks for her help in		
""	investigating the unexplained death of a 14-year-old girl.		
""			
4	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) The murder of a	3	81
""	curator at the Louvre leads to a trail of clues found in the work of Leonardo and to		
""	the discovery of a centuries-old secret society.		
""			
5	JONATHAN STRANGE & MR. NORRELL, by Susanna Clarke. (Bloomsbury,	5	5
""	$27.95.) A literary fantasy involving a Yorkshire magician and the Napoleonic		
""	Wars.		
""			
6	THE PLOT AGAINST AMERICA, by Philip Roth. (Houghton Mifflin, $26.) The	13	2
""	experiences of a Jewish family in Newark after Charles A. Lindbergh defeats		
""	Franklin D. Roosevelt in the 1940 presidential election.		
""			
7	THE FIVE PEOPLE YOU MEET IN HEAVEN, by Mitch Albom. (Hyperion, $19.95.)	7	54
""	An old man who died while trying to rescue a little girl from danger discovers that		
""	all will be explained to him in the afterlife.		
""			
8	ARE YOU AFRAID OF THE DARK? by Sidney Sheldon. (Morrow, $25.95.) Two	6	3
""	women are caught in a web of mysterious deaths and disappearances that are		
""	linked to the world's largest think tank.		
""			
9	SHOPAHOLIC & SISTER, by Sophie Kinsella. (Dial, $23.) The return of Becky	--	1
""	Bloomwood, whose long-lost sibling hates shopping.		
""			
10	NIGHTS OF RAIN AND STARS, by Maeve Binchy. (Dutton, $25.95.) Life on a	4	2
""	small Greek island is changed forever after tragedy strikes.		
""			
11	THE SUNDAY PHILOSOPHY CLUB, by Alexander McCall Smith. (Pantheon,	--	1
""	$19.95.) An Edinburgh woman investigates the death of a young man at a concert		
""	hall.		
""			
12	THE RULE OF FOUR, by Ian Caldwell and Dustin Thomason. (Dial, $24.) Two	10	21
""	Princeton students who are trying to unravel the mysteries of a Renaissance text		
""	become ensnared in murderous intrigue.		
""			
13	MELANCHOLY BABY, by Robert B. Parker. (Putnam, $24.95.) Murders occur	--	1
""	after the private eye Sunny Randall begins to search for a woman's birth parents.		
This	October 17, 2004	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	AMERICA (THE BOOK), by Jon Stewart, Ben Karlin and David Javerbaum.	1	2
""	"(Warner, $24.95.) ""The Daily Show"" offers a lavishly illustrated parody of a civics"		
""	textbook.		
""			
2	THE FAMILY, by Kitty Kelley. (Doubleday, $29.95.) The author of biographies of	2	3
""	"Frank Sinatra and Nancy Reagan tells ""the real story of the Bush dynasty."""		
""			
3	UNFIT FOR COMMAND, by John E. O'Neill and Jerome R. Corsi. (Regnery,	3	8
""	$27.95.) A negative appraisal of John Kerry's conduct in Vietnam.		
""			
4	BETWEEN A ROCK AND A HARD PLACE, by Aron Ralston. (Atria, $26.) A	4	4
""	mountaineer describes a nightmarish experience in Utah and the extreme		
""	measure he took in order to save his life.		
""			
5	CHAIN OF COMMAND, by Seymour M. Hersh. (HarperCollins, $25.95.) From	8	3
""	9/11 to Abu Ghraib: the investigative reporter tracks President Bush's war on		
""	terror.		
""			
6	EATS, SHOOTS & LEAVES, by Lynne Truss. (Gotham, $17.50.) An	7	26
""	Englishwoman expounds on the use and misuse of punctuation marks.		
""			
7	AMERICAN SOLDIER, by Tommy Franks with Malcolm McConnell.	5	9
""	(ReganBooks/HarperCollins, $27.95.) A memoir by the former head of the United		
""	States Central Command.		
""			
8	CONFESSIONS OF AN HEIRESS, by Paris Hilton with Merle Ginsberg.	9	4
""	"(Fireside/Simon & Schuster, $22.) The celebrity jet-setter and star of ""The Simple"		
""	"Life"" tells what it's like to be young, rich and beautiful."		
""			
9	PATRIOT REIGN, by Michael Holley. (Morrow, $23.95.) Behind the scenes with	14	2
""	Bill Belichick and his New England Patriot coaching staff.		
""			
10	MY LIFE, by Bill Clinton. (Knopf, $35.) From Hope, Ark., to the White House: the	10	15
""	autobiography of the 42nd president.		
""			
11	ON THE WING, by Alan Tennant. (Knopf, $25.) Studying the migratory patterns of	--	1
""	the peregrine falcon, from the Gulf Coast of Texas to the Arctic.		
""			
12	GREEN RIVER, RUNNING RED, by Ann Rule. (Free Press, $26.) The story of the	--	1
""	Green River killer, who murdered some four dozen young women in the Pacific		
""	Northwest before he was captured in 2001.		
""			
13	RUNNING ON EMPTY, by Peter G. Peterson. (Farrar, Straus & Giroux, $24.) The	--	7
""	author, who was secretary of commerce under President Nixon, says Democrats		
""	"and Republicans ""are bankrupting our future."""		
""			
14	WILL IN THE WORLD, by Stephen Greenblatt. (Norton, $26.95.) A Harvard	--	1
