This	September 13, 2009	Last	Weeks
Week	Fiction	Week	On List
""			
1	ALEX CROSS’S TRIAL, by James Patterson and Richard DiLallo. (Little, Brown,	--	1
""	$27.99.) The detective Alex Cross writes a novel about his great-uncle, who fought		
""	the Klan.		
""			
2	SOUTH OF BROAD, by Pat Conroy. (Nan A. Talese/Doubleday, $29.95.) An	1	3
""	unlikely group’s friendship from the ’60s to the ’80s, and from South Carolina to		
""	"San Francisco; by the author of ""The Prince of Tides."""		
""			
3	THE HELP, by Kathryn Stockett. (Amy Einhorn/Putnam, $24.95.) A young white	4	22
""	woman and two black maids in 1960s Mississippi.		
""			
4	206 BONES, by Kathy Reichs. (Scribner, $26.99.) Temperance Brennan is	--	1
""	accused of mishandling an autopsy.		
""			
5	THE WHITE QUEEN, by Philippa Gregory. (Touchstone/Simon & Schuster,	2	2
""	"$25.99.) Palace intrigue during the War of the Roses, by the author of ""The Other"		
""	"Boleyn Girl."""		
""			
6	THE GIRL WHO PLAYED WITH FIRE, by Stieg Larsson. (Knopf, $25.95.) A	6	5
""	Swedish hacker becomes a murder suspect.		
""			
7	THAT OLD CAPE MAGIC, by Richard Russo. (Knopf, $25.95.) A long-married	5	4
""	couple wrestle with dissatisfactions during a Cape Cod weekend; by the author of		
""	“Empire Falls.”		
""			
8	THE ELEVENTH VICTIM, by Nancy Grace. (Hyperion, $25.99.) A prosecutor	9	3
""	turned therapist is drawn back to crime-fighting when her clients start getting		
""	murdered one by one.		
""			
9	EVEN MONEY, by Dick Francis and Felix Francis. (Putnam, $26.95.) A	--	1
""	bookmaker learns that his father, whom he had believed was long dead, was the		
""	chief suspect in the murder of his mother.		
""			
10	DEAD AND GONE, by Charlaine Harris. (Ace, $25.95.) Sookie Stackhouse	12	17
""	searches for the killer of a werepanther.		
""			
11	SMASH CUT, by Sandra Brown. (Simon & Schuster, $26.99.) A publicity-seeking	8	3
""	lawyer tries to get to the bottom of who murdered a wealthy executive.		
""			
12	DREAMFEVER, by Karen Marie Moning. (Delacorte, $26.) MacKlaya finds herself	3	2
""	under the erotic spell of a Fae master.		
""			
13	THE SWORD OF THE LADY, by S. M. Stirling. (Roc, $25.95.) Adventures in a	--	1
""	postapocalypse America.		
""			
14	"ABYSS, by Troy Denning. (Del Rey/Ballantine/Lucas, $27.) In a ""Star Wars"" book,"	7	2
""	Luke Skywalker goes to the Mind Walker’s world to try to redeem the Jedi.		
This	September 13, 2009	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	CULTURE OF CORRUPTION, by Michelle Malkin. (Regnery, $27.95.) President	1	5
""	Obama and his team of tax cheats, petty crooks, influence peddlers and Wall		
""	Street cronies.		
""			
2	OUTLIERS, by Malcolm Gladwell. (Little, Brown, $27.99.) Why some people	3	41
""	succeed — it has to do with luck and opportunity as well as talent — from the		
""	author of “Blink.”		
""			
3	IN THE PRESIDENT’S SECRET SERVICE, by Ronald Kessler. (Crown, $26.)	2	4
""	Agents and the presidents they protect.		
""			
4	BORN TO RUN, by Christopher McDougall. (Knopf, $24.95.) Secrets of distance	4	11
""	running from a Mexican Indian tribe.		
""			
5	A BOLD FRESH PIECE OF HUMANITY, by Bill O’Reilly. (Broadway, $26.) The	8	44
""	Fox News commentator on his upbringing and career.		
""			
6	THE HEALING OF AMERICA, by T. R. Reid. (Penguin Press, $25.95.) How other	--	1
""	industrialized democracies provide health care for all at a reasonable cost.		
""			
7	A BIG LITTLE LIFE, by Dean Koontz. (Hyperion, $24.99.) The novelist adopts a	--	1
""	dog.		
""			
8	CATASTROPHE, by Dick Morris and Eileen McGann. (Harper/HarperCollins,	7	10
""	$26.99.) Stopping President Obama before he transforms America into a socialist		
""	state.		
""			
9	LIBERTY AND TYRANNY, by Mark R. Levin. (Threshold Editions, $25.) A	5	23
""	conservative manifesto from a talk-show host and president of Landmark Legal		
""	Foundation.		
""			
10	ZEITOUN, by Dave Eggers. (McSweeney’s, $24.) The travails of a Syrian-	6	3
""	American man and his family after Hurricane Katrina.		
""			
11	THE SECRET LIFE OF MARILYN MONROE, by J. Randy Taraborrelli. (Grand	--	1
""	Central, $26.99.) Details about Monroe’s foster mother, her father and her		
""	mentally ill mother, as well as about her relationship with the Kennedy brothers.		
""			
12	STRENGTH IN WHAT REMAINS, by Tracy Kidder. (Random House,, $26.) A	--	1
""	medical student survives civil war and genocide in Burundi, and flourishes in the		
""	United States.		
""			
13	THE EVOLUTION OF GOD, by Robert Wright. (Little, Brown, $25.99.) How	12	5
""	Western religions have created a worldview that has room for both science and		
""	the divine.		
""			
14	HOMER’S ODYSSEY, by Gwen Cooper. (Delacorte, $20.) A woman adopts a	--	1
