This	March 24, 2002	Last	Weeks
Week	Fiction	Week	On List
""			
1	2ND CHANCE, by James Patterson with Andrew Gross. (Little, Brown, $26.95.)	--	1
""	The members of the Women's Murder Club -- a detective, a medical examiner, a		
""	prosecutor and a reporter -- search for a killer.		
""			
2	THE SUMMONS, by John Grisham. (Doubleday, $27.95.) A law professor who	1	5
""	has been called home to Mississippi by his father, a dying judge, discovers more		
""	than $3 million in cash in the old man's study.		
""			
3	THE COTTAGE, by Danielle Steel. (Delacorte, $26.95.) An aging, virtually	2	2
""	penniless Hollywood star experiences excitement and even happiness after he		
""	rents out part of his house.		
""			
4	UP COUNTRY, by Nelson DeMille. (Warner, $26.95.) A Vietnam veteran	3	6
""	investigates the mysterious death of an Army lieutenant three decades earlier.		
""			
5	JOURNEY THROUGH HEARTSONGS, written and illustrated by Mattie J. T.	6	20
""	Stepanek. (VSP Books, $14.95.) A collection of poems by an 11-year-old boy.		
""			
6	THE DIARY OF ELLEN RIMBAUER, edited by Joyce Reardon. (Hyperion,	4	9
""	$22.95.) The fictional journal of the wife of a Seattle industrialist; a companion		
""	"volume to the mini-series ""Stephen King's Rose Red."""		
""			
7	THE ENGLISH ASSASSIN, by Daniel Silva. (Putnam, $25.95.) An art restorer who	--	1
""	doubles as an Israeli spy becomes entangled in a series of murders.		
""			
8	HUNTING SEASON, by Nevada Barr. (Putnam, $24.95.) The park ranger Anna	7	3
""	Pigeon investigates the murder of a good ol' boy in Mississippi.		
""			
9	THE NANNY DIARIES, by Emma McLaughlin and Nicola Kraus. (St. Martin's,	--	1
""	$24.95.) A satirical look at rich and powerful New Yorkers through the eyes of an		
""	Upper East Side nanny.		
""			
10	THREE WEEKS IN PARIS, by Barbara Taylor Bradford. (Doubleday, $24.95.)	15	4
""	Four women, once good friends, reunite years after they parted as enemies.		
""			
11	THE CORRECTIONS, by Jonathan Franzen. (Farrar, Straus & Giroux, $26.) A	9	27
""	multigenerational saga in which a mother tries to bring her dysfunctional family		
""	together for a final Christmas at home.		
""			
12	THE MILLIONAIRES, by Brad Meltzer. (Warner, $25.95.) Things go awry when	10	9
""	two brothers who work at an exclusive bank try to pull off a foolproof crime.		
""			
13	BASKET CASE, by Carl Hiaasen. (Knopf, $25.95.) An obituary writer in South	12	10
""	Florida examines the strange circumstances surrounding the death of a rock star.		
""			
14	SOUTHAMPTON ROW, by Anne Perry. (Ballantine, $25.) The Victorian police	5	2
""	detective Thomas Pitt tries to prevent a ruthless leader of a secret society from		
This	March 24, 2002	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	STUPID WHITE MEN, by Michael Moore. (ReganBooks/ HarperCollins, $24.95.)	2	3
""	"The man behind ""Roger & Me"" takes aim at Republicans and Democrats,"		
""	"corporate America and our ""nation of idiots."""		
""			
2	BIAS, by Bernard Goldberg. (Regnery, $27.95.) A television journalist who worked	1	14
""	"at CBS for many years reports on ""how the media distort the news."""		
""			
3	SHADOW WARRIORS, by Tom Clancy with Carl Stiner and Tony Koltz. (Putnam,	3	5
""	$29.95.) An inside look at the United States' special-operations forces.		
""			
4	SHAKEDOWN, by Kenneth R. Timmerman. (Regnery, $29.95.) A journalist's	--	1
""	"""investigative biography"" of the Rev. Jesse Jackson."		
""			
5	DRIVER #8, by Dale Earnhardt Jr. with Jade Gurss. (Warner, $23.95.) The race	4	7
""	car driver's account of his rookie year on the Nascar circuit.		
""			
6	ONE NATION, by the editors of Life magazine. (Little, Brown, $29.95.)	7	17
""	Photographs and essays dealing with the events of Sept. 11.		
""			
7	SACRED CONTRACTS, by Caroline Myss. (Harmony, $25.) Reflections on	6	7
""	"""spiritual energies"" and the meaning of life by the author of ""Anatomy of the Spirit."""		
""			
8	THE BUREAU AND THE MOLE, by David A. Vise. (Atlantic Monthly, $25.) The	5	8
""	story of Robert Philip Hanssen, the counterintelligence expert for the F.B.I. who		
""	was also a spy for Moscow.		
""			
9	WHAT WENT WRONG? by Bernard Lewis. (Oxford University, $23.) A scholar of	9	9
""	Middle Eastern history examines the reaction of the Islamic world to being		
""	overshadowed by the West.		
""			
10	"NIGGER, by Randall Kennedy. (Pantheon, $22.) A law professor explores ""the"	8	2
""	"strange career of a trouble-some word."""		
""			
11	JACK: Straight From the Gut, by Jack Welch with John A. Byrne. (Warner	11	26
""	Business, $29.95.) The recently retired chairman and chief executive of General		
""	Electric tells his story as well as G.E.'s.		
""			
12	JOHN ADAMS, by David McCullough. (Simon & Schuster, $35.) A biography of	10	42
""	the country's first vice president and second president.		
""			
13	THE UNIVERSE IN A NUTSHELL, by Stephen Hawking. (Bantam, $35.) A	13	18
""	copiously illustrated book in which the physicist explains breakthroughs that have		
""	"occurred since he wrote ""A Brief History of Time."""		
""			
14	AMERICAN JIHAD, by Steven Emerson. (Free Press, $26.) A journalist tracks the	15	2
""	spread of Islamic terrorism in the United States.		
