This	September 7, 2014	Last	Weeks
Week	Fiction	Week	On List
""			
1	COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE, by Haruki	1	2
""	Murakami. (Knopf.) A young man’s difficult coming-of-age.		
""			
2	ADULTERY, by Paulo Coelho. (Knopf.)  A married journalist, depressed by	--	1
""	boredom, risks everything when she embarks on an affair with a former boyfriend;		
""	by the Brazilian writer, the author of “The Alchemist.”		
""			
3	BIG LITTLE LIES, by Liane Moriarty. (Amy Einhorn/Putnam.) Who will end up	4	4
""	dead, and how, when three mothers with children in the same school become		
""	friends?		
""			
4	THE GOLDFINCH, by Donna Tartt. (Little, Brown.)  A painting becomes a boy’s	5	44
""	prize, guilt and burden.		
""			
5	MEAN STREAK, by Sandra Brown. (Grand Central.) A North Carolina pediatrician	--	1
""	is held captive by a mysterious man who forces her to question her life.		
""			
6	WE ARE NOT OURSELVES, by Matthew Thomas. (Simon & Schuster.) Three	--	1
""	generations of a New York Irish-American family wrestle with economic and		
""	domestic aspirations and, finally, with a terrible disease.		
""			
7	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	8	16
""	blind French girl and a gadget-obsessed German boy before and during World		
""	War II.		
""			
8	THE HEIST, by Daniel Silva. (Harper.) Gabriel Allon, an art restorer and	6	6
""	occasional spy for the Israeli secret service, must track down a famous missing		
""	painting by Caravaggio.		
""			
9	THE 6TH EXTINCTION, by James Rollins. (Morrow/HarperCollins.) The 10th	3	2
""	Sigma Force novel offers Nazis, an ancient secret, a ticking nuclear clock and		
""	alien life-forms.		
""			
10	LOVE LETTERS, by Debbie Macomber. (Ballantine.) Three couples struggle with	2	2
""	intimacy one summer at Cedar Cove’s Rose Harbor Inn.		
""			
11	THE BOOK OF LIFE, by Deborah Harkness. (Viking.) In the conclusion to the All	7	6
""	Souls trilogy, the Oxford scholar/witch Diana Bishop and the vampire geneticist		
""	Matthew Clairmont return from Elizabethan London to the present.		
""			
12	WINDIGO ISLAND, by William Kent Krueger. (Atria.) Cork O’Connor, a former	--	1
""	sheriff turned private investigator, searches in Duluth, a center of sex trafficking,		
""	for a 15-year-old Ojibwe girl who disappeared at the time her friend’s body washed		
""	up on an island in Lake Superior.		
""			
13	THE SILKWORM, by Robert Galbraith. (Mulholland/Little, Brown.) The private	12	10
""	detective Cormoran Strike in literary London; by J. K. Rowling, writing		
This	September 7, 2014	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ONE NATION, by Ben Carson with Candy Carson. (Sentinel.) Carson, a retired	2	14
""	pediatric neurosurgeon, now a Fox News contributor, offers solutions to problems.		
""			
2	THE ORGANIZED MIND, by Daniel J. Levitin. (Dutton.) A professor draws on	--	1
""	research in neuroscience to explain how organization can help us manage the		
""	overwhelming flood of information in our lives.		
""			
3	AMERICA, by Dinesh D'Souza. (Regnery.) A defense of America against the view	1	7
""	that its power in the world should be diminished; also a documentary film.		
""			
4	IN THE KINGDOM OF ICE, by Hampton Sides. (Doubleday.) An 1879 polar	3	3
""	voyage gone terribly wrong.		
""			
5	THE WAY FORWARD, by Paul Ryan. (Twelve.) The Wisconsin representative	--	1
""	and 2012 Republican vice-presidential nominee analyzes the election, tells his		
""	personal story and describes plans to make government “simpler, smaller,		
""	smarter.”		
""			
6	HARD CHOICES, by Hillary Rodham Clinton. (Simon & Schuster.) Clinton’s	7	11
""	memoir focuses on her years as secretary of state.		
""			
7	EXCELLENT SHEEP, by William Deresiewicz. (Free Press.) A former professor	--	1
""	argues that college should be a time for self-discovery and denounces anxious,		
""	hoop-jumping students on a track from elite universities to Wall Street.		
""			
8	THE FIRST FAMILY DETAIL, by Ronald Kessler. (Crown Forum.) A reporter	4	3
""	divulges details from Secret Service agents about the lives of presidents, ex-		
""	presidents and candidates, as well as about the service’s failings.		
""			
9	UNBROKEN, by Laura Hillenbrand. (Random House.) An Olympic runner’s story	8	183
""	of survival as a prisoner of the Japanese in World War II.		
""			
10	A SPY AMONG FRIENDS, by Ben Macintyre. (Crown.) An account of the British	6	4
""	Cold War spy Kim Philby focuses on the two close friends whose trust he		
""	betrayed.		
""			
11	FLASH BOYS, by Michael Lewis. (Norton.) The world of high-frequency computer-	--	18
""	driven trading, from the author of “Liar’s Poker.”		
""			
12	I AM MALALA, by Malala Yousafzai with Christina Lamb. (Little, Brown.) The	12	35
""	experience of the young Pakistani advocate for women’s education shot by the		
""	Taliban.		
""			
13	DAVID AND GOLIATH, by Malcolm Gladwell. (Little, Brown.) How disadvantages	5	45
""	can work in our favor.		
""			
14	BLOOD FEUD, by Edward Klein. (Regnery.) A journalist describes animosity	9	9
