This	May 8, 2011	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SIXTH MAN, by David Baldacci. (Grand Central, $27.99.) The lawyer for an	--	1
""	alleged serial killer is murdered, and two former Secret Service agents are on the		
""	case.		
""			
2	THE LAND OF PAINTED CAVES, by Jean M. Auel. (Crown, $30.) The latest	2	4
""	volume in a series that began with “The Clan of the Cave Bear,” set during the ice		
""	age.		
""			
3	THE FIFTH WITNESS, by Michael Connelly. (Little, Brown, $27.99.) The defense	3	3
""	lawyer Mickey Haller represents a woman facing home foreclosure who is		
""	accused of killing a banker.		
""			
4	CHASING FIRE, by Nora Roberts. (Putnam, $27.95.) A smoke jumper faces a	1	2
""	new season of firefighting in Montana after the loss of her partner.		
""			
5	I'LL WALK ALONE, by Mary Higgins Clark. (Simon & Schuster, $25.99.) A woman	4	3
""	haunted by the disappearance of her young son discovers that someone has		
""	stolen her identity.		
""			
6	QUICKSILVER, by Amanda Quick. (Putnam, $25.95.) In this Arcane Society novel	--	1
""	set in Victorian London, two paranormal talents must find a murderer before they		
""	become the next victims.		
""			
7	EVE, by Iris Johansen. (St. Martin's, $27.99.) The forensic sculptor Eve Duncan	--	1
""	searches for answers to the mystery of her daughter’s disappearance.		
""			
8	SAVE ME, by Lisa Scottoline. (St. Martin's, $27.99.) A mother’s action during a	7	2
""	school emergency causes an uproar in a Philadelphia suburb.		
""			
9	THE PRIEST'S GRAVEYARD, by Ted Dekker. (Center Street, $24.99.) A priest	--	1
""	and a young woman cross paths as they seek to bring a powerful man to justice.		
""			
10	THE GIRL WHO KICKED THE HORNET’S NEST, by Stieg Larsson. (Knopf,	6	48
""	$27.95.) The third volume of the Millennium trilogy, about a Swedish hacker and a		
""	journalist.		
""			
11	44 CHARLES STREET, by Danielle Steel. (Delacorte, $28.) The owner of a	5	3
""	Greenwich Village town house takes in boarders and bonds with her tenants.		
""			
12	THE PALE KING, by David Foster Wallace. (Little, Brown, $27.99.) In this	8	4
""	unfinished novel, Wallace explores the innards of the Internal Revenue Service,		
""	the value of work and the meaning of heroism.		
""			
13	SING YOU HOME, by Jodi Picoult. (Atria, $28.) Picoult takes on the issue of gay	9	8
""	rights in this novel about a music therapist who desperately wants a child; CD of		
""	songs included.		
This	May 8, 2011	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BOSSYPANTS, by Tina Fey. (Reagan Arthur/Little, Brown, $26.99.) A memoir	1	3
""	"from the creator of ""30 Rock."""		
""			
2	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner’s	2	23
""	story of survival as a prisoner of the Japanese in World War II.		
""			
3	LIBERTY DEFINED, by Ron Paul. (Grand Central, $24.99.) The Texas	--	1
""	congressman examines 50 controversial issues.		
""			
4	SHE WALKS IN BEAUTY, selected and introduced by Caroline Kennedy.	7	2
""	(Voice/Hyperion, $24.99.) Poems that inspired the former first daughter.		
""			
5	I'M OVER ALL THAT, by Shirley MacLaine. (Atria, $22.) The actress offers	3	2
""	observations on what remains important to her.		
""			
6	63 DOCUMENTS THE GOVERNMENT DOESN'T WANT YOU TO READ, by	4	3
""	Jesse Ventura with Dick Russell. (Skyhorse, $24.95.) The former governor of		
""	Minnesota implores Americans to challenge government secrecy.		
""			
7	THE SOCIAL ANIMAL, by David Brooks. (Random House, $27.) Brooks creates	8	7
""	two imaginary people, Harold and Erica, to illustrate his understanding of the		
""	human mind, the wellsprings of action and the causes of success and failure.		
""			
8	ALL THAT IS BITTER AND SWEET, by Ashley Judd with Maryanne Vollers.	5	3
""	(Ballantine, $26.) A memoir by the actress and humanitarian.		
""			
9	ONWARD, by Howard Schultz with Joanne Gordon. (Rodale, $25.99.) Schultz	--	3
""	tells of his second stint as the C.E.O. of Starbucks and how he helped return the		
""	company to profitability.		
""			
10	IDEA MAN, by Paul Allen. (Portfolio/Penguin, $27.95.) The co-founder of Microsoft	--	1
""	details the early years of the software giant and his relationship with Bill Gates.		
""			
11	THE EMPEROR OF ALL MALADIES, by Siddhartha Mukherjee. (Scribner, $30.)	--	5
""	An oncologist's history of cancer.		
""			
12	BLOOD, BONES, AND BUTTER, by Gabrielle Hamilton. (Random House, $26.) A	15	7
""	memoir by the chef and owner of the Manhattan restaurant Prune.		
""			
13	MALCOLM X, by Manning Marable. (Viking, $30.) A biography of Malcolm X that	6	3
""	traces a path from his troubled youth to his conversion to Islam to his		
""	assassination in 1965.		
""			
14	RIGHTEOUS INDIGNATION, by Andrew Breitbart. (Grand Central, $27.99.) The	--	1
""	commentator and Web entrepreneur charts his path from “cultural liberal” to		
""	“conservative cultural warrior.”		
