This	July 16, 2006	Last	Weeks
Week	Fiction	Week	On List
""			
1	TWELVE SHARP, by Janet Evanovich. (St. Martin's, $26.95.) The bounty hunter	1	2
""	Stephanie Plum must find a killer and rescue a kidnapped child.		
""			
2	DENSE MACABRE, by Laurell K. Hamilton. (Berkley, $29.95.) Complications arise	--	1
""	when the campire hunter Anita Blake discovers that she may be pregnant.		
""			
3	COMING OUT, by Danielle Steel. (Delacorte, $20.) An attorney's household is	--	1
""	thrown into chaos when her daughters receive an invitation to a debutante ball.		
""			
4	BEACH ROAD, by James Patterson and Peter de Jonge. (Little, Brown, $27.95.)	3	9
""	An East Hampton lawyer becomes involved in a highly publicized trial that pits		
""	locals against the super-rich.		
""			
5	THE HUSBAND, by Dean Koontz. (Bantam, $27.) A man whose wife is kidnapped	2	5
""	has 60 hours to come up with a huge ransom.		
""			
6	COVER OF NIGHT, by Linda Howard. (Ballantine, $27.) A young widow fights back	--	1
""	when armed intruders storm her bed-and-breakfast in rural Idaho.		
""			
7	BLACK ORDER, by James Rollins. (Morrow, $24.95.) Sigma Force, a special	--	1
""	military unit, investigates worldwide mysteries that all originate with a secret Nazi		
""	experiment smuggled out of wartime Berlin.		
""			
8	THE BOOK OF THE DEAD, by Douglas Preston and Lincoln Child. (Warner,	5	5
""	$25.95.) The final volume of a trilogy involving Secret Agent Aloysius Pendergast of		
""	the F.B.I. and his criminal brother.		
""			
9	SANDCASTLES, by Luanne Rice. (Bantam, $24) An artist who has been jailed in	--	1
""	Ireland returns to his Connecticut home to find a conflicted wife and troubled		
""	daughters.		
""			
10	AT RISK, by Patricia Cornwell. (Putnam, $21.95.) A Massachusetts state	4	6
""	investigator applies DNA and other forensic techniques to a cold murder case;		
""	written as a serial for The New York Times Magazine.		
""			
11	TERRORIST, by John Updike. (Knopf, $24.95.) A New Jersey high school boy falls	7	4
""	under the sway of an imam.		
""			
12	BABY PROOF, by Emily Giffin. (St. Martin's, $23.95.) Everything changes for a	13	3
""	high-powered childless-bychoice Manhattan couple when the husband decides he		
""	wants a child after all.		
""			
13	THE COLD MOON, by Jeffery Deaver. (Simon & Schuster, $26.) The forensic	11	5
""	detective Lincoln Rhyme tracks a serial killer who calls himself the Watchmaker.		
""			
14	BLUE SCREEN, by Robert B. Parker. (Putnam, $24.95.) Looking into the murder of	9	3
""	a starlet's sister, the private investigator Sunny Randall teams up with Jesse Stone,		
This	July 16, 2006	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MARLEY & ME, by John Grogan. (Morrow, $21.95.) A newspaper columnist and	3	37
""	his wife learn some life lessons from their neurotic dog.		
""			
2	GODLESS, by Ann Coulter. (Crown Forum, $27.95.) The columnist argues that	1	4
""	liberalism is a religion with sacraments, a creation myth and a clergy.		
""			
3	THE ONE PERCENT DOCTRINE, by Ron Suskind. (Simon & Schuster, $27.) An	5	2
""	investigation of the Bush administration's strategic thinking and of the role of		
""	ideology and personality in the decision to go to war.		
""			
4	DISPATCHES FROM THE EDGE, by Anderson Cooper. (HarperCollins, $24.95.)	4	6
""	The CNN correspondent describes a year of covering the tsunami in Sri Lanka, the		
""	war in Iraq and Hurricane Katrina.		
""			
5	WISDOM OF OUR FATHERS, by Tim Russert. (Random House, $22.95.) The	2	6
""	"host of ""Meet the Press'' presents readers' letters about their fathers in responseto"		
""	"his book ""Big Russ and Me.''"		
""			
6	THE WORLD IS FLAT, by Thomas L. Friedman. (Farrar, Straus & Giroux, $27.50;	6	65
""	updated and expanded edition, $30.) A columnist for The New York Times		
""	analyzes 21st-century economics and foreign policy.		
""			
7	MAYFLOWER, by Nathaniel Philbrick. (Viking, $29.95.) How America began, from	7	8
""	"the author of ""In the Heart of the Sea."""		
""			
8	FREAKONOMICS, by Steven D. Levitt and Stephen J. Dubner. (Morrow, $25.95.)	9	64
""	A maverick scholar applies economic thinking to everything from sumo wrestlers		
""	who cheat to legalized abortion and the falling crime rate.		
""			
9	MYTHS, LIES, AND DOWNRIGHT STUPIDITY, by John Stossel. (Hyperion,	8	8
""	"$24.95.) The ""20/20"" anchor questions conventional wisdom."		
""			
10	HEAT, by Bill Buford (Knopf, $25.95.) An editor changes his life by apprenticing in	12	3
""	a restaurant kitchen.		
""			
11	"BLINK, by Malcolm Gladwell. (Little, Brown, $25.95.) The author of ""The Tipping"	14	71
""	"Point"" explores the importance of hunch and instinct to the workings of the mind."		
""			
12	MY LIFE IN & OUT OF THE ROUGH, by John Daly with Glen Waggoner.	10	8
""	(HarperCollins, $25.95.) A memoir by the bad-boy golf champion.		
""			
13	A HECKUVA JOB, by Calvin Trillin. (Random House, $12.95.) The humorist,	13	2
""	essayist and novelist takes on the Bush administration in verse.		
""			
14	THE OMNIVORE'S DILEMMA, by Michael Pollan. (Penguin Press, $26.95.)	15	8
""	Tracking dinner from the soil to the plate, a journalist juggles appetite and		
""	conscience.		
