This	September 12, 2010	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE GIRL WHO KICKED THE HORNET’S NEST, by Stieg Larsson. (Knopf,	2	14
""	$27.95.) The third volume of a trilogy about a Swedish hacker and a journalist.		
""			
2	THE POSTCARD KILLERS, by James Patterson and Liza Marklund. (Little,	1	2
""	Brown, $27.99.) An N.Y.P.D. detective joins a Swedish reporter in a search for the		
""	killer of young couples in Europe, including his daughter and her boyfriend.		
""			
3	SPIDER BONES, by Kathy Reichs. (Scribner, $26.99.) Temperance Brennan	--	1
""	investigates the case of a man who seems to have died twice.		
""			
4	THE HELP, by Kathryn Stockett. (Amy Einhorn/Putnam, $24.95.) A young white	3	74
""	woman and two black maids in 1960s Mississippi.		
""			
5	BEARERS OF THE BLACK STAFF (LEGENDS OF SHANNARA), by Terry	--	1
""	Brooks. (Del Rey/Ballantine, $27.) The denizens of a valley are left vulnerable		
""	when their protective layer of magic disappears.		
""			
6	STAR ISLAND, by Carl Hiaasen. (Knopf, $26.95.) A paparazzo attempting to	5	5
""	kidnap a drug-addled pop star grabs her stunt double by mistake.		
""			
7	TOUGH CUSTOMER, by Sandra Brown. (Simon & Schuster, $26.99.) A private	6	3
""	investigator pursues a deranged killer.		
""			
8	THE RED QUEEN, by Philippa Gregory. (Touchstone/Simon & Schuster, $25.99.)	8	4
""	More intrigue during the War of the Roses; by the author of “The Other Boleyn		
""	Girl.”		
""			
9	THE COBRA, by Frederick Forsyth. (Putnam, $26.95.) A former C.I.A. operative is	4	2
""	unleashed on the cocaine industry.		
""			
10	THREE STATIONS, by Martin Cruz Smith. (Simon & Schuster, $25.99.) Inspector	7	2
""	Arkady Renko faces corrupt Russian capitalists and bureaucrats.		
""			
11	I’D KNOW YOU ANYWHERE, by Laura Lippman. (Morrow/HarperCollins, $25.99.)	16	2
""	A man who kidnapped a 15-year-old girl contacts her from death row years later.		
""			
12	THE REMBRANDT AFFAIR, by Daniel Silva. (Putnam, $26.95.) The art restorer	10	6
""	and assassin Gabriel Allon discovers that there are deadly secrets behind a stolen		
""	painting.		
""			
13	LAST NIGHT AT CHATEAU MARMONT, by Lauren Weisberger. (Atria, $25.99.) A	9	2
""	woman is challenged when her musician husband suddenly becomes a star.		
""			
14	JULIET, by Anne Fortier. (Ballantine, $25.) A woman digging into her Italian roots	--	1
""	is surprised by what she learns.		
""			
15	THE VIGILANTES, by W. E. B. Griffin and William E. Butterworth IV. (Putnam,	13	3
This	September 12, 2010	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	CRIMES AGAINST LIBERTY, by David Limbaugh. (Regnery, $29.95.) A political	--	1
""	indictment of the Obama presidency.		
""			
2	SH*T MY DAD SAYS, by Justin Halpern. (It Books/HarperCollins, $15.99.) A	1	17
""	coming-of-age memoir organized around the musings, purveyed on Twitter, of the		
""	author’s father.		
""			
3	OUTLIERS, by Malcolm Gladwell. (Little, Brown, $27.99.) Why some people	3	92
""	succeed — it has to do with luck and opportunity — from the author of “Blink.”		
""			
4	THE IMMORTAL LIFE OF HENRIETTA LACKS, by Rebecca Skloot. (Crown,	9	27
""	$26.) Race, poverty and science intertwine in the story of the woman whose		
""	cancer cells were cultured without her permission in 1951 and have supported a		
""	mountain of research undertaken since then.		
""			
5	EMPIRE OF THE SUMMER MOON, by S. C. Gwynne. (Scribner, $27.50.) The	4	10
""	story of Quanah Parker, the last and greatest chief of the Comanches.		
""			
6	THE BIG SHORT, by Michael Lewis. (Norton, $27.95.) The people who saw the	6	24
""	real estate crash coming and made billions from their foresight.		
""			
7	LET'S TAKE THE LONG WAY HOME, by Gail Caldwell. (Random House, $23.) A	--	1
""	tribute to a deep friendship between two women.		
""			
8	THE OBAMA DIARIES, by Laura Ingraham. (Threshold Editions, $25.) A satirical	5	7
""	fictional journal with commentary, by the conservative political commentator.		
""			
9	COMMITTED, by Elizabeth Gilbert. (Viking, $26.95.) The author of “Eat, Pray,	2	12
""	Love” wrestles with, and overcomes, her ambivalence about marriage.		
""			
10	CHELSEA CHELSEA BANG BANG, by Chelsea Handler. (Grand Central,	7	25
""	$25.99.) More humorous personal essays.		
""			
11	BORN TO RUN, by Christopher McDougall. (Knopf, $24.95.) Secrets of distance	13	26
""	running from a Mexican Indian tribe.		
""			
12	PACKING FOR MARS, by Mary Roach. (Norton, $25.95.) A humorous	8	4
""	investigation of life without gravity in the space program, by the author of “Stiff”		
""	and “Bonk.”		
""			
13	SLIDING INTO HOME, by Kendra Wilkinson with Jon Warech. (Gallery, $26.) The	11	8
""	life of the reality TV star and former Playboy cover model.		
""			
14	THE TENTH PARALLEL, by Eliza Griswold. (Farrar, Straus & Giroux, $27.) An	--	1
""	interpretive circuit of the swath of the globe where Christianity and Islam meet.		
""			
15	MEDIUM RAW, by Anthony Bourdain. (Ecco/HarperCollins, $26.99.) The author of	14	12
