This	May 24, 2015	Last	Week
Week	Fiction	Week	On Li
""			
1	14TH DEADLY SIN, by James Patterson and Maxine Paetro. (Little, Brown.) A video of	--	1
""	a shocking crime surfaces, casting suspicion on a San Francisco detective's		
""	colleagues.		
""			
2	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	3	17
""	in the environs of London.		
""			
3	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	4	53
""	French girl and a gadget-obsessed German boy before and during World War II; the		
""	winner of the 2015 Pulitzer Prize.		
""			
4	MEMORY MAN, by David Baldacci. (Grand Central.) A police detective uses his	2	3
""	extraordinary memory when tackling the case of his family's murder.		
""			
5	GATHERING PREY, by John Sandford. (Putnam.) In the 25th installment of the Prey	1	2
""	series, Lucas Davenport is on the trail of killers who have targeted a group of		
""	vagabonds called the Travelers.		
""			
6	A GOD IN RUINS, by Kate Atkinson. (Little, Brown.) Postwar Britain as seen through	--	1
""	the members of a well-to-do family.		
""			
7	THE BONE TREE, by Greg Iles. (Morrow/HarperCollins.) In the second book of a	6	3
""	trilogy, following “Natchez Burning,” the prosecutor Penn Cage’s comes up against the		
""	K.K.K.		
""			
8	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	9	14
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
9	GOD HELP THE CHILD, by Toni Morrison. (Knopf.) Her mother’s rejection shapes the	5	3
""	life of a dark-skinned woman who is successful in business but personally unhappy.		
""			
10	THE LIAR, by Nora Roberts. (Putnam.) Returning to her Smoky Mountain hometown, a	7	4
""	woman discovers that her husband was a fraud who implicated her in his deceptions.		
""			
11	ROCK WITH WINGS, by Anne Hillerman. (Harper/HarperCollins.) A husband-and-wife	--	1
""	team of investigators pursue separate cases that take them to the far reaches of Navajo		
""	country.		
""			
12	AT THE WATER'S EDGE, by Sara Gruen. (Spiegel & Grau.) In the course of a search	8	6
""	for the Loch Ness monster, a Philadelphia socialite uncovers secrets about her		
""	husband.		
""			
13	EVERY FIFTEEN MINUTES, by Lisa Scottoline. (St. Martin's.) A psychiatrist becomes	13	4
""	the target of a sociopath.		
""			
14	A SPOOL OF BLUE THREAD, by Anne Tyler. (Knopf.) Four generations of a family are	14	13
This	May 24, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	--	1
""	of the bicycle mechanics from Ohio who ushered in the age of flight; by the author		
""	of “1776” and “The Greater Journey.”		
""			
2	CLINTON CASH, by Peter Schweizer. (Harper/HarperCollins.) An examination of	--	1
""	donations made to the Clinton Foundation by foreign entities.		
""			
3	THE ROAD TO CHARACTER, by David Brooks. (Random House.) The Times	2	4
""	columnist extols personal virtues like kindness and honesty in a materialistic age.		
""			
4	AND THE GOOD NEWS IS . . ., by Dana Perino. (Twelve.) The Fox News	3	3
""	contributor and former press secretary under President George W. Bush reviews		
""	her life and career and shares lessons she has learned.		
""			
5	IT'S A LONG STORY, by Willie Nelson with David Ritz. (Little, Brown.) The	--	1
""	country music star discusses his life’s journey, from selling encyclopedias to		
""	professional fame.		
""			
6	THE BOOK OF JOAN, by Melissa Rivers. (Crown Archetype.) A memoir of life,	--	1
""	often uproarious, with the comedian Joan Rivers, written by her daughter.		
""			
7	AMERICAN WIFE, by Taya Kyle with Jim DeFelice. (Morrow/HarperCollins.) The	--	1
""	widow of Chris Kyle, of “American Sniper” fame, describes her life after his death.		
""			
8	HOPE, by Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan.	1	2
""	(Viking.) Two of the women abducted and abused by a Cleveland school bus		
""	driver until they escaped after 10 years tell their story.		
""			
9	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, the	5	9
""	"passenger liner sunk by a German torpedo in 1915; by the author of ""The Devil in"		
""	"the White City."""		
""			
10	DEAL, by Bill Kreutzmann with Benjy Eisen. (St. Martin's.) An account of three wild	--	1
""	decades of drumming for the Grateful Dead.		
""			
11	BILL O'REILLY'S LEGENDS AND LIES, by David Fisher. (Holt.) Stories of the	4	5
""	American West; a companion volume to the Fox News series.		
""			
12	PIONEER GIRL, by Laura Ingalls Wilder. (South Dakota State Historical Society.)	10	6
""	The writer’s autobiography, the source of her Little House on the Prairie books,		
""	completed in 1930 and never published, is annotated by a biographer.		
""			
13	MISSOULA, by Jon Krakauer. (Doubleday.) The author of “Into the Wild”	6	3
""	discusses cases of acquaintance rape in Missoula, Mont., home of the University		
""	of Montana.		
""			
14	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	8	31
