This	January 1, 2006	Last	Weeks
Week	Fiction	Week	On List
""			
1	MARY, MARY, by James Patterson. (Little, Brown, $27.95.) The F.B.I. agent Alex	2	5
""	Cross tracks a Hollywood killer who announces the crimes via e-mail.		
""			
2	“S” IS FOR SILENCE, by Sue Grafton. (Marian Wood/Putnam, $26.95.) Kinsey	1	2
""	Millhone searches for a woman who disappeared 34 years ago.		
""			
3	AT FIRST SIGHT, by Nicholas Sparks. (Warner, $24.95.) The young couple from	3	9
""	"""True Believer,"" who are now expecting a child, receive a disturbing message."		
""			
4	AMAZING PEACE, by Maya Angelou. (Random House, $9.95.) A poem read at the	6	2
""	lighting of the White House Christmas tree in December 2005.		
""			
5	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) A murder at the	7	143
""	Louvre leads to a trail of clues found in the work of Leonardo and to the discovery		
""	of a secret society.		
""			
6	FOREVER ODD, by Dean Koontz. (Bantam, $27.) Odd Thomas, a character from	8	3
""	Koontz's 2003 novel of the same name who can communicate with the dead,		
""	searches for a missing friend.		
""			
7	PREDATOR, by Patricia Cornwell. (Putnam, $26.95.) On the trail of a possible	4	8
""	serial killer, Dr. Kay Scarpetta turns to a jailed psychopath for advice.		
""			
8	LIGHT FROM HEAVEN, by Jan Karon. (Viking, $26.95.) Father Tim's bishop asks	5	6
""	him to revive a long-closed mountain church; the final novel in the Mitford series.		
""			
9	THE LIGHTHOUSE, by P. D. James. (Knopf, $25.95.) Commander Adam	9	4
""	Dalgliesh is called in to solve a murder (or two) on a remote Cornish island.		
""			
10	THE CAMEL CLUB, by David Baldacci. (Warner, $26.95.) A group of eccentric	11	8
""	conspiracy theorists stumbles across an actual plot reaching to the highest levels		
""	of government.		
""			
11	CHRIST THE LORD: OUT OF EGYPT, by Anne Rice. (Knopf, $25.95.) What	10	7
""	happened in Bethlehem; a story narrated by a 7-year-old who discovers that he is		
""	the Prince of Peace.		
""			
12	SON OF A WITCH, by Gregory Maguire. (ReganBooks/HarperCollins, $26.95.) Liir	12	12
""	"makes his way through the dangerous land of Oz; a sequel to ""Wicked."""		
""			
13	THE CONSTANT PRINCESS, by Philippa Gregory. (Touchstone/Simon &	16	2
""	Schuster, $24.95.) The life of Katherine of Aragon, the daughter of Queen Isabella		
""	and King Ferdinand of Spain, who became the first wife of Henry VIII.		
""			
14	TOXIC BACHELORS, by Danielle Steel. (Delacorte, $27.) On a Mediterranean	--	6
""	vacation, three resolutely single friends meet three impressive women.		
""			
15	THE CHRISTMAS HOPE, by Donna VanLiere. (St. Martin's/Integrity, $14.99.) A	13	2
This	January 1, 2006	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"TEACHER MAN, by Frank McCourt. (Scribner, $26.) The author of ""Angela's"	1	5
""	"Ashes"" remembers his years teaching high school English in New York City."		
""			
2	OUR ENDANGERED VALUES, by Jimmy Carter. (Simon & Schuster, $25.) The	2	7
""	former president warns against blurring politics and fundamentalist religion.		
""			
3	TEAM OF RIVALS, by Doris Kearns Goodwin. (Simon & Schuster, $35.) The	3	8
""	political genius of Abraham Lincoln, revealed in his relationship with his cabinet,		
""	"from the author of ""No Ordinary Time."""		
""			
4	MARLEY & ME, by John Grogan. (Morrow, $21.95.) A newspaper columnist and	5	9
""	his wife learn some life lessons from their neurotic dog.		
""			
5	THE WORLD IS FLAT, by Thomas L. Friedman. (Farrar, Straus & Giroux, $27.50.)	4	37
""	A columnist for The New York Times analyzes 21st-century economics and foreign		
""	policy and presents an overview of globalization trends.		
""			
6	1776, by David McCullough. (Simon & Schuster, $32.) An account of America's	6	30
""	founding year by the Pulitzer Prize-winning author, focusing on the inexperienced		
""	George Washington and heroic citizen soldiers.		
""			
7	FREAKONOMICS, by Steven D. Levitt and Stephen J. Dubner. (Morrow, $25.95.)	8	36
""	A maverick scholar applies economic thinking to everything from sumo wrestlers		
""	who cheat to legalized abortion and the falling crime rate.		
""			
8	THE YEAR OF MAGICAL THINKING, by Joan Didion. (Knopf, $23.95.) The	7	11
""	author's attempts to come to terms with the death of her husband and the grave		
""	illness of their only daughter.		
""			
9	THE TRUTH (WITH JOKES), by Al Franken. (Dutton, $25.95.) A comic attack on	9	8
""	"the Bush administration from the author of ""Lies (and the Lying Liars Who Tell"		
""	"Them)."""		
""			
10	MY FRIEND LEONARD, by James Frey. (Riverhead, $24.95.) The author of the	10	11
""	"addiction memoir ""A Million Little Pieces"" remembers a helpful mobster friend."		
""			
11	THE LOST PAINTING, by Jonathan Harr. (Random House, $24.95.) A young art	--	2
""	historian's high-stakes search for a missing Caravaggio masterpiece.		
""			
12	"BLINK, by Malcolm Gladwell. (Little, Brown, $25.95.) The author of ""The Tipping"	--	46
""	"Point"" explores the importance of hunch and instinct to the workings of the mind."		
""			
13	THE BEATLES, by Bob Spitz. (Little, Brown, $29.95.) A biography of four lads who	12	3
""	shook the world.		
""			
14	THE EDUCATION OF A COACH, by David Halberstam. (Hyperion, $24.95.) A	14	4
""	profile of Bill Belichick, the coach of the New England Patriots.		
